do not pick_up anything and when possible venture_to flag;!F"pick_up(anything)" & F"venture_to(flag)";['"venture_to(flag)"', '"pick_up(anything)"']
do not pick_up anything and at any time journey_by house;!F"pick_up(anything)" & F"journey_by(house)";['"journey_by(house)"', '"pick_up(anything)"']
don't pick_up anything and at some time go_to house;!F"pick_up(anything)" & F"go_to(house)";['"go_to(house)"', '"pick_up(anything)"']
don't pick_up anything and at some time be_near tree;!F"pick_up(anything)" & F"be_near(tree)";['"be_near(tree)"', '"pick_up(anything)"']
do not pick_up anything and when possible make_your_way flag;!F"pick_up(anything)" & F"make_your_way(flag)";['"make_your_way(flag)"', '"pick_up(anything)"']
don't pick_up anything and whenever go_visit house;!F"pick_up(anything)" & F"go_visit(house)";['"go_visit(house)"', '"pick_up(anything)"']
don't pick_up anything and at any time withold apple;!F"pick_up(anything)" & F"withold(apple)";['"withold(apple)"', '"pick_up(anything)"']
don't pick_up anything and repeatedly go_to pear;!F"pick_up(anything)" & GF"go_to(pear)";['"go_to(pear)"', '"pick_up(anything)"']
do not pick_up anything and repeatedly go_to pear;!F"pick_up(anything)" & GF"go_to(pear)";['"go_to(pear)"', '"pick_up(anything)"']
don't pick_up anything means that at some time travel_to flag;!F"pick_up(anything)" -> F"travel_to(flag)";['"pick_up(anything)"', '"travel_to(flag)"']
do not pick_up anything can infer that put_in bucket;!F"pick_up(anything)" -> "put_in(bucket)";['"put_in(bucket)"', '"pick_up(anything)"']
don't pick_up anything or when possible withold apple;!F"pick_up(anything)" | F"withold(apple)";['"withold(apple)"', '"pick_up(anything)"']
don't pick_up anything or at any time start_going_to tree;!F"pick_up(anything)" | F"start_going_to(tree)";['"pick_up(anything)"', '"start_going_to(tree)"']
do not pick_up anything or at any time go_to peach;!F"pick_up(anything)" | F"go_to(peach)";['"pick_up(anything)"', '"go_to(peach)"']
do not pick_up anything or whenever go_to peach;!F"pick_up(anything)" | F"go_to(peach)";['"pick_up(anything)"', '"go_to(peach)"']
do not let_go pear or do not let_go pear;!"let_go(pear)";['"let_go(pear)"']
don't let_go pear and don't let_go orange;!"let_go(orange)" & !"let_go(pear)";['"let_go(pear)"', '"let_go(orange)"']
at some time grab orange and don't let_go pear;!"let_go(pear)" & F"grab(orange)";['"let_go(pear)"', '"grab(orange)"']
when possible venture_to waste basket and do not let_go pear;!"let_go(pear)" & F"venture_to(waste_basket)";['"let_go(pear)"', '"venture_to(waste_basket)"']
do not let_go orange and at some time go_to transh can;!"let_go(orange)" & F"go_to(transh_can)";['"let_go(orange)"', '"go_to(transh_can)"']
when possible get_close tree and don't let_go pear;!"let_go(pear)" & F"get_close(tree)";['"let_go(pear)"', '"get_close(tree)"']
do not let_go pear and at any time travel_by tree;!"let_go(pear)" & F"travel_by(tree)";['"let_go(pear)"', '"travel_by(tree)"']
when possible venture flag and don't let_go orange;!"let_go(orange)" & F"venture(flag)";['"let_go(orange)"', '"venture(flag)"']
do not let_go orange and at some time grab flag;!"let_go(orange)" & F"grab(flag)";['"grab(flag)"', '"let_go(orange)"']
when possible get_hold orange and don't let_go pear;!"let_go(pear)" & F"get_hold(orange)";['"let_go(pear)"', '"get_hold(orange)"']
at some time journey_by flag and do not let_go orange;!"let_go(orange)" & F"journey_by(flag)";['"journey_by(flag)"', '"let_go(orange)"']
at any time got_to house and do not let_go orange;!"let_go(orange)" & F"got_to(house)";['"let_go(orange)"', '"got_to(house)"']
when possible move_near tree and don't let_go pear;!"let_go(pear)" & F"move_near(tree)";['"let_go(pear)"', '"move_near(tree)"']
don't let_go pear and when possible yield pear;!"let_go(pear)" & F"yield(pear)";['"let_go(pear)"', '"yield(pear)"']
never drop orange and don't let_go orange;!"let_go(orange)" & G!"drop(orange)";['"drop(orange)"', '"let_go(orange)"']
don't let_go pear and repeatedly grab tree;!"let_go(pear)" & GF"grab(tree)";['"let_go(pear)"', '"grab(tree)"']
repeatedly go_to apple trashcan and don't let_go pear;!"let_go(pear)" & GF"go_to(apple_trashcan)";['"let_go(pear)"', '"go_to(apple_trashcan)"']
always moving and do not let_go orange;!"let_go(orange)" & Gmoving;['moving', '"let_go(orange)"']
always moving and don't let_go pear;!"let_go(pear)" & Gmoving;['"let_go(pear)"', 'moving']
do not let_go orange and always hold_on pear;!"let_go(orange)" & G"hold_on(pear)";['"let_go(orange)"', '"hold_on(pear)"']
do not let_go orange and take_to trashcan;!"let_go(orange)" & "take_to(trashcan)";['"let_go(orange)"', '"take_to(trashcan)"']
travel_to apple and do not let_go pear;!"let_go(pear)" & "travel_to(apple)";['"let_go(pear)"', '"travel_to(apple)"']
don't let_go pear and snatch_up pear;!"let_go(pear)" & "snatch_up(pear)";['"let_go(pear)"', '"snatch_up(pear)"']
