Ground Truth,Response
G((NChar_received) -> ((NChar_TXFIFO) U (NChar_read))),G(NChar_received -> (NChar_received U NChar_read))
G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G((!sent_data & !sent_control_symbol) -> null_passed)
((output_port_reset) -> G (!(data_transition) & !(Strobe_signal_transition))) & G( (transmition_stopped) -> (X (reset_strobe_signal) & X X(reset_data_signal))),G((output_port_reset & transmition_stopped) -> (reset_strobe_signal & X(!data_transition U reset_data_signal) & !(Strobe_signal_transition & data_transition)))
G((receiver_enabled) -> (! (gotNull_assert) U (Null_detected))),G((receiver_enabled & Null_detected & !gotNull_assert) -> X(gotNull_assert))
G( (state_machine_leaves_ErrorReset) -> (!(disconnect_detection_enable) U ((data_edge_detected) & (Strobe_ine_edge_detected))) ),G((state_machine_leaves_ErrorReset & F(data_edge_detected | Strobe_ine_edge_detected)) -> F(disconnect_detection_enable))
G( (((ESC_received & X ESC_received) & (ESC_received & X EOP_received)) & (ESC_received & X EEP_received )) -> (ESC_error) ) & G( (ESC_received & X FCT_received) -> Null) & G((ESC_received & X data_received) -> (broadcast_code) ),G((ESC_received & X(ESC_received | EOP_received | EEP_received)) -> X(ESC_error)) & G((ESC_received & X(Null)) -> X(Null)) & G((ESC_received & X(data_received)) -> X(broadcast_code))
G(!(send_NChar) U (FCT_received)),G(!CT_received -> !send_NChar) & (!CT_received U (CT_received & G(CT_received -> send_NChar | !send_NChar)))
G((first_Null_received) -> X((Parity_Error_enable) & (ESC_Error_enable) & (gotFCT_enable) & (gotNChar_enable) & (gotBC_enable))),G((!first_Null_received) -> (!Parity_Error_enable & !ESC_Error_enable & !gotFCT_enable & !gotNChar_enable & !gotBC_enable))
G(((first_data_transition) & (first_strobe_line_transition )) -> X (Disconnect_Error_enable) ),G(Disconnect_Error_enable -> (first_data_transition | first_strobe_line_transition))
G((Port_Reset_asserted) -> ((TX_FIFO_cleared) & (RX_FIFO_cleared) & X (ErrorReset_state))),G(Port_Reset_asserted -> (TX_FIFO_cleared & RX_FIFO_cleared & ErrorReset_state))
G ( ( ((((LinkDisabled & disconnect) & parity_error) & ESC_error) & credit_error) ) -> X (ErrorReset_state) ),G((LinkDisabled | disconnect | parity_error | ESC_error | credit_error) -> X(ErrorReset_state))
G(((link_machine_Run_state) & (broadcast_code_requested)) -> ((current_character_finished) -> X (broadcast_code_sent))),G((link_machine_Run_state & broadcast_code_requested) -> ((!broadcast_code_sent) U (current_character_finished & broadcast_code_sent)))
G((FCT_requested) -> (! (FCT_sent) U (current_character_sent))),G(CT_requested -> (current_character_sent -> F(CT_sent)))
G (((LinkDisabled_asserted) & (Ready_state)) -> X (G(Ready_state))),G((LinkDisabled_asserted & Ready_state) -> X(Ready_state))
G ((receiver_Disable_asserted ) -> X (G(ErrorReset_State))),G(ErrorReset_State -> receiver_Disable_asserted)
G ((PortReset_asserted) -> X (Link_Error_Recovery_state_machine_Normal)),G(PortReset_asserted -> F(Link_Error_Recovery_state_machine_Normal))
G (((Run_State) & (LinkDisabled_asserted)) -> X(Recovery_state)) & G( ( (Run_state ) & ((Disconnect) & ((Parity_Error) & ((ESC_Error) & (Credit_Error))) ) ) -> X(Recovery_state)),G(((Run_State | Run_state) & LinkDisabled_asserted) -> F(Recovery_state)) & G(((Run_State | Run_state) & (Disconnect | Parity_Error | ESC_Error | Credit_Error)) -> F(Recovery_state))
G(  ((Run_state_started) -> ((NChar_sent) & !(last_char_EOP & EEP)))  -> X(((read_transmit_FIFO) & (discard_characters)) U ((EOP_read & EEP_read) & (EOP_discard & EEP_discarded)))  ),G((Run_state_started & NChar_sent & !(last_char_EOP) & !(EEP)) -> (read_transmit_FIFO & discard_characters) U (EOP_read & EOP_discard | EEP_read & EEP_discarded))
G((receive_FIFO_full) -> ! F(send_FCT)) & G((eight_NChar_room ) -> X(send_FCT)),G((receive_FIFO_full -> !send_FCT) & (!receive_FIFO_full & eight_NChar_room -> F(send_FCT)))
G((all_error_recovery_actions_completed) -> X(normal_state)),G(all_error_recovery_actions_completed -> F(normal_state))
G(!(transmit_packet) U ((current_packet_sent) & (error_transmit))),G((transmit_packet & !current_packet_sent & !error_transmit) -> (!transmit_packet U (current_packet_sent | error_transmit)))
G((output_port_free) -> ((packet_transfer) & X (free_output_port))),G((free_output_port) -> (F(packet_transfer & F(output_port_free))))
G(! (NChar_accepted) -> ((input_port_wait) & (! (NChar_sent) U (multicast_output_ports_ready)))),G(((!multicast_output_ports_ready) & !NChar_sent) -> ((!NChar_sent) U (multicast_output_ports_ready & NChar_sent)))
G((BROADCAST_CODE_received) -> ((Character_sent) -> X (broadcast_code_sent))),G(BROADCAST_CODE_received -> (Character_sent U broadcast_code_sent))
G((DISCONNECT_received) -> X (ErrorReset_state)),G(DISCONNECT_received -> F(ErrorReset_state))
G((RECEIVE_ERROR_received) -> X (ErrorReset_state)),G(RECEIVE_ERROR_received -> F(ErrorReset_state))
G(((receiver_enabled) -> F(Null_received)) -> (gotNull_indicated)),G((receiver_enabled & F(Null_received)) -> (Null_received -> (!gotNull_indicated U (Null_received & gotNull_indicated))))
G( receiver_enabled -> X(G(first_null_received_without_error) -> got_null_passed)),G((receiver_enabled & F(first_null_received_without_error)) -> F(got_null_passed))
G( (receive_i -> X(F(receive_j))) -> (send_i & X(send_j)) ),G((receive_i & !receive_j U send_i) -> (send_i -> X(!send_j U send_i | G(!send_j))))
G(((corr_interr_code_received) -> X( !( !(send_interr_ack) U(interr_code_prop)))) -> (G(new_interr_code_disc) & G(F(new_interr_code_prop)))),G((corr_interr_code_received & !interr_code_prop & send_interr_ack) -> (F(new_interr_code_disc) | G(new_interr_code_prop)))
