Natural Language,Ground Truth,Atomic Proposition
"after the bar is up and the car starts, never, the constructor creates instances and a car enters",G(( bar_is_up & car_starts ) -> G(!( constructor_creates_instances & car_enters ))),{bar_is_up car_enters car_starts constructor_creates_instances}
"as WPPPgTbnma, it will happen that AZPBPoUOnj",G(( WPPPgTbnma ) -> F( AZPBPoUOnj )),{AZPBPoUOnj WPPPgTbnma}
in any case either _lxbFGJyo or mHdigPFYiag,G( _lxbFGJyo | mHdigPFYiag ),{_lxbFGJyo mHdigPFYiag}
it is always true that a train stops or a semaphore is red or the escalator moves,G( train_stops | semaphore_is_red | escalator_moves ),{escalator_moves semaphore_is_red train_stops}
"at any time a house collapses, the brake is released and a motorbike has started",G( house_collapses & brake_is_released & motorbike_has_started ),{brake_is_released house_collapses motorbike_has_started}
"always, the semaphore is green, a semaphore is broken and the escalator is blocked",G( semaphore_is_green & semaphore_is_broken & escalator_is_blocked ),{escalator_is_blocked semaphore_is_broken semaphore_is_green}
"under no circumstances either the house is built, a car enters or a train has been launched",G(!( house_is_built | car_enters | train_has_been_launched )),{car_enters house_is_built train_has_been_launched}
"as RgXmGNcof or ixDugoGxCyXOfAU, at some point sUSIhXjRhv_Lp",G(( RgXmGNcof | ixDugoGxCyXOfAU ) -> F( sUSIhXjRhv_Lp )),{RgXmGNcof ixDugoGxCyXOfAU sUSIhXjRhv_Lp}
"at no time either a bridge opens, the semaphore is broken or a semaphore is red",G(!( bridge_opens | semaphore_is_broken | semaphore_is_red )),{bridge_opens semaphore_is_broken semaphore_is_red}
"as Rmrvh_FwtVgv or XLfNWRiXoIPQG, it is going to happen that xYoZyhNRkDnxo",G(( Rmrvh_FwtVgv | XLfNWRiXoIPQG ) -> F( xYoZyhNRkDnxo )),{LfNWRiXoIPQG Rmrvh_FwtVgv xYoZyhNRkDnxo}
"first, in the future the car starts or a train derails, and then, in the future the engine stops or the constructor instantiate objects",G(!( car_starts | train_derails )) | F(( car_starts | train_derails ) & F( engine_stops | constructor_instantiate_objects )),{car_starts constructor_instantiate_objects engine_stops train_derails}
"at any time either a motorbike is driven, the bar is closing or the escalator speeds up",G( motorbike_is_driven | bar_is_closing | escalator_speeds_up ),{bar_is_closing escalator_speeds_up motorbike_is_driven}
"eventually, either the train derails or a house collapses and, at a certain moment the train has been launched and a constructor creates instances afterwards",G(!( train_derails | house_collapses )) | F(( train_derails | house_collapses ) & F( train_has_been_launched & constructor_creates_instances )),{constructor_creates_instances house_collapses train_derails train_has_been_launched}
if either the brake is pressed or the escalator moves then sooner or later both a house is open and the brake is released,G(( brake_is_pressed | escalator_moves ) -> F( house_is_open & brake_is_released )),{brake_is_pressed brake_is_released escalator_moves house_is_open}
"if NiDxjFLEBDbDzxA and BjbGzgUditN then eventually, IBVKOHUxvhYeL or UWcMjA",G(( NiDxjFLEBDbDzxA & BjbGzgUditN ) -> F( IBVKOHUxvhYeL | UWcMjA )),{BjbGzgUditN IBVKOHUxvhYeL NiDxjFLEBDbDzxA UWcMjA}
every time the motorbike catches fire or the sensor gathers information then in the future a constructor instantiate objects or the bar is up,G(( motorbike_catches_fire | sensor_gathers_information ) -> F( constructor_instantiate_objects | bar_is_up )),{bar_is_up constructor_instantiate_objects motorbike_catches_fire sensor_gathers_information}
"after a table is old and a constructor creates instances, sooner or later either a manager handles requests or a motorbike catches fire",G(( table_is_old & constructor_creates_instances ) -> F( manager_handles_requests | motorbike_catches_fire )),{constructor_creates_instances manager_handles_requests motorbike_catches_fire table_is_old}
"eternally, ypvNnKYBGY, FfP_NdqfSjhCV and fagLhqRsb",G( ypvNnKYBGY & FfP_NdqfSjhCV & fagLhqRsb ),{fP_NdqfSjhCV fagLhqRsb ypvNnKYBGY}
every time iTlhoFJunOdEMrR and ZWLYHEye,G( iTlhoFJunOdEMrR & ZWLYHEye ),{ZWLYHEye iTlhoFJunOdEMrR}
"after qNIIsYqBqpR, it is going to happen that EEyuZesTYgysHes",G(( qNIIsYqBqpR ) -> F( EEyuZesTYgysHes )),{EEyuZesTYgysHes qNIIsYqBqpR}
"it never happens that either the engine starts, an elevator is open or the bar is closing",G(!( engine_starts | elevator_is_open | bar_is_closing )),{bar_is_closing elevator_is_open engine_starts}
at any time the bridge closes or a bridge opens or the train has been launched,G( bridge_closes | bridge_opens | train_has_been_launched ),{bridge_closes bridge_opens train_has_been_launched}
"as either the brake is released or a house collapses, it will happen that both the constructor instantiate objects and the elevator rises",G(( brake_is_released | house_collapses ) -> F( constructor_instantiate_objects & elevator_rises )),{brake_is_released constructor_instantiate_objects elevator_rises house_collapses}
every time either the house is open or a train is crossing then sooner or later a table is old or the elevator falls,G(( house_is_open | train_is_crossing ) -> F( table_is_old | elevator_falls )),{elevator_falls house_is_open table_is_old train_is_crossing}
"always, DNqxWhGlEUXR or ZuwykhvcOYMFB or HYqBZQZOzHOsHX",G( DNqxWhGlEUXR | ZuwykhvcOYMFB | HYqBZQZOzHOsHX ),{DNqxWhGlEUXR HYqBZQZOzHOsHX ZuwykhvcOYMFB}
it is going to happen that both a train has been launched and the train stops after the semaphore is green and a bridge opens,G(( semaphore_is_green & bridge_opens ) -> F( train_has_been_launched & train_stops )),{bridge_opens semaphore_is_green train_has_been_launched train_stops}
"never, either the escalator is blocked, a semaphore is broken or an elevator rises",G(!( escalator_is_blocked | semaphore_is_broken | elevator_rises )),{elevator_rises escalator_is_blocked semaphore_is_broken}
when the train is crossing then if the constructor instantiate objects then it is going to happen that the car starts afterwards,G(( train_is_crossing ) -> G(( constructor_instantiate_objects ) -> F( car_starts ))),{car_starts constructor_instantiate_objects train_is_crossing}
every time both the escalator moves and the bar is closing then it is always true that either the manager handles requests or the motorbike has started,G(( escalator_moves & bar_is_closing ) -> G( manager_handles_requests | motorbike_has_started )),{bar_is_closing escalator_moves manager_handles_requests motorbike_has_started}
"each time a house collapses then as the table is brown, in the future a motorbike has stopped",G(( house_collapses ) -> G(( table_is_brown ) -> F( motorbike_has_stopped ))),{house_collapses motorbike_has_stopped table_is_brown}
"after either the car starts or a manager handles requests, at a certain moment both the car starts and a house is open",G(( car_starts | manager_handles_requests ) -> F( car_starts & house_is_open )),{car_starts house_is_open manager_handles_requests}
if the train is crossing or the train has been launched then it is going to happen that the bar is up and the motorbike has started,G(( train_is_crossing | train_has_been_launched ) -> F( bar_is_up & motorbike_has_started )),{bar_is_up motorbike_has_started train_has_been_launched train_is_crossing}
it will not happen that the motorbike catches fire and together the house is open and the engine breaks,G(!( motorbike_catches_fire & house_is_open & engine_breaks )),{engine_breaks house_is_open motorbike_catches_fire}
"as a table is old or a train has arrived, sooner or later both the car enters and the car starts",G(( table_is_old | train_has_arrived ) -> F( car_enters & car_starts )),{car_enters car_starts table_is_old train_has_arrived}
"after a motorbike catches fire and a semaphore is red, it will happen that a bridge closes or the semaphore is green",G(( motorbike_catches_fire & semaphore_is_red ) -> F( bridge_closes | semaphore_is_green )),{bridge_closes motorbike_catches_fire semaphore_is_green semaphore_is_red}
"forever, a house is open and together the bar is down and the escalator moves",G( house_is_open & bar_is_down & escalator_moves ),{bar_is_down escalator_moves house_is_open}
"as either the brake is released or the bar is down, at some point in time both the bridge closes and the engine starts",G(( brake_is_released | bar_is_down ) -> F( bridge_closes & engine_starts )),{bar_is_down brake_is_released bridge_closes engine_starts}
if a bridge opens or a motorbike falls down then at some point in time an elevator falls and a house is built,G(( bridge_opens | motorbike_falls_down ) -> F( elevator_falls & house_is_built )),{bridge_opens elevator_falls house_is_built motorbike_falls_down}
"under no circumstances either jtgbErnYYeOaMl, fkrTi or _NDLLqHDv",G(!( jtgbErnYYeOaMl | fkrTi | _NDLLqHDv )),{_NDLLqHDv fkrTi jtgbErnYYeOaMl}
"eternally, the elevator falls or a house is open or the house is built",G( elevator_falls | house_is_open | house_is_built ),{elevator_falls house_is_built house_is_open}
"after either the escalator moves or a train has arrived, eventually, an elevator falls or the bar is closing",G(( escalator_moves | train_has_arrived ) -> F( elevator_falls | bar_is_closing )),{bar_is_closing elevator_falls escalator_moves train_has_arrived}
"every time qfnlDtUpQZ then absolutely never, both djpPcLq and tKCKGYCGghaGOGS",G(( qfnlDtUpQZ ) -> G(!( djpPcLq & tKCKGYCGghaGOGS ))),{djpPcLq qfnlDtUpQZ tKCKGYCGghaGOGS}
when the bar has to be repaired then whenever a table is old then at some point in time the train is crossing afterwards,G(( bar_has_to_be_repaired ) -> G(( table_is_old ) -> F( train_is_crossing ))),{bar_has_to_be_repaired table_is_old train_is_crossing}
if a train is crossing and the engine stops then at a certain moment a table is old or an elevator falls,G(( train_is_crossing & engine_stops ) -> F( table_is_old | elevator_falls )),{elevator_falls engine_stops table_is_old train_is_crossing}
"it is always true that either the elevator is open, the engine stops or the bar is up",G( elevator_is_open | engine_stops | bar_is_up ),{bar_is_up elevator_is_open engine_stops}
