Ground Truth,Response
F(x1 & G(X(!x2))),F(x1 & G(!x2))
F(x1) -> G(x2),G(x1 -> G(x2))
G(x1 -> X(!x1 U x2)),G(x1 -> (!x1 U x2))
x1 -> G(x2 U !x3),G(x1 -> (x2 U !x3))
G(x1 -> (F(x2) | X(!x3))),G(x1 -> F(x2 | X(!x3)))
G (x1-> X(!x1 U X2)),G((x1 & !X(x1)) -> X(x2)) & G((!F(x1) -> G(!x2)) & (F(x1) -> G((!x1 & !F(x1)) -> x2)))
G(x1 -> F(X(x2))),G(x1 -> F x2)
G (F(x4 -> (!(F !x1->(x2 & x3))))),G(!(F(!x4)) -> G(x1 -> (x2 & x3)))
G(!(x1 & x3) & !(x2 & x4) & !(x2 & x3) &!(x1 & x4) & ((x2 | x3)  ->!(x1 | x4))),G((x1 -> (!x2 & !x3 & !x4)) & (x2 -> (!x1 & !x3 & !x4)) & (!(x1 & x2)))
G((x1 & X(!x1) & X(X(x1))) | (!x1 & X(x1) & X(X(!x1)))),G(x1 & X x1 & X X x1 | !x1 & X !x1 & X X !x1) & G((x1 <-> X X X x1) & (X x1 <-> X X X X x1) & (X X x1 <-> X X X X X x1))
x1 & X(G(!x1)),x1 & G(x1 -> X(!x1))
x1 & G(x1 -> X(!x1) & X(X(!x1)) & X(X(X(x1)))),x1 & G((X X X x1) & (x1 -> X X X x1) & (!x1 -> (!X x1 & !X X x1)))
G((x1 & X(x1)) -> X(X(G(!x1)))),G((x1 & X x1) -> G(!x1))
x1 & (!x2 | !x3) -> F(x2 & (!x1 | !x3)) -> F(x3 & (!x2 | !x1)) & G(x3),x1 & G((x1 -> !x2 & !x3) & (x2 -> !x1 & !x3) & (x3 -> !x1 & !x2)) & (x1 U (x2 U G x3))
G(x1->F(x2)),x1 -> F x2
(!x1 & !x3) -> G(x2),G((!x1 & !x3) -> x2)
G(x2) & F(x1) & F(!x1),G(x2)
G(X(x1) -> (x2 & !X(x2))),G (x1 -> (X !x2 & x2))
G(!x1) | G(F(x1)),G(!x1 | F x1)
G((x1->(!x & X(x2)) ) & (x2->(!x1 & X(x1)))),G((x1 -> X(!x1 & x2)) & (x2 -> X(!x1 & x1)))
x1 & X(!x1) | !x1 & X(x1) -> x2,(G(x1) | F(x1)) -> F(x2)
F(!x2 & !x3 -> G(x1)),F(G((!x2 & !x3) -> x1))
G(F(x1) U (!x2) & X(x3)),G((!x2 & X x3) | F x1)
G(x1 -> X(x2)),G(x2 -> X x1)
G(X(x1) & G(F(x1))),X x1 -> G F x1
X(X(X(X(X(x1 & x2))))) | X(X(X(x3))),G((X X X X X true) -> (x1 & x2)) | G((X X X true) -> x3)
x1 U (!x2 & x3),G(x1 U (!x2 & x3))
x1 -> F(x2),G(x1 -> F(X x2))
"G!(x1 & x2 & x3 ) & 
G!(!x1 & !x2 & !x3 ) &
G((x1 & x2 & !x3 )| (x1 & !x2 & x3 )| (!x1 & x2 & x3 )| (!x1 & !x2 & x3 )| (!x1 & x2 & !x3 )| (x1 & !x2 & !x3 )) & 
G((x1 & x2 & !x3 )->X((!x1 & x2 & x3 )| (x1 & !x2 & x3 ))) &G((x1 & !x2 & x3 )->X((!x1 & x2 & x3 )| (x1 & x2 & !x3 ))) &
G((!x1 & x2 & x3 )->X((x1 & !x2 & x3 )| (!x1 & !x2 & x3 ))) &
G((!x1 & x2 & !x3 )->X((x1 & !x2 & x3 )| (x1 & x2 & !x3 ))) & 
G((x1 & !x2 & !x3 )->X((x1 & x2 & !x3 )| (!x1 & x2 & x3 )))",G(((x1 & x2 & !x3) | (x1 & !x2 & x3) | (!x1 & x2 & x3)) & X(((x1 & !x2 & !x3) | (!x1 & x2 & !x3) | (!x1 & !x2 & x3))))
(x1 U x2) & G(x2 -> F (!x1)),(x1 U x2) & G(x2 -> !x1)
F(x1 & x2) -> (!x1 U x1) & F(x2)->F(x1),(F(x1 & x2) -> (!x1 U x1)) & (!F(x1 & x2) -> (F x2 -> F x1))
F(x1)->(x2 U x1) & G(x3),F x1 -> (x2 U x1) | (!F x1 & G x3)
G(x1->F(x3 & F(x2))),G (x1 -> (F (x2 & F x3)))
G((x1->!x2) & X(!x1->X(x2))),G((x1 -> !x2) & (!x1 -> X x2))
x1 & x2 & x3 -> X(G(x4)),G((x1 | x2 | x3) -> F(x4 & G(x4)))
G(x1->(X(!x2) & X(x3) & X(X(!x3)))),G(x1 -> (!X x2 & !X x3 & !XX x3))
G((x1 U !x1) & (!x1 U x1)),G((x1 & X(!x1)) | (!x1 & X(x1)))
G(!x1) -> ((x2 -> X(!x2 & x3)) & (x3 ->X(!x3 & x2))),G(!x1) -> G((x2 & !x3) | (!x2 & x3)) & G((x2 -> X(!x2 & x3)) & (x3 -> X(!x3 & x2)))
x1 & x2 & x3 -> F(x1) & F(x2) & F(x3),G((x2 & x1 & x3) -> F(G(x1 & x2 & x3)))
G(X(!x1->((x2 & X(!x2)) & (!x3 & X(x3))))),X(!x1) -> (X(x2) & !x2 & X(!x2) & !X(x3) & x3 & X(x3))
G((x3->!x1 & x2) & ((x1 & x2) -> x3) & F(x1 & x2 & x3)),G((x3 & !x2) -> !x1) & G((x2 & x1) -> X(x2 & x3)) & F(x1 & x2 & x3)
G(x1) -> G(x2) U (!x3),G x1 -> (x2 U !x3)
G (F(x2 & x3) & (X (x2 -> X(x1))) & G(x4 U x1) & F(x2)),F(x2 & x3) & G(x4 U x1) & G(x2 -> X x1) & F(x2)
G(x1 -> G(x2)),G(x1 -> x2)
!x1 U F(x1) & X(G(!x1)),F x1 & F (G !x1)
G(x1-> !(x2 & x3)),G (x1 -> (!x2 & !x3))
G((x1->x2 U x3) & (x2->x3)),G (x1 -> (x2 U x3) & (x2 -> x3))
G(x1) & X(X(!x2)),G(x1) & !x2 & X(!x2)
G(x1 U F(x2)),G(x1 U F(!x2))
F(x1) -> F(x2),F x1 -> F (x2 & (!x2 U x1))
G(x1 & x2) -> F(x3),G((x1 & x2) -> F x3)
G((x1->!x3) U (!x1->x3)),(x1 -> !x3) U (F (x3 -> !x1))
G(x1->X(!x1) | !x1->X(x1)),G((x1 & X(!x1)) | (!x1 & X(x1)))
G(x1 U (x2 | x3) & F(x3)),(x1 U (x2 | x3)) & F x3
G((x1 & x2) ->X(x3)) & F(x3),G((X(x1 & x2)) -> x3) & F(x3)
G(!x2) | G(x2 U x1),!x2 | (x2 U x1)
x1 & x2 & X(x3),G((x1 & !x2) -> x3)
G(F(x1 & x2)),F(x1 & x2)
( !x1) U (x1 & X(G (!x1))),F (x1 & G (!x1))
!F(x1 & X(x1 ) & X(X(x1))),! (x1 & X x1 & X X x1)
(x1) U (G(!x1)),F(G(!x1)) & F(x1) & G(x1 -> X(x1 | G(!x1)))
F(x1) & G(x1 -> X(G(!x1))),F (x1 & G (!x1))
F (x1 & F (x2)) & F (x3 & (!x3 U x2)),F(x1 & F(x2 & F(x3)))
G(x1 -> (X(x2) & G(X(X(x3))))),G(x1 -> X(x2 & X(!x2 & X(x3 & X(!x3 & X(x3 & X(!x3 & X(x3 & X(!x3 & ...)))))))))
F(x1) & F(x2),G((!x2) U x1) & F x2
F(x1) & G(!x2),F(x1 & G(!x2))
F(x1 | x2) & F(x3),!(x3) U (x1 | x2) & F x3
F(x1) & F(x2),F(x1 & F(x2))
F(x1) & G(x2),G(x2 & F x1)
b -> X((c U a) | (G(c))),G(b -> X((c U a) | G c))
(F(b) -> (!b U (a & !b))),!F b | (F a & (!a U b))
G (!(a & b) -> F(c)),G((!a & !b) -> F c)
(!a) U b,!a | (b U a)
G (a -> X(G(!b))),G(a -> G(!b))
(b U (b & ! a)) | G(b),!b U a
a & G(a -> X(!a) & X(X(!a)) & X(X(X(!a))) & X(X(X(X(!a)))) & X(X(X(X(X(a)))))),G(X(X(X(X(a)))))
G (a -> (b | X(b))),G(a -> (X b & X X b))
G(a | X(a) | X(X(a))),G(a | (X(a) & X(X(a))))
G(!a -> (X(!a) | X(X(a)))),G((!a & X(!a & X(!a))) -> X(!a & X(!a & X(a))))
G(a -> (X(!a) | X(X(!a)) | X(X(X(a))))),G((a -> X(!a & X(!a & X(a)))) & (!a -> (X(!a) | X(!a & X(!a)))))
G ( a -> X(b)),G(a -> F b)
G(x1 <-> x2),G(x1 -> x2)
(!a) U b,!a | (b U a)
!p U (p U (!p U (p U G(!p)))),G((p -> X(!p U (p -> X(!p U G(!p))))) & (!p -> X(!p U (p -> X(!p U G(!p))))))
G!(x1 & (x2 | x1)),G((x1 & v2) -> !(x2 | x1))
G!(x1 & x2),!(x1 & x2)
x1 -> X(x2 U (x3 & x4)),G(x1 -> (x2 U (x3 & x4)))
F(x1 -> F(!x1)),G(x1 -> F(!x1))
G(r -> X(!r & X(r))),G(r -> G(r))
r & !X(b),r -> X !b
(!x1) U (x1 & X(G(!x1))),F(x1 & G(!x1))
!F(x1 & X(x1) & X(X(x1))),! (x1 & X x1 & X X x1)
(r U !r) & (G(!r -> G(!r))),(!r U r) & G(!r -> X(!r))
X(X(F(X(r)))),X X X r
F(r) -> G(b),G(r -> b)
F(b & X(F(b))),F(x1 & F(x1))
!x1 U (x1 & G(!X(x1))),F x1 & G (x1 -> X G !x1) & G (!x1 U x1)
G((!x1 | x2) -> X(!x3)),G((!x1 | !x2) -> !X x3)
G(x1 & !x2),!G(x1 & !x2)
(x1 & !x2) -> X(x1),G((x1 & !x2) -> x1)
(!x1 & x2) -> F(x3 ),G((!x1 & x2) -> F x3)
x1 -> F(x2),G(x1 -> F x2)
x1 -> F(x2),G(x1 -> F x2)
x1 -> x2,G(x1 -> x2)
x1 -> (x2 U x3),G(x1 -> (x2 U x3))
x1 -> (x2 U x3),G(x1 -> (x2 U x3))
x1 -> (x2 U x3),G(x1 -> (x2 U x3))
G (x1 -> G(F(x2))),G(x1 -> F x2)
G (x1 -> G(F(x2))),G(x1 -> F x2)
G(x1 -> G(!x2 U x3)),G (x1 -> (!x2 U x3))
G (x1 -> G(F(x2))),G(x1 -> F x2)
G(x1 -> G(F(x2))),G(x1 -> F x2)
G ( !x2 -> !x1 ),!x1 U x2
G(x1 & x2 & x3 -> (x1 U x4)),G((x1 & x2 & x3) -> X x2)
G (x1 & x2 & x3 -> (x2 U x4)),G((x1 & x2 & x3) -> X(x2))
G(x2->X(!x2 U x1)),!x2 | X (!x2 U x1)
G (x1 -> X(x2)),G (x1 -> F x2)
x1 -> (X(x1) & X(X(x1)) & X(X(X(!x1)))),G(x1 -> (X(x1 & X(x1 & X(!x1)))))
x1 U (x2 & X(X(x2))),G(x1 U (x2 & X X x2))
G(x1 | x2) & x1 U x2 & x2 U x1,G((x1 | x2) & (x1 U x2) & (x2 U x1))
G(x1 -> X(x2 | X3)) & G(x1-> (!x2 & !x3)),G (x1 -> (F (x2 | x3) & G !(x2 | x3)))
F(x2) -> !x2 U (x1 & x3),F(x2 -> (!x2 U (x1 & x3)))
G(x1 & (G(x2) U x1) & F(x2)),G(x1 & (x2 U x1) & F(G(x2)))
G(x1& !x2) & F(x3),G(x1 & !x2 & F x3)
G(F(x1)) -> F(G(x1)),G(F(x1) -> F(G(x1)))
(F(x1) & F(x2)) -> G(x1 -> x2 & x2 -> x1),F x1 & F x2 -> G ( (x1 -> x2) & (x2 -> x1) )
!(G(x1)) U G(!x1),! (G x1 U G ! x1)
F(x1) -> G(x1 U !x1),F(x1 -> (x1 U !x1))
G(F(x2) U X(x1)),G((!x1) U (X x1 & F x2))
x3 U ((x1 | G(x3)) & F(x2)),(x3 U (x1 | (G x3 & F x2)))
x1 -> X(x1),G(x1 -> X x1)
(x1 -> G(!x2 & F(!x1 U x1))),G(x1 -> (!x2 & ( (!x1) U x1 )))
F((x1 <-> X(!x2)) | G(x2)),F x1 <-> (X ! x2 | G x2)
G(x2 -> !F(x1) & x3 -> !F(x2)),G((x2 & !F x1) & (x3 -> !F x2))
(x1 & x2) -> (X(x3) & X(X(!x3))),G((x1 & x2) -> (X x3 & X X !x3))
(x1 -> X(x1)) & (X(x1) -> X(X(x1))),G(x1 -> X(x1 & X(x1)))
x1 -> F(x2 U !x1),G(x1 -> (x2 U !x1))
X(X(X(x1))) -> (F(!x2) & x3),X X X x1 -> F (!x2 & x3)
G(x1 U x2) & G(!(x1 & x2)),G((x1 U x2) & G(!x1 & !x2))
G(F(x1 -> X(!x1)) & x2 -> !x2),G((F x1) -> (X !x1)) & G(x2 -> !x2)
G(!x1) -> (G(x1) | F(x2)),G(!x1 -> G(x1 | F x2))
(x1 U x2) | G(x1 -> X(!x1)),x1 U (x2 | G (x1 -> X !x1))
F(x2 & x1) -> (x1 U x2) | (X(x2)),(F x2 & F x1) -> (x1 U (x2 | X x2))
x1 -> F(G(x1)),G(x1 -> F(G(X(x1))))
