Look for the giraffe should always hold, with at most a two-step grace period for recovery.;!G!(search_giraffe & X search_giraffe);['search_giraffe']
Provide assistance to the safe_hostile should always hold, with at most a two-step grace period for recovery.;!G!(deliver_aid_safe_hostile & X deliver_aid_safe_hostile);['deliver_aid_safe_hostile']
Stay away from the inactive_fire_source should always hold, with at most a two-step grace period for recovery.;!G!(avoid_inactive_fire_source & X avoid_inactive_fire_source);['avoid_inactive_fire_source']
Deliver the handbag to the loading_dock should always hold, with at most a two-step grace period for recovery.;!G!(deliver_handbag_loading_dock & X deliver_handbag_loading_dock);['deliver_handbag_loading_dock']
Locate the toothbrush should always hold, with at most a two-step grace period for recovery.;!G!(search_toothbrush & X search_toothbrush);['search_toothbrush']
Begin recording the motorcycle on south_10th_street should always hold, with at most a two-step grace period for recovery.;!G!(record_motorcycle_south_10th_street & X record_motorcycle_south_10th_street);['record_motorcycle_south_10th_street']
Take a picture of debris should always hold, with at most a two-step grace period for recovery.;!G!(photo_debris & X photo_debris);['photo_debris']
Begin recording the collision on northwest_4th_street should always hold, with at most a two-step grace period for recovery.;!G!(record_collision_northwest_4th_street & X record_collision_northwest_4th_street);['record_collision_northwest_4th_street']
Deliver aid to the injured_victim should always hold, with at most a two-step grace period for recovery.;!G!(deliver_aid_injured_victim & X deliver_aid_injured_victim);['deliver_aid_injured_victim']
Find the cake should always hold, with at most a two-step grace period for recovery.;!G!(search_cake & X search_cake);['search_cake']
Take a photo of the person on northwest_6th_street should always hold, with at most a two-step grace period for recovery.;!G!(photo_person_northwest_6th_street & X photo_person_northwest_6th_street);['photo_person_northwest_6th_street']
Transport the chair to the loading_dock should always hold, with at most a two-step grace period for recovery.;!G!(deliver_chair_loading_dock & X deliver_chair_loading_dock);['deliver_chair_loading_dock']
Photograph safe_person can only happen after returning home.;!photo_safe_person U go_home;['go_home', 'photo_safe_person']
Update light_west yellow can only happen after change light_south green.;!change_light_west_yellow U change_light_south_green;['change_light_west_yellow', 'change_light_south_green']
Call for help can only happen after change light_east red.;!get_help U change_light_east_red;['get_help', 'change_light_east_red']
Record flood can only happen after calling for help.;!record_flood U get_help;['get_help', 'record_flood']
Call for help can only happen after idleing.;!get_help U idle;['get_help', 'idle']
Communicate with the safe_hostile can only happen after requesting assistance.;!communicate_safe_hostile U get_help;['get_help', 'communicate_safe_hostile']
Provide assistance to the injured_rescuer can only happen after calling for help.;!deliver_aid_injured_rescuer U get_help;['get_help', 'deliver_aid_injured_rescuer']
Record debris can only happen after geting help.;!record_debris U get_help;['get_help', 'record_debris']
Deliver the parking_meter to the loading_dock can only happen after picking up the baseball_bat.;!deliver_parking_meter_loading_dock U pickup_baseball_bat;['deliver_parking_meter_loading_dock', 'pickup_baseball_bat']
