Index,Requirement,Ground Truth,Response,Equivalent
8190,"after a manager handles requests and the bar is down, sooner or later the sensor captures data",G((bar_is_down & manager_handles_requests) -> F sensor_captures_data),G(manager_handles_requests & bar_is_down -> F sensor_captures_data),True
8191,repeatedly go_to apple trashcan or at any time clutch orange,GF go_to_apple_trashcan | F clutch_orange,G F (go_to_apple_trashcan | F clutch_orange),False
8192,"if move_to house , take_to trash can",move_to_house -> take_to_trash_can,G(move_to_house -> X(take_to_trash_can)),False
8193,"after both a motorbike has stopped and a train is crossing, at some point in time a table is old or an elevator is blocked",G((motorbike_has_stopped & train_is_crossing) -> F(elevator_is_blocked | table_is_old)),G (motorbike_has_stopped & train_is_crossing) -> F (table_is_old | elevator_is_blocked),False
8194,"When pickup the umbrella happens, pickup the bird must hold now or in the next step.",G(pickup_umbrella -> (pickup_bird | X pickup_bird)),G(pickup_umbrella -> (pickup_bird | X pickup_bird)),True
8195,"it will happen that the bar is closing or the table is brown and, it is going to happen that the bridge closes afterwards",G!(bar_is_closing | table_is_brown) | F((bar_is_closing | table_is_brown) & F bridge_closes),F (bar_is_closing | table_is_brown) & F X bridge_closes,False
8196,in any case a table is old or the car starts after an elevator falls and the escalator speeds up,G((elevator_falls & escalator_speeds_up) -> G(car_starts | table_is_old)),G(table_is_old | (F(elevator_falls & escalator_speeds_up) -> F(car_starts))),False
8197,every time both the semaphore is broken and a train is crossing then it will happen that a car enters or a motorbike is driven,G((semaphore_is_broken & train_is_crossing) -> F(car_enters | motorbike_is_driven)),G((semaphore_is_broken & train_is_crossing) -> F(car_enters | motorbike_is_driven)),True
8198,"Request assistance must keep holding until, from some point on, search the spoon holds infinitely often.",get_help U GF search_spoon,get_help U (G F search_spoon),True
8199,Always stay within the boundaries of area 3,G area_3,G area_3,True
8200,at some time haul pear and take pear,take_pear & F haul_pear,F (haul_pear & take_pear),False
8201,never let_go apple and whenever procure orange,G!let_go_apple & F procure_orange,G(!let_go_apple & (procure_orange -> X F let_go_apple)),False
8202,"never, a train is crossing, the engine breaks and the constructor creates instances",G!(constructor_creates_instances & engine_breaks & train_is_crossing),G!((train_is_crossing & engine_breaks) & constructor_creates_instances),True
8203,at any time bring pear and at any time reach flag,F bring_pear & F reach_flag,G bring_pear & G reach_flag,False
8204,Continuously visit area_2 and photo each time,GF(area_2 & photo),G(area_2 & photo),False
8205,Stay away from intersection 4 until you get to street 5,!intersection_4 U street_5,G (!intersection_4 U street_5),False
8206,travel_to tree and never let_go apple,travel_to_tree & G!let_go_apple,travel_to_tree & G!let_go_apple,True
8207,"Talk to the injured_hostile and deliver_aid the injured_rescuer never coincide, yet one of them is always true.",G!(communicate_injured_hostile & deliver_aid_injured_rescuer) & G(communicate_injured_hostile | deliver_aid_injured_rescuer),G((communicate_injured_hostile & !deliver_aid_injured_rescuer) | (!communicate_injured_hostile & deliver_aid_injured_rescuer)),True
8208,"Whenever deliver the oven to the loading_dock and search the giraffe are equal, search the giraffe and get_help are equal as well.",G((deliver_oven_loading_dock <-> search_giraffe) -> (get_help <-> search_giraffe)),G((deliver_oven_loading_dock <-> search_giraffe) -> (search_giraffe <-> get_help)),True
8209,it is always the case that a semaphore is broken or the elevator is open,G(elevator_is_open | semaphore_is_broken),G(semaphore_is_broken | elevator_is_open),True
8210,"a house is open implies that as the table is brown, sooner or later a car enters",G(house_is_open -> G(table_is_brown -> F car_enters)),house_is_open -> (table_is_brown -> F car_enters),False
8211,whenever get_to flag and at some time have pear,F get_to_flag & F have_pear,G(get_to_flag -> F have_pear),False
8212,"Do not go to room 2 until you take bottle 4 from kitchen 1, and then put it on table 4",!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),G(!room_2 U (p_bottle_4 & table_4)),False
8213,repeatedly go_to pear and whenever set_out_to house,GF go_to_pear & F set_out_to_house,G F go_to_pear & G (set_out_to_house -> F go_to_pear),False
8214,"sooner or later the manager collect claims and, at the same time, a bridge opens and the escalator speeds up",F(bridge_opens & escalator_speeds_up & manager_collect_claims),F (manager_collect_claims & bridge_opens & escalator_speeds_up),True
