Index,Requirement,Ground Truth,Response,Equivalent
3046,"If photo injured_person ever holds, avoid the impending_gas_leak must have held beforehand.",F photo_injured_person -> (!photo_injured_person U (avoid_impending_gas_leak & !photo_injured_person)),G(photo_injured_person -> (F avoid_impending_gas_leak V photo_injured_person)),False
3047,"Whenever get_help holds, idle holds exactly three steps later.",G(get_help -> XXX idle),G(get_help -> X X X idle),True
3048,never drop pear and put_in bin,put_in_bin & G!drop_pear,G(!(drop_pear & put_in_bin)),False
3049,Start by obtaining box 2 from office 4 and make sure it is delivered to house 1 afterward,F(office_4 & F(p_box_2 & F(house_1 & pd))),F(pd & office_4 & p_box_2) & F(F(pd & office_4 & p_box_2) -> F(pd & house_1 & p_box_2)),False
3050,Continuously take pictures of landmark 21 at regular intervals,GF(landmark_21 & photo),G(photo & landmark_21),False
3051,"sooner or later a sensor captures data, a table has been moved and the bridge closes",F(bridge_closes & sensor_captures_data & table_has_been_moved),F(sensor_captures_data & table_has_been_moved & bridge_closes),True
3052,Pick up the donut holds at all times.,G pickup_donut,G pickup_donut,True
3053,"as a house is built or a sensor captures data, it will happen that a manager handles requests and a table is brown",G((house_is_built | sensor_captures_data) -> F(manager_handles_requests & table_is_brown)),(house_is_built | sensor_captures_data) -> F(manager_handles_requests & table_is_brown),False
3054,Pick up stack_4 from house_4 and at street_2 and stay there,F(house_4 & F(p_stack_4 & F(street_2 & G street_2))),F(p_stack_4 & house_4 & F(street_2 & G street_2)),False
3055,"always when both the engine stops and a manager collect claims then finally, the sensor captures data",G((engine_stops & manager_collect_claims) -> F sensor_captures_data),G((engine_stops & manager_collect_claims) -> F sensor_captures_data),True
3056,"when a motorbike has stopped then after the constructor instantiate objects, sooner or later the engine starts afterwards",G(motorbike_has_stopped -> G(constructor_instantiate_objects -> F engine_starts)),G(motorbike_has_stopped -> G(constructor_instantiate_objects -> F engine_starts)),True
3057,avoid the yellow_room and enter the green_room through either the red or yellow_room,F((red_room | yellow_room) & F green_room),G(!yellow_room) & F((red_room | yellow_room) & X(green_room)),False
3059,Eventually (photo of landmark_9 and stay at landmark_9 permanently),F(landmark_9 & photo & G landmark_9),F(photo & landmark_9 & G(landmark_9)),True
3060,walk through any room except the green_room to enter the red_room,F red_room & G!green_room,(!green_room) U red_room,False
3062,"Either deliver_aid the injured_hostile happens infinitely often, or communicate the safe_hostile happens in the next step.",GF deliver_aid_injured_hostile | X communicate_safe_hostile,GF(deliver_aid_injured_hostile) | X(communicate_safe_hostile),True
3063,"Once record the jaywalker on northwest_5th_street has occurred, photo the cyclist on north_8th_street will never occur again.",G(record_jaywalker_northwest_5th_street -> XG!photo_cyclist_north_8th_street),G(record_jaywalker_northwest_5th_street -> G(!photo_cyclist_north_8th_street)),False
3064,never drop apple and stop_by flag,stop_by_flag & G!drop_apple,G(!drop_apple & stop_by_flag),False
3065,at any time a motorbike is driven,G motorbike_is_driven,G(motorbike_is_driven),True
3066,Ensure you do not go to park 6 before retrieving pass 4,!park_6 U p_pass_4,(!park_6 U p_pass_4),True
3067,come_to tree until grip apple,come_to_tree U grip_apple,come_to_tree U grip_apple,True
3068,never let_go orange and hold_on_to pear,hold_on_to_pear & G!let_go_orange,G(!let_go_orange & hold_on_to_pear),False
3070,"Either pickup the broccoli happens infinitely often, or search the cat happens in the next step.",GF pickup_broccoli | X search_cat,GF(pickup_broccoli) | X(search_cat),True
3071,"a house is built involves that after a table is brown, eventually, a car starts",G(house_is_built -> G(table_is_brown -> F car_starts)),house_is_built -> G(table_is_brown -> F car_starts),False
3072,Do not enter intersection_4 before reaching street_5,!intersection_4 U street_5,(!intersection_4) U street_5,True
3073,if a table is brown or the elevator rises then it is going to happen that a car enters or the bar is up,G((elevator_rises | table_is_brown) -> F(bar_is_up | car_enters)),(table_is_brown | elevator_rises) -> F (car_enters | bar_is_up),False
3074,"Do not at store_4 until you reach street_6, while ensuring you transport package_8 from office_2 to store_4",(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4))),(!store_4 U street_6) & (F(office_2 & p_package_8) & F(store_4 & p_package_8)),False
3075,repeatedly grab tree or at some time go_to transh can,GF grab_tree | F go_to_transh_can,GF(grab_tree) | F(go_to_transh_can),True
3076,"Whenever get_help holds, from the next step onwards record the collision on north_3rd_avenue will eventually hold.",G(get_help -> XF record_collision_north_3rd_avenue),G(get_help -> X F record_collision_north_3rd_avenue),True
3077,at some time get pear until take pear,F get_pear U take_pear,F(get_pear U take_pear),False
3078,"When photo the car on northwest_9th_avenue happens, change light_north green must hold now or in the next step.",G(photo_car_northwest_9th_avenue -> (change_light_north_green | X change_light_north_green)),G(photo_car_northwest_9th_avenue -> (change_light_north_green | X change_light_north_green)),True
3079,whenever visit trash bin or never drop orange,F visit_trash_bin | G!drop_orange,G(visit_trash_bin | G(!drop_orange)),False
3081,"If idle holds and search the elephant holds next, then deliver the apple to the loading_dock holds in the step after that.",G((idle & X search_elephant) -> XX deliver_apple_loading_dock),G((idle & X search_elephant) -> XX deliver_apple_loading_dock),True
3082,sooner or later the motorbike has started or the train is crossing or an elevator falls,F(elevator_falls | motorbike_has_started | train_is_crossing),F(motorbike_has_started | train_is_crossing | elevator_falls),True
3083,Do not enter locality 5 until you pick up pass 5 from house 2 and put it in office 3,!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),(!locality_5) U (p_pass_5 & F(office_3)),False
3084,"From some point onwards, record unstable_beam never occurs again.",FG!record_unstable_beam,FG(!record_unstable_beam),True
3085,"Whenever communicate the safe_rescuer and deliver_aid the safe_hostile are equal, deliver_aid the safe_hostile and record injured_victim are equal as well.",G((communicate_safe_rescuer <-> deliver_aid_safe_hostile) -> (deliver_aid_safe_hostile <-> record_injured_victim)),G((communicate_safe_rescuer & deliver_aid_safe_hostile) -> (deliver_aid_safe_hostile & record_injured_victim)),False
3086,Ensure you avoid park 3 while capturing a picture of monument 3,G!park_3 & F(monument_3 & photo),G(!(park_3 & photo & monument_3)),False
3087,Persistently photograph building_5 while maintaining consistent visits to charger_4,GF(building_5 & photo) & GF charger_4,G(photo & building_5 & charger_4),False
3088,when possible clutch orange or always hold_on pear,F clutch_orange | G hold_on_pear,F(clutch_orange) | G(hold_on_pear),True
3089,"Once idle has occurred, get_help will never occur again.",G(idle -> XG!get_help),G(idle -> G(!get_help)),False
3090,"Whenever deliver the toaster to the loading_dock holds, eventually idle will hold.",G(deliver_toaster_loading_dock -> F idle),G(deliver_toaster_loading_dock -> F idle),True
3091,"first, it will happen that either the escalator speeds up or the bar is closing, and then, finally, both a sensor gathers information and the motorbike catches fire",G!(bar_is_closing | escalator_speeds_up) | F((bar_is_closing | escalator_speeds_up) & F(motorbike_catches_fire & sensor_gathers_information)),F((escalator_speeds_up | bar_is_closing) & F(sensor_gathers_information & motorbike_catches_fire)),False
3092,"Avoid visiting landmark_5 until you reach park_5, and eventually take a photo of landmark_5",(!landmark_5 U park_5) & F(landmark_5 & photo),(!landmark_5 U park_5) & F photo,False
3094,Avoid picking up both cone_1 and cone_2 indefinitely,G!(p_cone_1 | p_cone_2),G(!(p_cone_1 & p_cone_2)),False
3095,"At every step, change light_west red equals the value of change light_east yellow in the next step.",G(change_light_west_red <-> X change_light_east_yellow),G(change_light_west_red <-> X change_light_east_yellow),True
3096,Repeatedly take box_2 from store_4 and deliver it to hall_8,GF(store_4 & F(p_box_2 & F(hall_8 & pd))),GF(p_box_2 & store_4 & F(p_box_2 & hall_8)),False
3097,"Globally, if get_help occurs then finally deliver the bear to the loading_dock happens.",G(get_help -> F deliver_bear_loading_dock),G(get_help -> F deliver_bear_loading_dock),True
3098,This controller must always maintain both record the car on northeast_2nd_street and photo the person on southeast_7th_avenue.,G(photo_person_southeast_7th_avenue & record_car_northeast_2nd_street),G(record_car_northeast_2nd_street & photo_person_southeast_7th_avenue),True
3099,if the manager handles requests or the table is old then in any case the motorbike has started or the escalator speeds up,G((manager_handles_requests | table_is_old) -> G(escalator_speeds_up | motorbike_has_started)),G((manager_handles_requests | table_is_old) -> (motorbike_has_started | escalator_speeds_up)),False
3100,"At every step, pickup the oven equals the value of search the fire_hydrant in the next step.",G(pickup_oven <-> X search_fire_hydrant),G(pickup_oven <-> X search_fire_hydrant),True
3102,"first, eventually, the engine breaks or the bar is down, and then, eventually, both the table is brown and a house is built",G!(bar_is_down | engine_breaks) | F((bar_is_down | engine_breaks) & F(house_is_built & table_is_brown)),F((engine_breaks | bar_is_down) & F(table_is_brown & house_is_built)),False
3103,never drop apple or venture_towards house,venture_towards_house | G!drop_apple,G(!drop_apple & !venture_towards_house),False
3104,Remain in area_5 at all times,G area_5,G area_5,True
3105,"after the elevator falls and the bar is up, it never happens that both a sensor captures data and the brake is released",G((bar_is_up & elevator_falls) -> G!(brake_is_released & sensor_captures_data)),F(elevator_falls & bar_is_up) -> G(!(sensor_captures_data & brake_is_released)),False
3106,"When photo debris happens, avoid the inactive_unstable_beam must hold now or in the next step.",G(photo_debris -> (avoid_inactive_unstable_beam | X avoid_inactive_unstable_beam)),G(photo_debris -> (avoid_inactive_unstable_beam | X avoid_inactive_unstable_beam)),True
3107,venture_towards house and secure apple,secure_apple & venture_towards_house,F(venture_towards_house & F secure_apple),False
3108,The robot must eventually get_help or record the collision on northwest_4th_avenue.,F(get_help | record_collision_northwest_4th_avenue),F (get_help | record_collision_northwest_4th_avenue),True
3109,at any time journey_by house and don't pick_up anything,F journey_by_house & !F pick_up_anything,G(journey_by_house & !pick_up_anything),False
3110,at some point in time a motorbike catches fire and the engine stops,F(engine_stops & motorbike_catches_fire),F(motorbike_catches_fire & engine_stops),True
3111,it is never the case that the escalator speeds up or the engine stops,G!(engine_stops | escalator_speeds_up),G(!(escalator_speeds_up | engine_stops)),True
3112,Keep capturing photos of area_9 while you also periodically taking ordnance_3 from camp_4 to camp_9,GF(area_9 & photo) & GF(camp_4 & F(p_ordnance_3 & F(camp_9 & pd))),G(photo & area_9) & GF(p_ordnance_3 & camp_4 & F(p_ordnance_3 & camp_9)),False
3113,when possible go_by flag and whenever haul pear,F go_by_flag & F haul_pear,GF(go_by_flag) & G(haul_pear -> go_by_flag),False
3114,come_to tree until come_to tree,come_to_tree,come_to_tree U come_to_tree,True
3115,"When get_help happens, deliver_aid the safe_rescuer must hold now or in the next step.",G(get_help -> (deliver_aid_safe_rescuer | X deliver_aid_safe_rescuer)),G(get_help -> (deliver_aid_safe_rescuer | X deliver_aid_safe_rescuer)),True
