Ground Truth,Response
!initDone U (initDone & G(StartUpMode -> F(SelfTestMode))),G((StartUpMode & initDone) -> X(SelfTestMode))
G(StartUpMode -> X(checkCommsSensors & checkCommsValves)),G(StartUpMode -> (F(checkCommsSensors) & F(checkCommsValves)))
!selfTestFail U (selfTestFail & G(SelfTestMode -> G(!ventilating))),G((SelfTestMode & selfTestFail) -> G(!ventilating))
!expiratoryPauseButton & expiratoryPhaseEnd U (expiratoryPauseButton & expiratoryPhaseEnd & G((PCVMode | PSVMode) & expiratoryPauseButton -> G(expiratoryPause & inValveClose & outValveClose))),G(((PCVMode | PSVMode) & expiratoryPauseButton) -> F(expiratoryPhaseEnd & (expiratoryPauseButton -> (inValveClose & outValveClose U !expiratoryPauseButton))))
G(StartUpMode -> X(checkCommsGUI)),G(StartUpMode -> F(checkCommsGUI))
!(breathingCycleStart) U ((breathingCycleStart) & G(PCVMode -> (inspiratoryPhaseStart))),G(PCVMode & breathingCycleStart -> inspiratoryPhaseStart)
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((PSVMode & inspiratoryPauseButton) -> X((inValveClose & outValveClose)))),G((PSVMode & inspiratoryPhaseEnd & inspiratoryPauseButton) -> X(inValveClose & outValveClose))
G((StartUpMode | StandbyMode) -> G((inValveClose & outValveOpen))),G((StartUpMode | StandbyMode) -> (inValveClose & outValveOpen))
!(inspiratoryPauseButton) U ((inspiratoryPauseButton) & G((( PCVMode | PSVMode )) -> ((inspiratoryPause | (! inspiratoryPauseButton))))),G((PCVMode | PSVMode) & inspiratoryPauseButton -> F inspiratoryPause)
G(StartUpMode -> (defaultParamsLoaded)),G(StartUpMode -> F(defaultParamsLoaded))
!(selfTestPass | guiResumeRequest) U ((selfTestPass | guiResumeRequest) & G(SelfTestMode -> F(StandbyMode))),G((SelfTestMode & (selfTestPass | guiResumeRequest)) -> X(StandbyMode))
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((PSVMode & RMButton) -> (RM))),G((inspiratoryPhaseEnd & PSVMode & RM) -> X(RM & RMButton))
(((! ((((StartUpMode | SelfTestMode) | StandbyMode) | PCVMode) | PSVMode)) U (off))),G((PCVMode | PSVMode | SelfTestMode | StandbyMode | StartUpMode) -> !(PCVMode | PSVMode | SelfTestMode | StandbyMode | StartUpMode) U (off & F(PCVMode | PSVMode | SelfTestMode | StandbyMode | StartUpMode)))
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((PCVMode & inspiratoryPauseButton) -> X((inValveClose & outValveClose)))),G((PCVMode & inspiratoryPhaseEnd & inspiratoryPauseButton) -> X(inValveClose & outValveClose))
!(RM) U ((RM) & X(((! RM) & expiratoryPhaseStart))),G(RM -> F(expiratoryPhaseStart))
G(failSafeMode -> X((inValveClose & outValveOpen))),G(failSafeMode -> (inValveClose & outValveOpen))
!(expiratoryPauseButton) U ((expiratoryPauseButton) & G((( PCVMode | PSVMode )) -> ((expiratoryPause | (! expiratoryPauseButton))))),G((PCVMode | PSVMode) & expiratoryPauseButton -> F expiratoryPause)
!(PSVModeSelected) U ((PSVModeSelected) & G(StandbyMode -> F(PSVMode))),G(PSVModeSelected -> F(PSVMode))
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((( PCVMode | PSVMode ) & RMButton & ! inspiratoryPauseButton) -> (RM))),G(((PCVMode | PSVMode) & inspiratoryPhaseEnd & !inspiratoryPauseButton & RMButton) -> F(RM))
