Index,Requirement,Ground Truth,Response,Equivalent
4064,"If photo the collision on east_3rd_street ever holds, get_help must have held beforehand.",F photo_collision_east_3rd_street -> (!photo_collision_east_3rd_street U (get_help & !photo_collision_east_3rd_street)),!photo_collision_east_3rd_street | F(get_help & F(photo_collision_east_3rd_street)),False
4065,"Whenever photo the vehicle on west_3rd_avenue holds, photo the cyclist on east_8th_avenue holds exactly three steps later.",G(photo_vehicle_west_3rd_avenue -> XXX photo_cyclist_east_8th_avenue),G(photo_vehicle_west_3rd_avenue -> X(X(X(photo_cyclist_east_8th_avenue)))),True
4066,never drop apple and go_by waste bin,go_by_waste_bin & G!drop_apple,G(!(drop_apple & go_by_waste_bin)),False
4068,Continuously visit area 2 and take a picture each time,GF(area_2 & photo),G(area_2 -> F(photo)),False
4069,"finally, the bridge closes, the semaphore is red and a motorbike catches fire",F(bridge_closes & motorbike_catches_fire & semaphore_is_red),F(bridge_closes & semaphore_is_red & motorbike_catches_fire),True
4070,Request assistance holds at all times.,G get_help,G(get_help ),True
4071,"when whenever go_by waste basket , at any time bring pear",F go_by_waste_basket -> F bring_pear,G(go_by_waste_basket -> F bring_pear),False
4072,whenever a manager handles requests or the constructor instantiate objects then at some point in time both a semaphore is broken and a train is crossing,G((constructor_instantiate_objects | manager_handles_requests) -> F(semaphore_is_broken & train_is_crossing)),G((manager_handles_requests | constructor_instantiate_objects) -> F(semaphore_is_broken & train_is_crossing)),True
4073,Go to kitchen_1 to pickup bottle_2 and remain in hall_2 afterward,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),F(kitchen_1 & p_bottle_2 & F(G hall_2)),False
4074,"after both a semaphore is yellow and the bar is up, at some point the sensor captures data",G((bar_is_up & semaphore_is_yellow) -> F sensor_captures_data),G((semaphore_is_yellow & bar_is_up) -> F(sensor_captures_data)),True
4075,"the elevator is open and, as a consequence, every time a train derails then it will happen that the bar is down",G(elevator_is_open -> G(train_derails -> F bar_is_down)),G(elevator_is_open & G(train_derails -> F bar_is_down)),False
4076,go through the yellow or red_room and enter the blue_room,F((red_room | yellow_room) & F blue_room),! (yellow_room | red_room) | F ((yellow_room | red_room) & F blue_room),False
4077,at some time get_near flag and when possible make_to flag,F get_near_flag & F make_to_flag,F(get_near_flag & F(make_to_flag)),False
4078,go into green_room but avoid blue_room,F green_room & G!blue_room,F(green_room ) & G(!blue_room ),True
4079,Retrieve takeout_2 from restaurant_9 and transport it to house_1,F(restaurant_9 & F(takeout_2 & F(house_1 & pd))),F(restaurant_9 & takeout_2 & F(house_1 & takeout_2)),False
4080,"Either deliver the parking_meter to the loading_dock happens infinitely often, or idle happens in the next step.",GF deliver_parking_meter_loading_dock | X idle,GF(deliver_parking_meter_loading_dock ) | X(idle ),True
4081,"Once deliver the giraffe to the loading_dock has occurred, deliver the fire_hydrant to the loading_dock will never occur again.",G(deliver_giraffe_loading_dock -> XG!deliver_fire_hydrant_loading_dock),G(deliver_giraffe_loading_dock -> G(!deliver_fire_hydrant_loading_dock)),False
4082,never let_go apple and move_to trash can,move_to_trash_can & G!let_go_apple,G(!(let_go_apple & move_to_trash_can)),False
4083,every time the escalator speeds up,G escalator_speeds_up,G(escalator_speeds_up ),True
4084,Refrain from going to room 4 before you arrive at building 4,!room_4 U building_4,!room_4 U building_4,True
4085,Stay in locality_3 until you reach office_4,locality_3 U office_4,locality_3 U office_4,True
4086,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,G(venture_towards_house & !drop_apple),False
4087,"If record the pedestrian on northwest_1st_street ever holds, get_help must have held beforehand.",F record_pedestrian_northwest_1st_street -> (!record_pedestrian_northwest_1st_street U (get_help & !record_pedestrian_northwest_1st_street)),!record_pedestrian_northwest_1st_street | F(get_help & F(record_pedestrian_northwest_1st_street)),False
4088,"Either go_home happens infinitely often, or record unstable_beam happens in the next step.",GF go_home | X record_unstable_beam,GF go_home | X record_unstable_beam,True
4089,"each time the escalator moves then after the car enters, eventually, the constructor instantiate objects",G(escalator_moves -> G(car_enters -> F constructor_instantiate_objects)),G((escalator_moves & F car_enters) -> F constructor_instantiate_objects),False
4090,Avoid going to building_8 until you have reached parking_lot_8,!building_8 U parking_lot_8,!building_8 U parking_lot_8,True
4091,if either a table is brown or the elevator rises then at a certain moment either a semaphore is green or the elevator falls,G((elevator_rises | table_is_brown) -> F(elevator_falls | semaphore_is_green)),G((table_is_brown | elevator_rises) -> F(semaphore_is_green | elevator_falls)),True
4092,"Stay away from intersection 8 until street 3 is reached, and ensure you go to locality 5 afterward",(!intersection_8 U street_3) & F locality_5,(!intersection_8 U street_3) & F(locality_5),True
4093,Do not approach intersection_5 before reaching street_4 and delivering pass_4 from house_4 to office_1,(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd))),G(!intersection_5 U (street_4 & F(p_pass_4 & office_1))),False
4094,repeatedly go_to apple trashcan or whenever visit trash bin,GF go_to_apple_trashcan | F visit_trash_bin,GF(go_to_apple_trashcan ) | G(visit_trash_bin -> F(go_to_apple_trashcan )),False
4095,"Whenever deliver the bird to the shelf holds, from the next step onwards search the mouse will eventually hold.",G(deliver_bird_shelf -> XF search_mouse),G(deliver_bird_shelf -> X(F search_mouse)),True
4096,whenever acquire pear until pick_up flag,F acquire_pear U pick_up_flag,G(acquire_pear U pick_up_flag),False
