Ground Truth,Response
[]!street_7&&<>(store_9&&<>(p_package_3&&<>(house_1&&pd))),G((p_package_3 & store_9 & F house_1) -> !street_7 U house_1)
<>(mall_5&&<>(p_box_4&&<>(house_1&&pd))),!p_box_4 U mall_5 & F(p_box_4 & F(house_1))
!intersection_1 U street_6&&<>(street_2&&<>(p_cone_3&&<>(intersection_1&&pd))),!intersection_1 U street_6 & G((street_2 & p_cone_3) -> F(intersection_1 & pd))
[]!parking_lot_5&&<>(car_3&&photo),G(!parking_lot_5 & F(photo & car_3))
[]locality_5&&<>(office_3&&<>(p_package_5&&<>(office_6&&pd))),G((p_package_5 & office_3) -> locality_5 U (p_package_5 & office_6))
!room_2 U (kitchen_1&&<>(p_bottle_4&&<>(table_4&&pd))),!room_2 U ( (kitchen_1 & p_bottle_4) & F (table_4 & pd) )
<>(house_1&&<>(p_trash_can_4&&<>(garbage_dump_3&&pd))),G((house_1 & p_trash_can_4) -> F(garbage_dump_3 & pd))
[]!parking_lot_8&&<>street_5,G((F street_5) -> !F parking_lot_8)
!park_5 U intersection_5&&<>(monument_3&&photo),!park_5 U (intersection_5 & photo & monument_3)
!intersection_5 U street_4&&<>(house_4&&<>(p_pass_4&&<>(office_1&&pd))),(p_pass_4 & house_4 & F office_1) -> (!intersection_5 U street_4)
[]<>(table_2&&<>(p_brochure_8&&<>(street_9&&pd)))&&[]<>charger_6,G((p_brochure_8 & X(street_9)) U (!p_brochure_8 & !street_9)) & G(charger_6)
!park_5 U intersection_5&&<>(monument_3&&photo),(!park_5 U intersection_5) & G(intersection_5 -> F(photo & monument_3))
[]<>(car_1&&photo)&&[]!parking_lot_9,G(photo & !parking_lot_9)
!park_4 U street_3&&<>(store_7&&<>(p_takeout_2&&<>(bench_3&&pd))),(!park_4 U street_3) & G(street_3 -> F(p_takeout_2 & store_7 & F(bench_3)))
[]<>(statue_4&&photo)&&[]<>charger_4,G((photo & statue_4) -> F charger_4)
<>(parking_lot_2&&p_dish_2),G(parking_lot_2 -> F p_dish_2)
<>(house_1&&<>(p_trash_can_4&&<>(garbage_dump_3&&pd))),G((house_1 & p_trash_can_4) -> F(garbage_dump_3 & p_trash_can_4))
[]<>(table_2&&<>(p_brochure_8&&<>(street_9&&pd)))&&[]<>charger_6,G(F(p_brochure_8 & X(street_9)) & F(charger_6))
[]<>charger_2&&<>(table_2&&<>(p_plate_4&&<>(table_4&&pd))),G(F charger_2 & F (p_plate_4 & F (table_2 & F table_4)))
[]<>(mall_5&&<>(p_crate_8&&<>(office_6&&pd))),G(p_crate_8 & mall_5 -> F(office_6 & pd))
park_8 U (monument_2&&photo&&<>(bench_5&&[]bench_5)),park_8 U (photo & monument_2 & X (bench_5 & G bench_5))
<>(statue_5&&photo),F(statue_5 & X(photo))
<>(park_5&&<>(monument_3&&photo)),!photo U (park_5 & F (monument_3 & photo))
[]<>(warehouse_4&&<>(p_crate_3&&<>(mall_3&&pd))),G(p_crate_3 & warehouse_4 -> F(mall_3))
