Ground Truth,Candidate
G(( bar_is_up & car_starts ) -> G(!( constructor_creates_instances & car_enters ))),G((bar_is_up & car_starts) -> !(constructor_creates_instances & car_enters))
G(( RgXmGNcof | ixDugoGxCyXOfAU ) -> F( sUSIhXjRhv_Lp )),(RgXmGNcof | ixDugoGxCyXOfAU) -> F sUSIhXjRhv_Lp
G(( Rmrvh_FwtVgv | XLfNWRiXoIPQG ) -> F( xYoZyhNRkDnxo )),(F Rmrvh_FwtVgv | F XLfNWRiXoIPQG) -> F xYoZyhNRkDnxo
G( ypvNnKYBGY & FfP_NdqfSjhCV & fagLhqRsb ),G(ypvNnKYBGY & fP_NdqfSjhCV & fagLhqRsb)
G(( brake_is_released | house_collapses ) -> F( constructor_instantiate_objects & elevator_rises )),(brake_is_released | house_collapses) -> F(constructor_instantiate_objects & elevator_rises)
G(( train_is_crossing ) -> G(( constructor_instantiate_objects ) -> F( car_starts ))),G(train_is_crossing -> (constructor_instantiate_objects -> F car_starts))
G(( house_collapses ) -> G(( table_is_brown ) -> F( motorbike_has_stopped ))),G(house_collapses -> (table_is_brown -> F motorbike_has_stopped))
G(!( car_stops & escalator_moves & bar_is_closing )),!(car_stops & escalator_moves & bar_is_closing)
G(( engine_stops | train_stops ) -> G(!( house_collapses & semaphore_is_red ))),G((engine_stops | train_stops) -> !(house_collapses & semaphore_is_red))
G(( KvxIEi ) -> G(!( OoTcv ))),G(KvxIEi -> !OoTcv)
G(( OnyVPTYtwxXrxV ) -> G( VOgiUKRQW & _wSDp )),G(OnyVPTYtwxXrxV -> (VOgiUKRQW & _wSDp))
G(!( car_enters & elevator_rises & sensor_captures_data )),!(car_enters & elevator_rises & sensor_captures_data)
G(( motorbike_falls_down & semaphore_is_red ) -> G(!( motorbike_is_driven & bar_is_up ))),G(((motorbike_falls_down & semaphore_is_red) -> !(motorbike_is_driven & bar_is_up)))
G(( train_has_been_launched | constructor_instantiate_objects ) -> F( table_is_brown & bridge_closes )),((train_has_been_launched | constructor_instantiate_objects) -> F(table_is_brown & bridge_closes))
G(!( fQLCUTRzCSVonE )),!fQLCUTRzCSVonE
G(( train_is_crossing ) -> G(( car_starts ) -> F( constructor_instantiate_objects ))),G(train_is_crossing -> (car_starts -> F constructor_instantiate_objects))
G(!( car_stops & constructor_creates_instances & semaphore_is_green )),!(car_stops & constructor_creates_instances & semaphore_is_green)
G(( _AbRXSQyEepey | HBUfGwgvWuJQE_G ) -> G( uSxLtHvVeuAvxDz )),((_AbRXSQyEepey | HBUfGwgvWuJQE_G) -> G uSxLtHvVeuAvxDz)
G(!( elevator_is_open & semaphore_is_broken & car_stops )),!(elevator_is_open & semaphore_is_broken & car_stops)
G( XOIyLbiPsjgdajg ),X OIyLbiPsjgdajg
G(( train_is_crossing ) -> G(( table_is_brown ) -> F( engine_starts ))),G(train_is_crossing -> (table_is_brown -> F(engine_starts)))
G(( sensor_retrieves_data ) -> G(( bar_is_down ) -> F( motorbike_catches_fire ))),sensor_retrieves_data -> (bar_is_down -> F motorbike_catches_fire)
G(( motorbike_catches_fire & bar_has_to_be_repaired ) -> F( engine_breaks | train_has_arrived )),(bar_has_to_be_repaired & motorbike_catches_fire) -> F(engine_breaks | train_has_arrived)
G(( engine_stops | house_is_open ) -> F( escalator_is_blocked & manager_collect_claims )),((engine_stops | house_is_open) -> F(escalator_is_blocked & manager_collect_claims))
G(( gaHIzRNRNSiEleS ) -> G(( bIlW_dJBT_TPQPN ) -> F( cUEBWcONzCgX ))),G(gaHIzRNRNSiEleS -> (bIlW_dJBT_TPQPN -> F cUEBWcONzCgX))
G(( sensor_captures_data | escalator_moves ) -> G(!( motorbike_falls_down & engine_starts ))),G((sensor_captures_data | escalator_moves) -> !(motorbike_falls_down & engine_starts))
G(( pfJkwlQ ) -> G(( rXhpY ) -> F( fFOGPEhguKC ))),G(pfJkwlQ -> (rXhpY -> F(fFOGPEhguKC)))
G(( manager_handles_requests | table_is_old ) -> G( bar_has_to_be_repaired | escalator_moves )),G((manager_handles_requests | table_is_old) -> (bar_has_to_be_repaired | escalator_moves))
G(( house_is_open | table_is_old ) -> F( manager_handles_requests & motorbike_has_stopped )),(house_is_open | table_is_old) -> F(manager_handles_requests & motorbike_has_stopped)
G(( brake_is_pressed ) -> G(( car_enters ) -> F( engine_starts ))),G(brake_is_pressed -> (car_enters -> F(engine_starts)))
G(!( motorbike_has_stopped & bridge_closes )),!(motorbike_has_stopped & bridge_closes)
G(!( train_has_been_launched & motorbike_catches_fire & escalator_speeds_up )),!(train_has_been_launched & motorbike_catches_fire & escalator_speeds_up)
G(( car_stops & house_collapses ) -> F( train_derails | train_has_been_launched )),(car_stops & house_collapses) -> F(train_derails | train_has_been_launched)
G(( house_is_open ) -> G(( semaphore_is_green ) -> F( bar_has_to_be_repaired ))),G(house_is_open -> (semaphore_is_green -> F bar_has_to_be_repaired))
G(( house_is_open & semaphore_is_green ) -> G(!( bar_is_up & car_starts ))),G((house_is_open & semaphore_is_green) -> !(bar_is_up & car_starts))
G( SFuqJUnuyehNrYJ | cyqNn ),SFuqJUnuyehNrYJ | cyqNn
G(( sensor_captures_data ) -> G(( escalator_moves ) -> F( elevator_falls ))),sensor_captures_data -> G(escalator_moves -> F(elevator_falls))
G(!( _bilzmZImz & tQOKqcYnnhk )),!(_bilzmZImz & tQOKqcYnnhk)
G( QiCMSqQdycm | mEtgsATEhxGf ),QiCMSqQdycm | mEtgsATEhxGf
G(( elevator_falls & house_is_built ) -> F( bar_is_closing | motorbike_has_started )),((elevator_falls & house_is_built) -> F(bar_is_closing | motorbike_has_started))
G(( UWWLbMjO | FDwgi ) -> F( kMYkJqZAg_OM )),(F UWWLbMjO) | (F Dwgi) -> F kMYkJqZAg_OM
G( HcXaLvhnUiHqgfM | OyZrOUO ),HcXaLvhnUiHqgfM | OyZrOUO
G(!( train_is_crossing | motorbike_has_stopped )) | F(( train_is_crossing | motorbike_has_stopped ) & F( brake_is_released & car_starts )),((train_is_crossing | motorbike_has_stopped) -> F (brake_is_released & car_starts))
G(!( train_has_arrived & elevator_rises & train_stops )),!(train_has_arrived & elevator_rises & train_stops)
G(( LfQPCBJ | zWIlQ ) -> F( WkPxfRg )),(LfQPCBJ | zWIlQ) -> F WkPxfRg
G(!( semaphore_is_green & manager_collect_claims & motorbike_is_driven )),!(semaphore_is_green & manager_collect_claims & motorbike_is_driven)
G(( escalator_is_blocked & semaphore_is_yellow ) -> G(!( bridge_opens & sensor_retrieves_data ))),G((escalator_is_blocked & semaphore_is_yellow) -> !(bridge_opens & sensor_retrieves_data))
G(( motorbike_catches_fire ) -> G(( bar_has_to_be_repaired ) -> F( sensor_retrieves_data ))),G(motorbike_catches_fire -> (bar_has_to_be_repaired -> F(sensor_retrieves_data)))
G(( train_is_crossing & engine_stops ) -> F( semaphore_is_red | escalator_speeds_up )),(train_is_crossing & engine_stops) -> F(semaphore_is_red | escalator_speeds_up)
G(( manager_handles_requests | constructor_instantiate_objects ) -> F( car_stops & house_collapses )),((manager_handles_requests | constructor_instantiate_objects) -> F(car_stops & house_collapses))
G(( KSBYYRlK & LeNLQvFYj ) -> F( wdMIPCHJekYct )),(KSBYYRlK & LeNLQvFYj) -> F wdMIPCHJekYct
G(( train_derails & constructor_instantiate_objects ) -> F( manager_handles_requests | motorbike_catches_fire )),((train_derails & constructor_instantiate_objects) -> F(manager_handles_requests | motorbike_catches_fire))
G(( euvBBk | monoksu_at ) -> F( GReTzOkFJtn & _ZJHHjcGMujTEF )),(euvBBk | monoksu_at) -> F(ReTzOkFJtn & _ZJHHjcGMujTEF)
G(( bwifeik ) -> F( KUffIfovPvdTd )),bwifeik -> F KUffIfovPvdTd
G(( bar_has_to_be_repaired ) -> G(( motorbike_catches_fire ) -> F( brake_is_pressed ))),G(bar_has_to_be_repaired -> (motorbike_catches_fire -> F brake_is_pressed))
G(( escalator_moves ) -> G(( train_derails ) -> F( train_stops ))),G(escalator_moves -> (train_derails -> F(train_stops)))
G(( train_has_arrived ) -> G(( constructor_instantiate_objects ) -> F( engine_starts ))),train_has_arrived -> G(constructor_instantiate_objects -> F engine_starts)
G(( train_is_crossing & bar_has_to_be_repaired ) -> G(!( sensor_retrieves_data & sensor_captures_data ))),G((train_is_crossing & bar_has_to_be_repaired) -> !(sensor_retrieves_data & sensor_captures_data))
G(( engine_starts ) -> G(( sensor_retrieves_data ) -> F( car_enters ))),G(engine_starts -> (sensor_retrieves_data -> F car_enters))
G(( table_is_brown | car_stops ) -> G(!( manager_handles_requests & constructor_creates_instances ))),G(((table_is_brown | car_stops) -> !(manager_handles_requests & constructor_creates_instances)))
G(( car_stops & house_collapses ) -> F( manager_handles_requests | motorbike_catches_fire )),((car_stops & house_collapses) -> F(manager_handles_requests | motorbike_catches_fire))
G(( SUhVg_Yq ) -> F( hJmaesIhVmg )),SUhVg_Yq -> F hJmaesIhVmg
G(( PXWjFFb | AjGAYsMAxekdX ) -> G( UjUpozPrAfarn )),G((PXWjFFb | AjGAYsMAxekdX) -> UjUpozPrAfarn)
G(( semaphore_is_green ) -> G(( bridge_closes ) -> F( train_stops ))),G(semaphore_is_green -> (bridge_closes -> F train_stops))
