Ground Truth,Response
G!(elevator_falls & motorbike_has_started & table_has_been_moved),!(elevator_falls & motorbike_has_started & table_has_been_moved)
G!(bridge_closes & engine_starts & semaphore_is_broken),!(bridge_closes & engine_starts & semaphore_is_broken)
G!(car_starts & house_collapses & sensor_retrieves_data),!(sensor_retrieves_data & car_starts & house_collapses)
G!(brake_is_pressed & semaphore_is_red & sensor_retrieves_data),G(!brake_is_pressed) & G(sensor_retrieves_data & semaphore_is_red)
G!(car_starts & escalator_is_blocked & motorbike_catches_fire),G(!escalator_is_blocked) & F(car_starts & motorbike_catches_fire)
G!(brake_is_released & train_has_arrived),!(train_has_arrived & brake_is_released)
G!(manager_handles_requests & motorbike_is_driven),!(manager_handles_requests & motorbike_is_driven)
G!(bar_is_up & table_has_been_moved),!(bar_is_up & table_has_been_moved)
G!(constructor_instantiate_objects & motorbike_catches_fire),!(constructor_instantiate_objects & motorbike_catches_fire)
G!(escalator_is_blocked & motorbike_falls_down),!(motorbike_falls_down & escalator_is_blocked)
G!(bridge_opens & elevator_is_open),!(elevator_is_open & bridge_opens)
G!(constructor_creates_instances & engine_starts) | F(constructor_creates_instances & engine_starts & F(elevator_falls & manager_collect_claims)),F((engine_starts & constructor_creates_instances) & F(elevator_falls & manager_collect_claims))
G!(manager_handles_requests & train_has_arrived) | F(manager_handles_requests & train_has_arrived & F(brake_is_pressed & train_has_arrived)),F((train_has_arrived & manager_handles_requests) & F(train_has_arrived & brake_is_pressed))
G!(bridge_closes & elevator_falls) | F(bridge_closes & elevator_falls & F(bar_is_down & train_has_arrived)),F((bridge_closes & elevator_falls) & F(train_has_arrived & bar_is_down))
G!(car_stops & escalator_is_blocked) | F(car_stops & escalator_is_blocked & F(semaphore_is_yellow & train_has_been_launched)),F(car_stops & escalator_is_blocked & F(train_has_been_launched & semaphore_is_yellow))
G!(constructor_creates_instances & sensor_captures_data) | F(constructor_creates_instances & sensor_captures_data & F(bar_has_to_be_repaired & car_stops)),F(constructor_creates_instances & sensor_captures_data) & F(bar_has_to_be_repaired & car_stops)
G!(car_starts & sensor_captures_data) | F(car_starts & sensor_captures_data & F(escalator_is_blocked & sensor_captures_data)),F((car_starts & sensor_captures_data) & F(sensor_captures_data & escalator_is_blocked))
G!(car_enters & engine_stops) | F(car_enters & engine_stops & F(sensor_captures_data & sensor_gathers_information)),F((car_enters & engine_stops) & F(sensor_captures_data & sensor_gathers_information))
G!(house_is_built & table_is_brown) | F(house_is_built & table_is_brown & F(elevator_is_open & manager_collect_claims)),F((table_is_brown & house_is_built) & (elevator_is_open & F(manager_collect_claims)))
G!(house_collapses & sensor_retrieves_data) | F(house_collapses & sensor_retrieves_data & F(bridge_closes & train_has_arrived)),F((sensor_retrieves_data & house_collapses) & F(train_has_arrived & bridge_closes))
G!(bar_is_down & table_is_brown) | F(bar_is_down & table_is_brown & F(car_starts & semaphore_is_broken)),F(car_starts & F(semaphore_is_broken)) & F(table_is_brown & bar_is_down)
G!(elevator_is_open & manager_collect_claims) | F(elevator_is_open & manager_collect_claims & F(house_is_built & sensor_captures_data)),F(elevator_is_open & manager_collect_claims) & F(house_is_built & X(sensor_captures_data))
G!(car_stops & escalator_is_blocked) | F(car_stops & escalator_is_blocked & F(elevator_falls & semaphore_is_red)),F((car_stops & escalator_is_blocked) & F(semaphore_is_red & elevator_falls))
G!(sensor_captures_data & sensor_gathers_information) | F(sensor_captures_data & sensor_gathers_information & F(sensor_retrieves_data | train_has_been_launched)),F((sensor_captures_data & sensor_gathers_information) & F(sensor_retrieves_data | train_has_been_launched))
G!(bar_is_down & table_is_brown) | F(bar_is_down & table_is_brown & F(constructor_creates_instances | table_is_old)),F(table_is_brown & bar_is_down) & F(constructor_creates_instances | table_is_old)
G!(engine_stops & motorbike_falls_down) | F(engine_stops & motorbike_falls_down & F(motorbike_has_stopped | train_is_crossing)),F(engine_stops & motorbike_falls_down) & F(train_is_crossing | motorbike_has_stopped)
G!(bar_has_to_be_repaired & sensor_retrieves_data) | F(bar_has_to_be_repaired & sensor_retrieves_data & F(bridge_closes | sensor_retrieves_data)),F(bar_has_to_be_repaired & sensor_retrieves_data) & F(sensor_retrieves_data | X(bridge_closes))
G!(escalator_is_blocked & train_has_been_launched) | F(escalator_is_blocked & train_has_been_launched & F(engine_stops | semaphore_is_red)),(train_has_been_launched & escalator_is_blocked) & F(semaphore_is_red | engine_stops)
G!(bridge_closes & semaphore_is_yellow) | F(bridge_closes & semaphore_is_yellow & F(motorbike_has_started | table_is_brown)),F(semaphore_is_yellow & bridge_closes) & F(table_is_brown | motorbike_has_started)
G!(manager_collect_claims & sensor_captures_data) | F(manager_collect_claims & sensor_captures_data & F(house_collapses | train_derails)),F((manager_collect_claims & sensor_captures_data) & F(train_derails | house_collapses))
G!(bar_is_up & house_is_open) | F(bar_is_up & house_is_open & F(constructor_creates_instances | table_is_old)),F((house_is_open & bar_is_up) & F(constructor_creates_instances | table_is_old))
G!(bar_has_to_be_repaired & table_is_old) | F(bar_has_to_be_repaired & table_is_old & F(escalator_moves | train_has_arrived)),X((table_is_old & bar_has_to_be_repaired) & X(F(train_has_arrived | escalator_moves)))
G!(car_enters & motorbike_catches_fire) | F(car_enters & motorbike_catches_fire & F(bridge_closes | escalator_is_blocked)),F((motorbike_catches_fire & car_enters) & F(bridge_closes | escalator_is_blocked))
G!(constructor_instantiate_objects & elevator_rises) | F(constructor_instantiate_objects & elevator_rises & F(bar_is_closing | brake_is_pressed)),F(constructor_instantiate_objects & elevator_rises & F(bar_is_closing | brake_is_pressed))
G!(brake_is_pressed & train_stops) | F(brake_is_pressed & train_stops & F(manager_collect_claims | sensor_retrieves_data)),F(train_stops & brake_is_pressed & F(sensor_retrieves_data | manager_collect_claims))
G!(brake_is_pressed & train_has_arrived) | F(brake_is_pressed & train_has_arrived & F sensor_gathers_information),F((train_has_arrived & brake_is_pressed) & F(sensor_gathers_information))
G!(escalator_is_blocked & sensor_captures_data) | F(escalator_is_blocked & sensor_captures_data & F sensor_gathers_information),F((escalator_is_blocked & sensor_captures_data) & F(sensor_gathers_information))
G!(car_enters & engine_stops) | F(car_enters & engine_stops & F sensor_gathers_information),F((car_enters & engine_stops) & F(sensor_gathers_information))
G!(motorbike_catches_fire & sensor_gathers_information) | F(motorbike_catches_fire & sensor_gathers_information & F sensor_gathers_information),F((sensor_gathers_information & motorbike_catches_fire) & F(sensor_gathers_information))
G!(car_enters & engine_stops) | F(car_enters & engine_stops & F train_has_arrived),F((car_enters & engine_stops) & F(train_has_arrived))
G!(constructor_creates_instances & sensor_captures_data) | F(constructor_creates_instances & sensor_captures_data & F sensor_gathers_information),F(constructor_creates_instances & sensor_captures_data & F(sensor_gathers_information))
G!(engine_stops & sensor_gathers_information) | F(engine_stops & sensor_gathers_information & F bridge_closes),F((engine_stops & sensor_gathers_information) & F(bridge_closes))
G!(house_collapses & house_is_open) | F(house_collapses & house_is_open & F bridge_closes),F((house_collapses & house_is_open) & F(bridge_closes))
G!(bridge_closes & semaphore_is_yellow) | F(bridge_closes & semaphore_is_yellow & F sensor_gathers_information),F((semaphore_is_yellow & bridge_closes) & F(sensor_gathers_information))
G!(house_collapses & sensor_retrieves_data) | F(house_collapses & sensor_retrieves_data & F sensor_gathers_information),(sensor_retrieves_data & house_collapses) & F(sensor_gathers_information)
G!(constructor_instantiate_objects & elevator_rises) | F(constructor_instantiate_objects & elevator_rises & F sensor_gathers_information),(constructor_instantiate_objects & elevator_rises) & F sensor_gathers_information
G!(elevator_is_blocked & train_stops) | F(elevator_is_blocked & train_stops & F sensor_gathers_information),F((train_stops & elevator_is_blocked) & F(sensor_gathers_information))
G!(elevator_is_blocked | house_is_open | semaphore_is_red),!(elevator_is_blocked | semaphore_is_red | house_is_open)
G!(escalator_moves | motorbike_is_driven | train_derails),!(escalator_moves | motorbike_is_driven | train_derails)
G!(elevator_is_open | motorbike_falls_down | semaphore_is_green),!(semaphore_is_green | motorbike_falls_down | elevator_is_open)
G!(engine_starts | escalator_is_blocked),!(engine_starts | escalator_is_blocked)
G!(house_is_open | table_has_been_moved),!(table_has_been_moved | house_is_open)
G!(car_stops | train_is_crossing),!(car_stops | train_is_crossing)
G!(elevator_rises | train_is_crossing) | F((elevator_rises | train_is_crossing) & F(car_enters & engine_stops)),F((train_is_crossing | elevator_rises) & F(car_enters & engine_stops))
G!(car_enters | motorbike_is_driven) | F((car_enters | motorbike_is_driven) & F(brake_is_released & sensor_captures_data)),F((car_enters | motorbike_is_driven) & F(brake_is_released & sensor_captures_data))
G!(engine_breaks | manager_handles_requests) | F((engine_breaks | manager_handles_requests) & F(constructor_creates_instances & motorbike_has_stopped)),F((engine_breaks | manager_handles_requests) & F(constructor_creates_instances & motorbike_has_stopped))
G!(elevator_is_open | engine_stops) | F((elevator_is_open | engine_stops) & F(engine_starts & motorbike_catches_fire)),F((elevator_is_open | engine_stops) & F(motorbike_catches_fire & engine_starts))
G!(brake_is_pressed | escalator_moves) | F((brake_is_pressed | escalator_moves) & F(constructor_creates_instances & train_has_been_launched)),F((escalator_moves | brake_is_pressed) & F(constructor_creates_instances & F(train_has_been_launched)))
G!(elevator_is_blocked | house_is_open) | F((elevator_is_blocked | house_is_open) & F(brake_is_pressed & motorbike_has_stopped)),F((elevator_is_blocked | house_is_open) & F(brake_is_pressed & motorbike_has_stopped))
