Ground Truth,Response
( F photo_person_north_7th_avenue ) -> ( ! photo_person_north_7th_avenue U ( photo_car_southeast_10th_street & ! photo_person_north_7th_avenue ) ),G(photo_person_north_7th_avenue -> photo_car_southeast_10th_street)
( G prop_2 & ( prop_1 <-> prop_3 ) ),G(prop_2) & G((prop_1 <-> prop_3))
( prop_1 | F prop_2 ),prop_1 | prop_2
secure_apple & G ( ! ( drop_apple ) ),G(secure_apple & G(!drop_apple))
( prop_1 & F prop_2 ),(prop_1) & G(prop_2)
<>(restaurant_9&&<>(takeout_2&&<>(house_1&&pd))),G((takeout_2 & restaurant_9) -> F(house_1))
F ( prop_1 & F prop_2 ),F(prop_1 ) & F(prop_2 )
( prop_1 & G ( F prop_2 ) ),prop_1 & G(prop_2)
[]<>(area_2&&photo),G(F(area_2 ) & F(photo ))
F ( go_to_peach ) -> F ( go_by_house ),G(go_to_peach -> F(go_by_house))
G(( bar_has_to_be_repaired | sensor_retrieves_data ) -> F( engine_breaks & semaphore_is_yellow )),F((bar_has_to_be_repaired | sensor_retrieves_data) & F(engine_breaks & semaphore_is_yellow))
F ( prop_1 | G ( F prop_2 ) ),G((prop_1 ) | (prop_2 ))
F ( office_3 & F ( p_document_1 & F ( street_2 & G street_2 ) ) ),G((p_document_1 & office_3) -> F(street_2 & G(street_2)))
( ( prop_1 -> prop_2 ) -> F prop_3 ),G(prop_1 -> (prop_2 & F(prop_3)))
( ( prop_1 | prop_3 ) & ! prop_2 ),G((prop_1 | prop_3) & !prop_2)
( ( ( prop_2 -> prop_4 ) <-> prop_3 ) & prop_1 ),G((prop_2 -> F(prop_4)) <-> prop_3) & prop_1
( prop_1 -> F prop_2 ),F(prop_2 )
F ( snag_orange ) & F ( lay_hold_of_apple ),G(snag_orange -> F(lay_hold_of_apple))
( F ( prop_1 <-> prop_2 ) <-> prop_3 ),G((prop_1 <-> prop_2) -> (prop_3 <-> prop_3))
G ( F prop_1 & prop_2 ),G(F(prop_1 ) & F(prop_2 ))
F ( landmark_9 & photo & G landmark_9 ),F(photo & G(photo & landmark_9))
( F ( blue_room ) & G ( ! yellow_room ) ),G(blue_room -> G(!yellow_room))
F ( house_3 & F ( p_box_8 & F ( office_2 & pd ) ) ),G((pd & house_3) -> F(p_box_8 & office_2))
G ( search_bottle -> X G ! idle ),G(search_bottle -> G(!idle))
( ( ! prop_3 -> prop_1 ) & prop_2 ),G(!prop_3 -> (prop_1 & prop_2))
F ( prop_1 U prop_2 ),prop_1 U prop_2
F ( prop_1 | G ( F prop_2 ) ),G(prop_1 -> prop_2)
( F prop_1 -> prop_2 ),G(prop_1 -> prop_2)
!intersection_4 U street_5,G(!(intersection_4) U street_5)
( F record_gas_leak ) -> ( ! record_gas_leak U ( go_home & ! record_gas_leak ) ),G(record_gas_leak -> !go_home)
G ( ( prop_2 | prop_1 ) -> F prop_3 ),G((prop_2 | prop_1) -> prop_3)
( G prop_2 <-> ( prop_1 -> prop_3 ) ),G(prop_2 ) <-> (prop_1  & F(prop_3 ))
G(( constructor_instantiate_objects ) -> G(( motorbike_catches_fire ) -> F( table_is_old ))),G((motorbike_catches_fire) -> F(table_is_old))
! p_cone_2 U intersection_4,G(!p_cone_2 U intersection_4)
( ( prop_1 <-> prop_2 ) -> G prop_3 ),G((prop_1 <-> prop_2) -> prop_3)
! office_4 U p_pass_6 & F ( house_5 & F ( p_pass_6 & F ( office_4 & pd ) ) ),G((!p_pass_6) U (p_pass_6 & F(pd & office_4)))
G ( F ( make_way_to_house ) ) | F ( advance_to_house ),G(F(make_way_to_house) | F(advance_to_house))
( ( prop_4 U prop_3 ) -> ( prop_2 -> prop_1 ) ),G((prop_4 R prop_3) -> (prop_2 -> prop_1))
F ( bring_pear ) U secure_apple,bring_pear U secure_apple
G ( get_help->_pickup_book | X pickup_book ),G(get_help -> (pickup_book | X(pickup_book)))
F ( venture_to_house ) | G ( ! ( drop_apple ) ),G(venture_to_house | G(!drop_apple))
F prop_1,G(prop_1)
! G ( ! ( go_home & X go_home ) ),G(go_home | X(go_home) | X(X(go_home)))
G ( prop_1 U prop_2 ),prop_1 U prop_2
!room_2 U (kitchen_1&&<>(p_bottle_4&&<>(table_4&&pd))),G((!room_2) U (kitchen_1 & p_bottle_4 & F(table_4 & pd)))
( G ( prop_2 -> prop_1 ) | prop_3 ),G((prop_2) -> (prop_1 | prop_3))
( ( ! prop_1 & prop_2 ) -> prop_3 ),G((!(prop_1 & prop_2)) -> prop_3)
G ( ( prop_3 | prop_4 ) -> ( prop_1 U prop_2 ) ),G((prop_3 | prop_4) -> (!prop_2 U prop_1))
