Natural Language,Ground Truth,Atomic Proposition
The machine provides beer infinitely often after initially providing soda three times in a row,x1 & X(x1) & X(X(x1))->G(F(x1)),“The machine provide beer” : x1
Each process 1 and 2 will eventually enter its critical section,F(x1),“Process enters critical section” : x1
Each process 1 and 2 will enter its critical section infinitely often,G(F(x1)),“Process enters critical section” : x1
Each waiting process will eventually enter its critical section,G(x1 -> F(x2)),“Waiting process” : x1; “Critical section” : x2
The first traffic light is infinitely often green,G(F(x1)),“Green” x1
The traffic lights are never both green simultaneously,G(!(x1&x2)),“Green1” x1; “Green2” x2
"If one light switches from red to green, the other switches from green to red",G ((x1 & X x2) -> (x3 & X x4)),“Red1’ : x1; “Green1” : x2; “Green2” : x3; “Red2’ : x4;
a red phase must be preceded immediately by a yellow phase,G(x1 -> (Y(x2))),“Red’ : x1; “Yellow” : x2;
Something good will eventually happen,F(x1),“Something good” : x1
Both traffic lights are infinitely often green,G(F(x1)) & G(F(x2)),“Traffic light is green1” : x1; “Traffic light is green2” : x2
Every process that is enabled infinitely often gets its turn infinitely often,G(F(x1)) -> G(F(x2)),“Every process enabled” : x1; “Every process get turn” : x2
Every process that is continuously enabled from a certain time instant on gets its turn infinitely often.,G(G(x1) -> F(x2)),"“Process is enabled” : x1; ""Process gets its turn” : x2"
Each traffic light is green infinitely often,G(F(x1))&G(F(x2)),“Traffic light is Green1” x1; “Traffic light is Green2” x2
Every process that requests access to the critical section will eventually be able to do so,G(x1 -> x2),"""Process requests access” : x1; ""Process is in its critical section” : x2"
A should never occur,G(!x1),A : x1
A should occur exactly once,F(x1 & G(X(!x1))),A : x1
A and B alternate infinitely often,G(F(x1)) & G(F(x2) &  G(X1 -> X(!x1 U x2)) & G (x2 -> X(!x2 U x1)),A : x1; B : x2
A should eventually be followed by B,G(x1 -> F(x2)),A : x1; B : x2
"Whenever the input x is continuously high, then the output y is infinitely often high",G(G(x1)->G(F(x2))),x : x1; y : x2
"Whenever currently r2=0, then it will never be the case that after the next input r1=1",G(x1-> X(!(x2))),“r2=0” : x1; “r1=1” : x2
It is never the case that two successive outputs are high. ,G!(x1 & X(x1)),“Output is high” : x1
The configuration with x=1 and r1=0 never occurs.,G(!(x1&x2)),“x=1” : x1; “r1=0” : x2
The car stops once the driver pushes the brake,G(x2 -> F(x1)),“Car stops” : x1; “Push car brakes” : x2
The message is received after it has been sent,G(x2 - > F(x1)),“Message received” : x1; “Message has been sent” : x2
"Once red, the light cannot become green immediately",G(x1 -> X(!x2)),“Red” : x1; “Green” : x2
"once red, the light always becomes green eventually after being yellow for some time",G(x1 -> (x1 U (x2 & (x2 U x3)))),“Red” : x1; “Yellow” : x2; “Green” : x3
every request will eventually lead to a response,G (x1 -> F(x2)),“Request” : x1; “Response” : x2
"Whenever message m is in the out-buffer of S, then m will eventually be consumed by the receiver",G (x1 -> F(x2)),"""Message m is in the out-buffer of S” : x1; ""Message m is consumed by the receiver” : x2"
Message m cannot be in both buffers at the same time,G!(x1 & x2),"""Message m is in the out-buffer of S” : x1; ”Message m is in the in-buffer of R” : x2"
There is always one leader,G(x1),“Leader” : x1
There must always be at most one leader,G(x1),“At Most One Leader” : x1
There will be enough leaders in due time,G(F(x1)),“EnoughLeaders” : x1
"If message m is offered first by S to its output buffer S.out and subsequently m , then m will be received by R before m",G((x1 & F(x2)) -> (x3 U x4)),"""Message m1 is offered by S” : x1 ; ”Message m2 is offered by S” : x2 ; ""Message m1 is received by R” : x3 ; ""Message m2 is received by R” : x4"
In the presence of an active process with a higher identity the leader will resign at some time,G(x1 -> F(x2)),"""There is an active process with a higher identity” : x1 ; ""The leader resigns” : x2"
A new leader will be an improvement over the previous one,G(x1->x2),“NewLeader” : x1; “ImprovementOverPreviousLeader” : x2
a user can print only for a finite amount of time,G(x1 -> F(!x2)),“A User Can Print” : x1
"if a user wants to print something, he/she eventually is able to do so. ",G(x1 -> F(x2)),“A User Wants To Print” : x1; “A User Can Print” : x2
a user can always request to use the printer ,G(F(x1)),“A user makes a request” : x1
User 1 and 2 must strictly alternate in printing,G(x1 -> X(x2)) & G(x2 -> X(x1)),“User1 prints” : x1 ; “User2 prints” : x2
