Index,Requirement,Ground Truth,Response,Equivalent
5089,"every time both the train derails and the escalator moves then finally, a train has arrived",G((escalator_moves & train_derails) -> F train_has_arrived),G((train_derails & escalator_moves) -> F train_has_arrived),True
5090,repeatedly go_to pear or at some time obtain apple,GF go_to_pear | F obtain_apple,GF(go_to_pear) | F(obtain_apple),True
5091,"when walk , pick_up orange",walk -> pick_up_orange,G(walk -> pick_up_orange),False
5092,"after both the manager handles requests and the bar is down, in the future the elevator is blocked or a constructor creates instances",G((bar_is_down & manager_handles_requests) -> F(constructor_creates_instances | elevator_is_blocked)),F((manager_handles_requests & bar_is_down) -> F(elevator_is_blocked | constructor_creates_instances)),False
5093,"When get_help happens, photo the jaywalker on northwest_9th_avenue must hold now or in the next step.",G(get_help -> (photo_jaywalker_northwest_9th_avenue | X photo_jaywalker_northwest_9th_avenue)),G(get_help -> (photo_jaywalker_northwest_9th_avenue | X photo_jaywalker_northwest_9th_avenue)),True
5094,"Always eventually visit charger_1, and eventually you at house_4 to get box_4 and at house_9 and put it down",GF charger_1 & F(house_4 & F(box_4 & F(house_9 & pd))),GF charger_1 & F (house_4 & box_4 & F (house_9 & pd)),False
5095,"first, in the future the engine stops or a train is crossing, and then, sooner or later a bridge closes",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F bridge_closes),F(engine_stops | train_is_crossing) & F(F(bridge_closes)),False
5096,"whenever a motorbike falls down and a table has been moved then always, either the bar is down or the sensor retrieves data",G((motorbike_falls_down & table_has_been_moved) -> G(bar_is_down | sensor_retrieves_data)),G((motorbike_falls_down & table_has_been_moved) -> G(bar_is_down | sensor_retrieves_data)),True
5097,"Do not enter building 3 until you arrive at garage 3, and once there, remain in building 3",(!building_3 U garage_3) & FG building_3,(!building_3 U garage_3) & G(garage_3 -> G building_3),False
5098,if both the table is old and the constructor creates instances then sooner or later either the car stops or the escalator is blocked,G((constructor_creates_instances & table_is_old) -> F(car_stops | escalator_is_blocked)),(table_is_old & constructor_creates_instances) -> F(car_stops | escalator_is_blocked),False
5099,"Look for the toothbrush must keep holding until, from some point on, get_help holds infinitely often.",search_toothbrush U GF get_help,search_toothbrush U G F get_help,True
5100,Staying in parking lot 9 at all times,G parking_lot_9,G parking_lot_9,True
5101,at some time advance_to house and hold pear,hold_pear & F advance_to_house,F(advance_to_house & hold_pear),False
5102,never let_go and when possible touch tree,G!let_go & F touch_tree,G(!let_go) & F(touch_tree),True
5103,take_to trashcan or do not let_go orange,!let_go_orange | take_to_trashcan,take_to_trashcan | !let_go_orange,True
5104,at no time the bar has to be repaired and together a train has arrived and the escalator speeds up,G!(bar_has_to_be_repaired & escalator_speeds_up & train_has_arrived),G(!(bar_has_to_be_repaired & train_has_arrived & escalator_speeds_up)),True
5105,at any time travel_to flag and when possible grasp apple,F travel_to_flag & F grasp_apple,G(travel_to_flag) & F(grasp_apple),False
5106,go_by waste bin until go_by waste bin,go_by_waste_bin,go_by_waste_bin U go_by_waste_bin,True
5107,Continuously take pictures of street_3,GF(photo & street_3),G(photo & street_3),False
5108,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
5109,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,venture_towards_house & G(!drop_apple),True
5110,"Stay away from the nearest_debris and get_help never coincide, yet one of them is always true.",G!(avoid_nearest_debris & get_help) & G(avoid_nearest_debris | get_help),G(!(avoid_nearest_debris & get_help) & (avoid_nearest_debris | get_help)),True
5111,"forever, the semaphore is red or the engine stops",G(engine_stops | semaphore_is_red),G(semaphore_is_red | engine_stops),True
5112,the house is built involves that always when a sensor retrieves data then at some point in time a train derails,G(house_is_built -> G(sensor_retrieves_data -> F train_derails)),house_is_built -> G(sensor_retrieves_data -> F train_derails),False
5113,at any time come home and at any time secure pear,F come_home & F secure_pear,(GF come_home) & (GF secure_pear),False
5114,Avoid entering room 2 until you take bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),!(room_2) U (p_bottle_4 & kitchen_1 & table_4),False
5115,repeatedly go_to pear and when possible collect apple,GF go_to_pear & F collect_apple,GF(go_to_pear) & GF(collect_apple),False
5116,in the future the engine breaks and together a manager handles requests and the train stops,F(engine_breaks & manager_handles_requests & train_stops),F(engine_breaks & manager_handles_requests & train_stops),True
5117,"Do not go to intersection 1 before arriving at street 6, and ensure you take cone 3 from street 2 and place it in intersection 1",(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F(intersection_1 & pd))),(!intersection_1 U street_6) & F(street_2 & p_cone_3) & F(intersection_1 & p_cone_3),False
5118,"after both the car starts and a table is brown, in the future the house is open and the bridge opens",G((car_starts & table_is_brown) -> F(bridge_opens & house_is_open)),(car_starts & table_is_brown) -> F (house_is_open & bridge_opens),False
5119,"Globally, it is not the case that both record safe_person and get_help hold simultaneously.",G!(get_help & record_safe_person),G(!(record_safe_person & get_help)),True
5120,"sooner or later both the car starts and the bar is down and, it is going to happen that the engine stops or the constructor instantiate objects afterwards",G!(bar_is_down & car_starts) | F(bar_is_down & car_starts & F(constructor_instantiate_objects | engine_stops)),F((car_starts & bar_is_down) & F(engine_stops | X constructor_instantiate_objects)),False
5121,whenever secure pear and whenever be_at flag,F secure_pear & F be_at_flag,G(secure_pear) & G(be_at_flag),False
5122,hold_on_to pear and never drop apple,hold_on_to_pear & G!drop_apple,hold_on_to_pear & G(!drop_apple),True
5123,it will not happen that both a constructor creates instances and a bridge opens,G!(bridge_opens & constructor_creates_instances),!(constructor_creates_instances & bridge_opens),False
5124,Take a picture of the pedestrian on west_5th_avenue can only happen after recording the person on southeast_2nd_avenue.,!photo_pedestrian_west_5th_avenue U record_person_southeast_2nd_avenue,!photo_pedestrian_west_5th_avenue U record_person_southeast_2nd_avenue,True
5125,"From some point onwards, deliver the broccoli to the loading_dock never occurs again.",FG!deliver_broccoli_loading_dock,FG(!deliver_broccoli_loading_dock),True
5126,"if forever moving , at some time stop_by house",G moving -> F stop_by_house,G moving -> F stop_by_house,True
5127,Repeatedly photograph area_51 while ensuring you also return to charger_4 regularly,GF(area_51 & photo) & GF charger_4,GF(photo & area_51) & GF(charger_4),True
5128,take_to trash can and forever have apple,take_to_trash_can & G have_apple,take_to_trash_can & G have_apple,True
5129,"From some point onwards, communicate the safe_hostile never occurs again.",FG!communicate_safe_hostile,FG(!communicate_safe_hostile),True
5130,Eventually go to table 4 and remain there permanently,FG table_4,F G table_4,True
5131,at a certain moment the motorbike catches fire and the motorbike has started after either the engine breaks or a bridge closes,G((bridge_closes | engine_breaks) -> F(motorbike_catches_fire & motorbike_has_started)),F(motorbike_catches_fire & ( (engine_breaks | bridge_closes) U motorbike_has_started )),False
5132,"This controller must eventually, avoid going home.",F!go_home,F(!go_home),True
5133,if the motorbike falls down or a house collapses then all the time the bar is down and a semaphore is red,G((house_collapses | motorbike_falls_down) -> G(bar_is_down & semaphore_is_red)),(motorbike_falls_down | house_collapses) -> G(bar_is_down & semaphore_is_red),False
5134,repeatedly go_to waste basket until venture_to trash can,GF go_to_waste_basket U venture_to_trash_can,(G go_to_waste_basket) U venture_to_trash_can,False
5135,in the future a manager handles requests or the engine breaks,F(engine_breaks | manager_handles_requests),F(manager_handles_requests | engine_breaks),True
5136,Put package_4 in house_4 after you get it from store_2,F(store_2 & F(p_package_4 & F(house_4 & pd))),F(p_package_4 & store_2 & F(p_package_4 & house_4)),False
5137,"At every step, search the knife equals the value of deliver the donut to the shelf in the next step.",G(search_knife <-> X deliver_donut_shelf),G(search_knife <-> X deliver_donut_shelf),True
5138,Take a video of the person on southeast_3rd_street and get_help are mutually exclusive at all times.,G!(get_help & record_person_southeast_3rd_street),G(!(record_person_southeast_3rd_street & get_help)),True
5139,"first, it will happen that the motorbike falls down or a manager collect claims, and then, finally, both an elevator is open and a train has arrived",G!(manager_collect_claims | motorbike_falls_down) | F((manager_collect_claims | motorbike_falls_down) & F(elevator_is_open & train_has_arrived)),F((motorbike_falls_down | manager_collect_claims) & F(elevator_is_open & train_has_arrived)),False
5141,"each time the brake is pressed then as a train derails, sooner or later the escalator moves",G(brake_is_pressed -> G(train_derails -> F escalator_moves)),G((brake_is_pressed & train_derails) -> F escalator_moves),False
5142,"If record unsafe_rescuer ever holds, avoid the nearest_debris must have held beforehand.",F record_unsafe_rescuer -> (!record_unsafe_rescuer U (avoid_nearest_debris & !record_unsafe_rescuer)),G(record_unsafe_rescuer -> (!avoid_nearest_debris U record_unsafe_rescuer)),False
5143,"The system must eventually, avoid delivering the motorbike to the shelf.",F!deliver_motorbike_shelf,F(!deliver_motorbike_shelf),True
5144,"first, eventually, both a motorbike catches fire and the car enters, and then, in the future either the table is brown or the motorbike has started",G!(car_enters & motorbike_catches_fire) | F(car_enters & motorbike_catches_fire & F(motorbike_has_started | table_is_brown)),F((motorbike_catches_fire & car_enters) & F(table_is_brown | motorbike_has_started)),False
5145,it will happen that a train derails after both the car stops and an elevator is blocked,G((car_stops & elevator_is_blocked) -> F train_derails),F((car_stops & elevator_is_blocked) -> F train_derails),False
5146,"if the sensor captures data and a car stops then finally, the train derails",G((car_stops & sensor_captures_data) -> F train_derails),(sensor_captures_data & car_stops) -> F train_derails,False
5147,"first, finally, either the bar is down or a motorbike falls down, and then, at some point the motorbike catches fire and a semaphore is red",G!(bar_is_down | motorbike_falls_down) | F((bar_is_down | motorbike_falls_down) & F(motorbike_catches_fire & semaphore_is_red)),F((bar_is_down | motorbike_falls_down) & F(motorbike_catches_fire & semaphore_is_red)),False
5148,never let_go apple or at any time get pear,G!let_go_apple | F get_pear,G(!let_go_apple) | F(get_pear),True
5149,"Globally, it is not the case that both idle and deliver the vase to the loading_dock hold simultaneously.",G!(deliver_vase_loading_dock & idle),G(!(idle & deliver_vase_loading_dock)),True
5150,at any time tax apple and forever go_by trash can,F tax_apple & G go_by_trash_can,G(tax_apple & G go_by_trash_can),False
5151,whenever pick_up apple or whenever stop_by trash can,F pick_up_apple | F stop_by_trash_can,G(pick_up_apple | stop_by_trash_can),False
5152,Stay away from parking_lot_4 until building_8 is reached,!parking_lot_4 U building_8,(!parking_lot_4) U building_8,True
5153,never drop orange or reach house,reach_house | G!drop_orange,G(!(drop_orange | reach_house)),False
5154,take_to trashcan and repeatedly grab tree,take_to_trashcan & GF grab_tree,take_to_trashcan & GF grab_tree,True
5155,"If deliver the sink to the loading_dock holds and search the dining_table holds next, then pickup the stop_signing holds in the step after that.",G((deliver_sink_loading_dock & X search_dining_table) -> XX pickup_stop_sign),(deliver_sink_loading_dock & X search_dining_table) -> XX pickup_stop_sign,False
