Mutation Context,Frequency
Mutation.ADD_F_1_True_2,307
Mutation.SWAP_G_WITH_F_1_None_2,286
Mutation.SWAP_G_WITH_X_1_None_3,286
Mutation.ADD_NEGATION_4_None_1,284
Mutation.ADD_NEGATION_1_False_2,272
Mutation.ADD_NEGATION_1_True_1,271
Mutation.ADD_NEGATION_3_None_2,261
Mutation.ADD_X_1_False_3,254
Mutation.ADD_X_1_None_2,254
Mutation.ADD_X_3_None_3,245
Mutation.REMOVE_RIGHT_SUBFORMULA_2_None_1,240
Mutation.SWAP_APS_0_None_1,233
Mutation.REMOVE_LEFT_SUBFORMULA_2_None_2,229
Mutation.ADD_X_3_None_2,220
Mutation.REMOVE_RIGHT_SUBFORMULA_2_None_2,216
Mutation.ADD_X_4_None_3,208
Mutation.ADD_NEGATION_4_None_2,207
Mutation.REMOVE_LEFT_SUBFORMULA_2_True_1,201
Mutation.ADD_F_2_False_2,194
Mutation.SWAP_APS_0_None_2,192
Mutation.SWAP_IMPLIES_WITH_OR_2_None_2,189
Mutation.ADD_F_1_False_2,182
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_None_2,181
Mutation.SWAP_IMPLIES_WITH_OR_2_None_1,178
Mutation.SWAP_IMPLIES_WITH_AND_2_True_1,176
Mutation.ADD_G_3_True_2,168
Mutation.ADD_F_3_False_2,156
Mutation.SWAP_G_WITH_F_1_False_1,155
Mutation.ADD_F_1_False_1,150
Mutation.ADD_X_3_True_1,142
Mutation.ADD_G_4_True_2,139
Mutation.ADD_NEGATION_5_None_1,138
Mutation.ADD_X_3_False_3,136
Mutation.ADD_NEGATION_5_None_2,133
Mutation.ADD_G_4_False_2,118
Mutation.SWAP_APS_0_True_2,114
Mutation.SWAP_F_WITH_G_3_None_2,111
Mutation.SWAP_F_WITH_X_3_None_3,111
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_True_1,105
Mutation.REMOVE_RIGHT_SUBFORMULA_3_None_2,103
Mutation.REMOVE_LEFT_SUBFORMULA_3_None_2,100
Mutation.ADD_G_3_False_2,98
Mutation.ADD_X_1_None_3,95
Mutation.ADD_NEGATION_4_True_2,94
Mutation.ADD_NEGATION_4_None_3,87
Mutation.REMOVE_RIGHT_SUBFORMULA_3_None_1,84
Mutation.SWAP_F_WITH_G_3_True_2,83
Mutation.ADD_NEGATION_3_None_1,79
Mutation.SWAP_IMPLIES_WITH_AND_2_None_2,79
Mutation.ADD_X_4_None_2,79
Mutation.ADD_NEGATION_1_True_2,73
Mutation.REMOVE_LEFT_SUBFORMULA_3_True_1,67
Mutation.ADD_NEGATION_1_False_3,63
Mutation.ADD_X_4_True_1,63
Mutation.ADD_X_5_None_2,62
Mutation.ADD_X_1_False_4,61
Mutation.REMOVE_LEFT_SUBFORMULA_2_True_2,57
Mutation.ADD_F_3_True_2,57
Mutation.ADD_G_4_False_3,55
Mutation.REMOVE_NEGATION_4_None_2,55
Mutation.ADD_NEGATION_3_None_3,54
Mutation.REMOVE_RIGHT_SUBFORMULA_3_True_1,52
Mutation.SWAP_AND_WITH_OR_3_True_1,51
Mutation.SWAP_APS_0_None_3,46
Mutation.SWAP_G_WITH_F_1_False_2,46
Mutation.ADD_F_4_True_2,46
Mutation.SWAP_AND_WITH_OR_3_None_2,46
Mutation.SWAP_IMPLIES_WITH_OR_2_None_3,45
Mutation.SWAP_AND_WITH_EQUIV_3_True_1,45
Mutation.REMOVE_RIGHT_SUBFORMULA_4_None_1,44
Mutation.ADD_NEGATION_3_True_1,44
Mutation.ADD_X_4_False_2,44
Mutation.SWAP_G_WITH_F_2_None_2,43
Mutation.ADD_X_5_False_2,43
Mutation.ADD_NEGATION_3_False_1,42
Mutation.SWAP_G_WITH_X_2_None_3,41
Mutation.ADD_X_3_None_4,41
Mutation.SWAP_AND_WITH_IMPLIES_3_True_1,40
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_True_2,39
Mutation.ADD_G_1_True_1,39
Mutation.REMOVE_NEGATION_4_None_1,39
Mutation.SWAP_APS_0_True_1,38
Mutation.REMOVE_LEFT_SUBFORMULA_2_None_3,38
Mutation.SWAP_AND_WITH_IMPLIES_3_None_2,38
Mutation.ADD_NEGATION_5_None_3,37
Mutation.REMOVE_LEFT_SUBFORMULA_4_None_1,36
Mutation.ADD_X_4_False_3,35
Mutation.ADD_X_1_True_3,34
Mutation.SWAP_IMPLIES_WITH_EQUIV_2_None_3,34
Mutation.SWAP_AND_WITH_EQUIV_3_None_2,34
Mutation.SWAP_AND_WITH_OR_4_False_2,33
Mutation.SWAP_IMPLIES_WITH_EQUIV_3_None_2,33
Mutation.ADD_X_5_None_3,32
Mutation.SWAP_G_WITH_X_1_False_3,32
Mutation.REMOVE_LEFT_SUBFORMULA_3_True_2,31
Mutation.SWAP_IMPLIES_WITH_AND_2_True_2,31
Mutation.REMOVE_RIGHT_SUBFORMULA_2_True_1,31
Mutation.REMOVE_RIGHT_SUBFORMULA_4_False_2,31
Mutation.ADD_F_4_False_2,30
Mutation.SWAP_IMPLIES_WITH_OR_3_None_2,30
Mutation.ADD_NEGATION_5_True_2,30
Mutation.REMOVE_LEFT_SUBFORMULA_4_False_2,30
Mutation.ADD_G_3_False_3,29
Mutation.ADD_X_4_True_2,29
Mutation.REMOVE_X_3_None_2,29
Mutation.ADD_NEGATION_6_None_2,29
Mutation.ADD_NEGATION_3_True_2,28
Mutation.ADD_NEGATION_3_False_2,28
Mutation.REMOVE_LEFT_SUBFORMULA_4_None_2,28
Mutation.ADD_F_4_True_1,28
Mutation.SWAP_IMPLIES_WITH_OR_2_True_2,27
Mutation.SWAP_AND_WITH_OR_4_None_1,27
Mutation.ADD_X_2_None_3,27
Mutation.ADD_X_2_None_2,27
Mutation.SWAP_AND_WITH_IMPLIES_4_None_1,26
Mutation.ADD_F_2_None_1,26
Mutation.SWAP_APS_0_False_2,26
Mutation.REMOVE_LEFT_SUBFORMULA_2_None_1,25
Mutation.SWAP_AND_WITH_IMPLIES_4_False_2,25
Mutation.SWAP_AND_WITH_EQUIV_4_False_2,25
Mutation.SWAP_F_WITH_X_3_True_2,24
Mutation.SWAP_IMPLIES_WITH_AND_2_None_1,24
Mutation.ADD_X_3_False_2,24
Mutation.REMOVE_NEGATION_3_None_2,24
Mutation.REMOVE_RIGHT_SUBFORMULA_4_None_2,23
Mutation.SWAP_AND_WITH_EQUIV_4_None_1,23
Mutation.REMOVE_NEGATION_5_None_2,23
Mutation.ADD_NEGATION_2_False_2,22
Mutation.REMOVE_LEFT_SUBFORMULA_1_None_2,22
Mutation.REMOVE_LEFT_SUBFORMULA_3_None_3,22
Mutation.SWAP_IMPLIES_WITH_OR_3_None_1,22
Mutation.ADD_F_2_True_1,22
Mutation.REMOVE_LEFT_SUBFORMULA_3_None_1,22
Mutation.ADD_F_5_True_2,22
Mutation.ADD_NEGATION_5_False_2,22
Mutation.SWAP_X_WITH_F_3_False_2,22
Mutation.SWAP_X_WITH_G_3_True_2,22
Mutation.REMOVE_RIGHT_SUBFORMULA_1_None_1,21
Mutation.ADD_X_3_True_3,21
Mutation.SWAP_IMPLIES_WITH_EQUIV_3_True_1,21
Mutation.REMOVE_RIGHT_SUBFORMULA_3_False_2,21
Mutation.REMOVE_LEFT_SUBFORMULA_4_True_1,21
Mutation.ADD_NEGATION_6_None_1,20
Mutation.SWAP_IMPLIES_WITH_AND_3_True_1,20
Mutation.SWAP_AND_WITH_OR_4_None_2,20
Mutation.ADD_G_6_True_2,20
Mutation.SWAP_F_WITH_G_4_None_2,19
Mutation.ADD_G_2_True_2,19
Mutation.SWAP_G_WITH_F_1_None_1,19
Mutation.ADD_X_4_True_3,19
Mutation.REMOVE_RIGHT_SUBFORMULA_1_None_2,19
Mutation.SWAP_AND_WITH_OR_3_None_3,19
Mutation.ADD_X_5_True_1,19
Mutation.ADD_X_2_True_3,18
Mutation.REMOVE_RIGHT_SUBFORMULA_4_True_1,18
Mutation.SWAP_AND_WITH_OR_3_False_2,18
Mutation.SWAP_AND_WITH_OR_2_None_1,17
Mutation.REMOVE_X_4_None_2,17
Mutation.SWAP_AND_WITH_OR_3_None_1,17
Mutation.ADD_G_5_False_2,17
Mutation.SWAP_OR_WITH_IMPLIES_4_None_1,17
Mutation.ADD_NEGATION_1_False_1,16
Mutation.ADD_G_5_True_2,16
Mutation.REMOVE_LEFT_SUBFORMULA_3_False_2,16
Mutation.SWAP_AND_WITH_OR_4_True_1,16
Mutation.SWAP_OR_WITH_EQUIV_4_None_1,16
Mutation.SWAP_F_WITH_X_4_None_3,15
Mutation.ADD_X_3_False_4,15
Mutation.SWAP_IMPLIES_WITH_AND_3_None_2,15
Mutation.ADD_NEGATION_4_True_1,15
Mutation.REMOVE_RIGHT_SUBFORMULA_3_True_2,15
Mutation.ADD_G_3_True_1,15
Mutation.SWAP_AND_WITH_EQUIV_4_None_2,15
Mutation.ADD_G_4_True_3,15
Mutation.ADD_NEGATION_2_False_3,15
Mutation.SWAP_OR_WITH_IMPLIES_5_None_2,15
Mutation.SWAP_OR_WITH_EQUIV_5_None_2,15
Mutation.ADD_NEGATION_4_False_2,14
Mutation.ADD_X_6_None_3,14
Mutation.REMOVE_G_1_None_2,14
Mutation.REMOVE_RIGHT_SUBFORMULA_3_None_3,14
Mutation.ADD_G_5_True_3,14
Mutation.SWAP_AND_WITH_EQUIV_4_True_1,14
Mutation.ADD_G_1_False_2,13
Mutation.REMOVE_LEFT_SUBFORMULA_1_True_2,13
Mutation.SWAP_IMPLIES_WITH_EQUIV_3_True_2,13
Mutation.REMOVE_RIGHT_SUBFORMULA_2_True_2,13
Mutation.SWAP_OR_WITH_IMPLIES_3_None_1,13
Mutation.SWAP_OR_WITH_IMPLIES_3_None_2,13
Mutation.REMOVE_G_1_False_3,13
Mutation.ADD_X_5_False_3,13
Mutation.ADD_X_3_True_2,12
Mutation.REMOVE_LEFT_SUBFORMULA_4_True_2,12
Mutation.REMOVE_G_1_False_2,12
Mutation.REMOVE_LEFT_SUBFORMULA_2_False_2,12
Mutation.REMOVE_RIGHT_SUBFORMULA_1_True_2,12
Mutation.SWAP_OR_WITH_EQUIV_3_None_1,12
Mutation.SWAP_OR_WITH_EQUIV_3_None_2,12
Mutation.REMOVE_RIGHT_SUBFORMULA_4_False_3,12
Mutation.SWAP_AND_WITH_IMPLIES_3_False_2,12
Mutation.REMOVE_RIGHT_SUBFORMULA_5_None_2,12
Mutation.REMOVE_LEFT_SUBFORMULA_5_None_2,12
Mutation.SWAP_OR_WITH_AND_4_True_1,12
Mutation.SWAP_G_WITH_X_1_False_2,11
Mutation.SWAP_F_WITH_G_2_None_2,11
Mutation.REMOVE_LEFT_SUBFORMULA_4_None_3,11
Mutation.ADD_G_3_True_3,11
Mutation.ADD_F_4_False_3,11
Mutation.ADD_G_4_None_3,11
Mutation.ADD_F_1_False_3,11
Mutation.REMOVE_NEGATION_5_None_1,11
Mutation.SWAP_AND_WITH_EQUIV_3_False_2,11
Mutation.REMOVE_RIGHT_SUBFORMULA_4_None_3,11
Mutation.SWAP_OR_WITH_AND_4_None_2,11
Mutation.SWAP_OR_WITH_EQUIV_4_None_2,11
Mutation.SWAP_IMPLIES_WITH_OR_1_True_2,10
Mutation.ADD_X_4_None_4,10
Mutation.ADD_X_2_False_3,10
Mutation.REMOVE_NEGATION_3_None_1,10
Mutation.SWAP_OR_WITH_AND_3_None_1,10
Mutation.SWAP_G_WITH_F_3_False_2,10
Mutation.SWAP_AND_WITH_IMPLIES_4_None_2,10
Mutation.ADD_G_6_False_3,10
Mutation.SWAP_OR_WITH_IMPLIES_4_None_2,10
Mutation.SWAP_AND_WITH_OR_3_True_2,10
Mutation.SWAP_AND_WITH_IMPLIES_1_None_2,9
Mutation.ADD_NEGATION_2_None_2,9
Mutation.ADD_X_1_True_2,9
Mutation.REMOVE_NEGATION_4_None_3,9
Mutation.SWAP_IMPLIES_WITH_EQUIV_1_True_2,9
Mutation.REMOVE_NEGATION_3_False_1,9
Mutation.SWAP_AND_WITH_OR_1_None_2,9
Mutation.SWAP_AND_WITH_OR_1_False_3,9
Mutation.SWAP_G_WITH_F_3_None_1,9
Mutation.SWAP_AND_WITH_IMPLIES_4_True_1,9
Mutation.REMOVE_LEFT_SUBFORMULA_4_False_3,9
Mutation.SWAP_AND_WITH_IMPLIES_3_None_1,9
Mutation.REMOVE_RIGHT_SUBFORMULA_5_True_2,9
Mutation.SWAP_AND_WITH_IMPLIES_3_None_3,9
Mutation.SWAP_OR_WITH_AND_4_None_1,9
Mutation.SWAP_OR_WITH_AND_4_False_2,9
Mutation.SWAP_F_WITH_X_2_None_3,8
Mutation.REMOVE_LEFT_SUBFORMULA_1_None_1,8
Mutation.SWAP_AND_WITH_EQUIV_4_True_2,8
Mutation.REMOVE_G_1_True_2,8
Mutation.SWAP_F_WITH_X_1_None_3,8
Mutation.SWAP_IMPLIES_WITH_AND_3_True_2,8
Mutation.REMOVE_LEFT_SUBFORMULA_3_False_3,8
Mutation.REMOVE_RIGHT_SUBFORMULA_2_False_1,8
Mutation.ADD_F_6_False_3,8
Mutation.ADD_NEGATION_4_True_3,8
Mutation.SWAP_AND_WITH_EQUIV_3_True_2,8
Mutation.SWAP_OR_WITH_AND_3_False_2,8
Mutation.ADD_F_3_None_3,8
Mutation.ADD_F_3_False_3,8
Mutation.REMOVE_RIGHT_SUBFORMULA_4_True_2,8
Mutation.ADD_NEGATION_1_True_3,8
Mutation.SWAP_G_WITH_X_1_None_4,8
Mutation.ADD_X_5_None_4,8
Mutation.ADD_NEGATION_3_None_4,8
Mutation.SWAP_AND_WITH_OR_4_False_3,8
Mutation.ADD_X_1_None_4,8
Mutation.ADD_NEGATION_6_None_3,8
Mutation.SWAP_AND_WITH_EQUIV_3_None_3,8
Mutation.SWAP_OR_WITH_EQUIV_4_True_2,8
