Ground Truth,Response
x1 & X(x1) & X(X(x1))->G(F(x1)),G(F(x1))
G(F(x1)),G(F(x1)) & G(F(x2))
G ((x1 & X x2) -> (x3 & X x4)),G(((x1 & X(x2)) -> (x3 & X(x4))) & ((x3 & X(x4)) -> (x1 & X(x2))))
G(F(x1)) -> G(F(x2)),G(F(x1) -> F(x2))
G(x1 -> x2),G(x1 -> F(x2))
G(!x1),G(!A)
F(x1 & G(X(!x1))),G(A -> X(G(!A))) & F(A)
G(x1 -> F(x2)),G(A -> F(B))
G(G(x1)->G(F(x2))),G((G(x)) -> G(F(y)))
G(x1-> X(!(x2))),G(x1 -> G(!X(x2)))
G(x1 -> (x1 U (x2 & (x2 U x3)))),G(x1 -> F(x2 & F(x3)))
G(F(x1)),F(x1)
G((x1 & F(x2)) -> (x3 U x4)),G((x1 & !x2 & F(x2)) -> (x3 U x2))
G(x1->x2),G(x1 -> F(x2))
G(x1 -> F(!x2)),G(x1 -> F(!x1))
G(x1 -> X(x2)) & G(x2 -> X(x1)),G((x1 -> X(!x1 U x2)) & (x2 -> X(!x2 U x1)))
G(x1->X(x2 & G(!x3))),G(x1 -> (X(x2) & X(!x3)))
G(x1->X(x2)),(!x1 U (x1 & x2))
G (x1 -> (x1 U (!x1 | x2))),G(x1 -> x2)
G (x1 -> F(x2)),x1 -> x2
F(G(!x1)),G(!x1)
G (x1 -> x3) & G (!x2 -> !x1),G((x3 -> x2) & (!x2 -> !x1))
G(x1 -> (x2 & X(G!(x2)))),G(x1 -> (x2 -> X(G(!x2) | (!x2 U x1))))
G(x2 -> (x1 & X(G(!x1)))),G((x1 & X(!x1)) -> ((!x2) U (x2 U ((!x2) U (x2 -> G(!x1))))))
x1 & G (!x2 & !x3),G((x1 & !x2 & !x3))
G(x1 -> G(x2 -> F(x3))),G(x1 -> (!x2 U x3))
G(F(x1))-> G(F(x2)),G(x1 -> F(x2)) -> (G(F(x1)) -> G(F(x2)))
G(x1 -> !F(x2)),G(x1) -> !F(x2)
G(F(x1)) -> G(F(x2)),G(x1) -> G(F(x2))
G(F(x1 -> F(x2))),G(x1) -> F(x2)
G(x1-> G(F(x2))),G(x1) -> G(F(x2))
G(x1 -> F(x2)),G(x1) -> F(x2)
x1 -> (!x1 -> x2),G(x1 | x2)
!x1 -> x2,G(!x1 -> x2)
x1 -> x2,G(x1 -> x2)
(x2 -> x1) & !x2 -> !x1,G((x2 -> x1) & !x2 & !x1)
!(x1 -> x2) & (x1 -> !x2),G(x1 -> !x2)
(X3 -> x2) & (x1 -> x3) -> (x1 -> x2),G((x3 -> x2) & (x1 -> x3) & (x1 -> x2))
x2 -> x1,G(x2 -> x1)
X1 | !(x1 & x2),x1 | !(x1 & x2)
X1 | (!x1 & !x2),x1 | (!x1 & !x2)
x1 <-> x2,G(x1 <-> x2)
x2 <-> !x1,G((!x1) -> x2)
x1 ∧ (x2 -> !x3),(x1) & (x2 -> X(x3))
x1 -> x2,G(x1 -> F(x2))
x2 -> x1,x1 -> x2
(!x1 -> x2) & (x1 -> x3),G((!x1 -> x2) & (x1 -> x3))
(x1 | x2) -> x3,G((x1 | x2) -> x3)
(x1 -> (x2 & x3)) & (!x1 -> !x2 & !x3),G((x1 -> (x2 & x3)) & (!x1 -> (!x2 & !x3)))
x1 <-> (x2 | x3),G(x1 <-> (x2 | x3))
(!G x1) & (G x2) & (!G x3) ∧ (G x4),G((!x3) -> (!x1 | x1)) & G(x4 -> x2) & G(x4)
F(x1 & G(X(!x2))),F(x1 & G(!x2))
F(x1) -> G(x2),G(x1 -> G(x2))
x1 -> G(x2 U !x3),G(x1 -> (x2 U !x3))
G (x1-> X(!x1 U X2)),G(x2 <-> (!x1 & F(!x1) & !(x1 U (x1 & G(!x1)))))
G(x1 -> F(X(x2))),G(x1 -> F(x2))
G (F(x4 -> (!(F !x1->(x2 & x3))))),G(x1 -> (x4 U (x2 & x3)))
G(!(x1 & x3) & !(x2 & x4) & !(x2 & x3) &!(x1 & x4) & ((x2 | x3)  ->!(x1 | x4))),G(!(x1 & x2) & !(x1 & x3) & !(x1 & x4) & !(x2 & x3) & !(x2 & x4))
G((x1 & X(!x1) & X(X(x1))) | (!x1 & X(x1) & X(X(!x1)))),G(x1 <-> X(X(X(x1))))
x1 & X(G(!x1)),G(x1 -> X(G(!x1)))
x1 & G(x1 -> X(!x1) & X(X(!x1)) & X(X(X(x1)))),G(x1 <-> (X(X(X(x1)))))
G((x1 & X(x1)) -> X(X(G(!x1)))),G((x1 & X(x1)) -> G(!x1))
x1 & (!x2 | !x3) -> F(x2 & (!x1 | !x3)) -> F(x3 & (!x2 | !x1)) & G(x3),G((x1 & !x2 & !x3) | (!x1 & x2 & !x3) | (!x1 & !x2 & x3)) & x1 & !x2 & !x3 & F((!x1 & x2 & !x3) & F(!x1 & !x2 & x3)) & (x1 U (x2 U x3))
!(x1 & !x2) U (F(G(x2))),G(!x1 | x2) U G(F(x2))
G(x1->F(x2)),G(x1 -> F(x2 & G(!x1)))
(!x1 & !x3) -> G(x2),G((!x1 & !x3) -> x2)
G(x2) & F(x1) & F(!x1),G(x2) & F(x1)
G(X(x1) -> (x2 & !X(x2))),G(x1 -> (X(!x2) & x2))
G((x1->(!x & X(x2)) ) & (x2->(!x1 & X(x1)))),G((x1 -> (X(!x1) & X(x2))) & (x2 -> (X(!x1) & X(x1))))
x1 & X(!x1) | !x1 & X(x1) -> x2,(F x1 | G (x1 -> X !x1 & X X x1)) -> F x2
F(x1 & X(F(x1 & G(!x1)))),G(x1 -> (X(x1 -> (X(!x1) & (!x1 U G(!x1)))) & (!x1 U G(!x1)) | X(!x1 & (!x1 U (x1 & X(!x1) & X(!x1 U G(!x1)))))))
F(!x2 & !x3 -> G(x1)),F(G((!x2 & !x3) -> x1))
G(F(x1) U (!x2) & X(x3)),G((!x2 & X(x3)) | F(x1))
G(x1 -> X(x2)),G(x2 -> X(!x2 U x1) | (x1 & x2))
G(X(x1) & G(F(x1))),G(X(x1) -> G(F(x1)))
X(X(X(X(X(x1 & x2))))) | X(X(X(x3))),G(x1 & x2 | X(X(X(X(X(x1 & x2)))))) | G(x3 | X(X(X(x3))))
x1 U (!x2 & x3),G(x1 U (!x2 & x3))
x1 -> F(x2),G(x1 -> (X(!x2 U x2)))
G(x1 -> (X(!x1) & X(X(x1)))),G((x1 & X(!x1)) -> X(X(!x1)))
G (x3 <-> (X(x1 & x2) & F(x1 & x2))),G((X(x3) <-> (x1 & x2)) & (x3 -> F(x1 & x2)))
