Ground Truth,Response
!initDone U (initDone & G(StartUpMode -> F(SelfTestMode))),G((StartUpMode & initDone) -> X(SelfTestMode))
G(StartUpMode -> (checkCommsSensors & checkCommsValves)),G(StartUpMode -> (F(checkCommsSensors) & F(checkCommsValves)))
!selfTestFail U (selfTestFail & G(SelfTestMode -> G(!ventilating))),G((SelfTestMode & selfTestFail) -> G(!ventilating))
!expiratoryPauseButton & expiratoryPhaseEnd U (expiratoryPauseButton & expiratoryPhaseEnd & G((PCVMode | PSVMode) & expiratoryPauseButton -> G(expiratoryPause & inValveClose & outValveClose))),G(((PCVMode | PSVMode) & expiratoryPauseButton) -> F(expiratoryPhaseEnd & (expiratoryPauseButton -> (inValveClose & outValveClose U !expiratoryPauseButton))))
!(breathingCycleStart) U ((breathingCycleStart) & G(PCVMode -> X(inspiratoryPhaseStart))),G(PCVMode & breathingCycleStart -> inspiratoryPhaseStart)
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((PSVMode & inspiratoryPauseButton) -> ((inValveClose & outValveClose)))),G((PSVMode & inspiratoryPhaseEnd & inspiratoryPauseButton) -> X(inValveClose & outValveClose))
G((StartUpMode | StandbyMode) -> G((inValveClose & outValveOpen))),G((StartUpMode | StandbyMode) -> (inValveClose & outValveOpen))
!(inspiratoryPauseButton) U ((inspiratoryPauseButton) & G((( PCVMode | PSVMode )) -> X((inspiratoryPause | (! inspiratoryPauseButton))))),G((PCVMode | PSVMode) & inspiratoryPauseButton -> F inspiratoryPause)
G(StartUpMode -> (defaultParamsLoaded)),G(StartUpMode -> F(defaultParamsLoaded))
!(selfTestPass | guiResumeRequest) U ((selfTestPass | guiResumeRequest) & G(SelfTestMode -> F(StandbyMode))),G((SelfTestMode & (selfTestPass | guiResumeRequest)) -> X(StandbyMode))
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((PSVMode & RMButton) -> X(RM))),G((inspiratoryPhaseEnd & PSVMode & !RM & RMButton) -> X(RM))
(((! ((((StartUpMode | SelfTestMode) | StandbyMode) | PCVMode) | PSVMode)) U (off))),G((PCVMode | PSVMode | SelfTestMode | StandbyMode | StartUpMode) -> !(PCVMode | PSVMode | SelfTestMode | StandbyMode | StartUpMode) U (off & F(PCVMode | PSVMode | SelfTestMode | StandbyMode | StartUpMode)))
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((PCVMode & inspiratoryPauseButton) -> X((inValveClose & outValveClose)))),G((PCVMode & inspiratoryPhaseEnd & inspiratoryPauseButton) -> X(inValveClose & outValveClose))
!(RM) U ((RM) & X(((! RM) & expiratoryPhaseStart))),G(RM -> F(expiratoryPhaseStart))
