Index,Requirement,Ground Truth,Response,Equivalent
7155,"If record the pedestrian on west_9th_street ever holds, get_help must have held beforehand.",F record_pedestrian_west_9th_street -> (!record_pedestrian_west_9th_street U (get_help & !record_pedestrian_west_9th_street)),G(record_pedestrian_west_9th_street -> !record_pedestrian_west_9th_street R get_help),False
7156,"Whenever get_help holds, go_home holds exactly three steps later.",G(get_help -> XXX go_home),G(get_help -> X(X(X(go_home)))),True
7157,capture orange and never drop apple,capture_orange & G!drop_apple,G(!drop_apple) & F(capture_orange),False
7158,Remove cone 5 from parking lot 2 and move it to street 1,F(parking_lot_2 & F(p_cone_5 & F(pd & street_1))),G(!p_cone_5 & !parking_lot_2) & F(p_cone_5 & street_1),False
7159,Keep returning to take a photo of landmark 21 periodically,GF(landmark_21 & photo),G F (photo & landmark_21),True
7160,"at a certain moment the sensor retrieves data and, at the same time, the elevator is open and the bar has to be repaired",F(bar_has_to_be_repaired & elevator_is_open & sensor_retrieves_data),F(sensor_retrieves_data & elevator_is_open & bar_has_to_be_repaired),True
7161,This controller must avoid the inactive_debris holds at all times.,G avoid_inactive_debris,G(!avoid_inactive_debris),False
7162,"when when possible proceed_to house , at any time make_contact flag",F proceed_to_house -> F make_contact_flag,G(proceed_to_house -> G(make_contact_flag)),False
7163,always when either a car enters or the escalator speeds up then it will happen that both the engine breaks and the engine starts,G((car_enters | escalator_speeds_up) -> F(engine_breaks & engine_starts)),G((car_enters | escalator_speeds_up) -> F(engine_breaks & engine_starts)),True
7164,Pick up bottle_2 from kitchen_1 and at hall_2 and stay there,F(kitchen_1 & F(p_bottle_2 & F(hall_2 & G hall_2))),G(!p_bottle_2 | F(p_bottle_2 & F(hall_2 & G(hall_2)))),False
7165,"after the car enters and a train is crossing, at a certain moment a train derails",G((car_enters & train_is_crossing) -> F train_derails),G((car_enters & train_is_crossing) -> F(train_derails)),True
7166,the escalator moves implies that whenever the semaphore is green then in the future the house is open,G(escalator_moves -> G(semaphore_is_green -> F house_is_open)),G(escalator_moves -> G(semaphore_is_green -> F house_is_open)),True
7167,go through either a yellow or blue_room to enter the green_room,F((blue_room | yellow_room) & F green_room),G(green_room -> F((yellow_room | blue_room) & F(green_room))),False
7168,whenever venture_to house and at some time withhold apple,F venture_to_house & F withhold_apple,G((venture_to_house) -> F(withhold_apple)),False
7169,the robot avoids the red to get to the yellow,F yellow_room & G!red_room,G(!red_room) & F(yellow_room),True
7170,Locate cone_5 in intersection_5 and deliver it to street_2,F(intersection_5 & F(p_cone_5 & F(pd & street_2))),G(p_cone_5 & intersection_5 -> F(pd & street_2)),False
7171,"Either record the motorcycle on southeast_1st_avenue happens infinitely often, or get_help happens in the next step.",GF record_motorcycle_southeast_1st_avenue | X get_help,G F record_motorcycle_southeast_1st_avenue | X get_help,True
7172,"Once get_help has occurred, change light_west yellow will never occur again.",G(get_help -> XG!change_light_west_yellow),G(get_help -> G(!change_light_west_yellow)),False
7173,take orange and never drop pear,take_orange & G!drop_pear,G(take_orange) & G(!drop_pear),False
7174,every time the escalator moves,G escalator_moves,G escalator_moves,True
7175,drop orange until capture orange,drop_orange U capture_orange,drop_orange U capture_orange,True
7176,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,G(venture_towards_house -> G(!drop_apple)),False
7177,"If record the cyclist on south_8th_street ever holds, get_help must have held beforehand.",F record_cyclist_south_8th_street -> (!record_cyclist_south_8th_street U (get_help & !record_cyclist_south_8th_street)),G(record_cyclist_south_8th_street -> !record_cyclist_south_8th_street R get_help),False
7178,"Either change light_south red happens infinitely often, or get_help happens in the next step.",GF change_light_south_red | X get_help,G F change_light_south_red | X get_help,True
7179,"the train derails implies that whenever a house is built then eventually, the semaphore is green",G(train_derails -> G(house_is_built -> F semaphore_is_green)),train_derails -> G(house_is_built -> F semaphore_is_green),False
7180,Stay away from intersection_4 until you get to street_5,!intersection_4 U street_5,G(!intersection_4 U street_5),False
7181,"after the bar has to be repaired or the sensor retrieves data, finally, either the motorbike has stopped or a motorbike falls down",G((bar_has_to_be_repaired | sensor_retrieves_data) -> F(motorbike_falls_down | motorbike_has_stopped)),G((bar_has_to_be_repaired | sensor_retrieves_data) -> F(motorbike_has_stopped | motorbike_falls_down)),True
7182,"Avoid going to intersection 8 until you reach street 3, and then proceed to locality 5",(!intersection_8 U street_3) & F locality_5,(!intersection_8 U street_3) & (street_3 -> F locality_5),False
7183,"Stay away from intersection_1 until you get to street_6, and afterward, deliver cone_3 from street_2 to intersection_1",(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F(intersection_1 & pd))),G(!intersection_1 U street_6) & G(street_6 -> G(!street_6 -> G(!intersection_1 U (street_2 & p_cone_3 & F(intersection_1 & !p_cone_3))))),False
7184,repeatedly grab tree or when possible go_to trashcan,GF grab_tree | F go_to_trashcan,G(grab_tree | go_to_trashcan),False
7185,"after the semaphore is yellow, it will happen that the bar is down or a manager collect claims",G(semaphore_is_yellow -> F(bar_is_down | manager_collect_claims)),G(semaphore_is_yellow -> F(bar_is_down | manager_collect_claims)),True
