Ground Truth,Response
( F get_help ) -> ( ! get_help U ( avoid_impending_gas_leak & ! get_help ) ),F get_help -> F avoid_impending_gas_leak
[]<>(house_2&&p_trash_can_4),G(F(house_2 & F(p_trash_can_4)))
F ( gather_pear ) -> F ( make_your_way_flag ),G(gather_pear -> F(make_your_way_flag))
G(( elevator_falls | motorbike_catches_fire ) -> F( brake_is_pressed & escalator_moves )),F((brake_is_pressed) & ((escalator_moves) U (elevator_falls | motorbike_catches_fire)))
F ( office_3 & F ( p_document_1 & F ( street_2 & G street_2 ) ) ),F(office_3 & X(p_document_1 & G street_2))
G(( car_enters & train_is_crossing ) -> F( train_has_arrived )),F(train_has_arrived & (car_enters & train_is_crossing))
G(( constructor_instantiate_objects ) -> G(( elevator_is_open ) -> F( elevator_is_blocked ))),constructor_instantiate_objects -> (elevator_is_open -> F elevator_is_blocked)
F ( ( red_room | blue_room ) & F green_room ),green_room & (red_room | blue_room)
F ( stop_by_trash_can ) & F ( go_to_home ),F stop_by_trash_can & G go_to_home
F ( landmark_9 & photo & G landmark_9 ),F(landmark_9 & photo) & G(landmark_9)
F ( street_4 & F ( p_traffic_cone_5 & F ( intersection_6 & pd ) ) ),p_traffic_cone_5 & F intersection_6
G ( get_help -> X G ! deliver_aid_injured_victim ),G(get_help -> G(!deliver_aid_injured_victim))
F ( table_4 & F ( p_tin_can_4 & F ( trash_can_5 & pd ) ) ) & G ! hallway_2,p_tin_can_4 & table_4 & F trash_can_5 & G !hallway_2
G ( ! ( let_go_orange ) ) & hold_pear,!(let_go_orange) & hold_pear
G ( ! ( drop_apple ) ) & secure_apple,G(!(drop_apple) & secure_apple)
( F deliver_aid_injured_victim ) -> ( ! deliver_aid_injured_victim U ( avoid_probable_fire_source & ! deliver_aid_injured_victim ) ),F deliver_aid_injured_victim -> F avoid_probable_fire_source
G(( semaphore_is_red ) -> G(( bar_has_to_be_repaired ) -> F( escalator_moves ))),G(semaphore_is_red -> (bar_has_to_be_repaired -> F(escalator_moves)))
G(( bridge_closes | car_starts ) -> F( elevator_falls | train_stops )),F((elevator_falls | train_stops) & (bridge_closes | car_starts))
! office_4 U p_pass_6 & F ( house_5 & F ( p_pass_6 & F ( office_4 & pd ) ) ),(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4)))
G ( F ( go_to_waste_basket ) ) | F ( touch_tree ),G(F(go_to_waste_basket) | touch_tree)
F ( capture_pear ) U venture_to_trash_can,capture_pear U venture_to_trash_can
