Ground Truth,Response
G((! (sent_data & sent_control_symbol)) -> X(null_passed)),G((!sent_data & !sent_control_symbol) -> X null_passed)
((output_port_reset) -> G (!(data_transition) & !(Strobe_signal_transition))) & G( (transmition_stopped) -> (X (reset_strobe_signal) & X X(reset_data_signal))),G(output_port_reset -> !(data_transition & Strobe_signal_transition))
G( (state_machine_leaves_ErrorReset) -> (!(disconnect_detection_enable) U ((data_edge_detected) & (Strobe_ine_edge_detected))) ),G((state_machine_leaves_ErrorReset & (data_edge_detected | Strobe_ine_edge_detected)) -> disconnect_detection_enable)
G( (((ESC_received & X ESC_received) & (ESC_received & X EOP_received)) & (ESC_received & X EEP_received )) -> (ESC_error) ) & G( (ESC_received & X FCT_received) -> Null) & G((ESC_received & X data_received) -> (broadcast_code) ),G((ESC_received & X(ESC_received | EOP_received | EEP_received)) -> X(ESC_error)) & G((ESC_received & X(ESC_received)) -> X(Null)) & G((ESC_received & X(data_received)) -> X(broadcast_code))
G(!(send_NChar) U (FCT_received)),!send_NChar U CT_received
G((first_Null_received) -> X((Parity_Error_enable) & (ESC_Error_enable) & (gotFCT_enable) & (gotNChar_enable) & (gotBC_enable))),G((Parity_Error_enable | ESC_Error_enable | gotFCT_enable | gotNChar_enable | gotBC_enable) -> first_Null_received)
G(((first_data_transition) & (first_strobe_line_transition )) -> X (Disconnect_Error_enable) ),Disconnect_Error_enable -> (first_data_transition | first_strobe_line_transition)
G((Port_Reset_asserted) -> ((TX_FIFO_cleared) & (RX_FIFO_cleared) & X (ErrorReset_state))),G(Port_Reset_asserted -> (X(RX_FIFO_cleared & TX_FIFO_cleared) & X(ErrorReset_state)))
G ( ( ((((LinkDisabled & disconnect) & parity_error) & ESC_error) & credit_error) ) -> X (ErrorReset_state) ),G((LinkDisabled | disconnect | parity_error | ESC_error | credit_error) -> X ErrorReset_state)
G(((link_machine_Run_state) & (broadcast_code_requested)) -> ((current_character_finished) -> X (broadcast_code_sent))),G((link_machine_Run_state & broadcast_code_requested) -> (current_character_finished U broadcast_code_sent))
G((FCT_requested) -> (! (FCT_sent) U (current_character_sent))),G(CT_requested -> ((!current_character_sent & !CT_sent) U (CT_sent & !CT_requested)))
