Ground Truth,Response
G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Top_Down)))) -> F (call_Top_Down & F (call_P_d1 & F call_P_d2))),G(call_Enqueue_d1 -> F(call_Enqueue_d2))
G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G(call_Enqueue_d1 -> F(call_Enqueue_d2))
G (call_Enqueue & (!return_Dequeue U call_Empty) -> F (call_Empty & F return_Empty_false)),G(call_Enqueue -> (!return_Dequeue U (call_Empty | call_Enqueue)))
G ((call_Enqueue_d1 & F return_Empty_true) -> (!return_Empty_true U return_Dequeue_d1)),G(call_Enqueue_d1 -> (!return_Empty_true U return_Dequeue_d1))
G ((call & F open) -> ((!atfloor & !open) U (open | ((atfloor & !open) U (open | ((!atfloor & !open) U (open | ((atfloor & !open) U (open | (!atfloor U open)))))))))),G(call -> (!open U atfloor))
G (OpenNetworkConnection -> G (NetworkError -> F ErrorMessage)),G(!OpenNetworkConnection -> F ErrorMessage)
G ((PopServerConnected & F PlacedinMailboxes) -> (!PlacedinMailboxes U MessagesTransfered)),G(PopServerConnected -> (!PlacedinMailboxes U PlacedinMailboxes))
F QueuedMailSent -> (!QueuedMailSent U SMTPServerConnected),G(SMTPServerConnected -> !QueuedMailSent U SMTPServerConnected)
G (!MailboxSelected) | F (MailboxSelected & F MailboxWindowOpen),G(MailboxSelected -> F(MailboxWindowOpen))
G (!MessageReady) | F (MessageReady & F MessageinOutbox),G(MessageReady -> F MessageinOutbox)
G (!MessageDragged) | F (MessageDragged & F MessageMoved),G(MessageDragged -> F MessageMoved)
G (Error -> G (ErrorPopup -> F ResponsetoPopup)),G(ErrorPopup -> (!ErrorPopup U ResponsetoPopup))
G (MessageTransferred -> G (PlacedinMailboxes -> F MarkasUnread)),G(PlacedinMailboxes -> X MarkasUnread)
G (!POPServerMessageDelete) | F (POPServerMessageDelete & F PlacedinMailboxes),!POPServerMessageDelete U PlacedinMailboxes
(F call_Execute) -> ((!call_doWork) U call_Execute),G(call_doWork -> call_Execute U call_doWork)
G ((return_Execute & (F call_Execute)) -> ((!call_doWork) U call_Execute)),G(return_Execute -> G(!call_doWork))
