original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
If get_help ever holds, avoid the impending_gas_leak must have held beforehand.;"( F ""get_help"" ) -> ( ! ""get_help"" U ( avoid_impending_gas_leak & ! ""get_help"" ) )";"Fget_help -> (!get_help U (""avoid(impending_gas_leak)"" & !get_help))";['get_help', 'avoid_impending_gas_leak'];;;;Fap_0 -> (!ap_0 U (ap_1 & !ap_0));VLTL-Bench_New;Fprop -> (!prop U (prop & !prop));Fprop -> (!prop U (prop & !prop));0
Make sure that (prop_2) is equivalent to (prop_1), and also make sure (prop_3) is always true .;( ( prop_2 <-> prop_1 ) & G prop_3 );(prop_1 <-> prop_2) & Gprop_3;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 <-> ap_1) & Gap_2;lifted_data_pureLTL.jsonl;(prop <-> prop) & Gprop;(prop <-> prop) & Gprop;0
Whenever change light_west green holds, photo the vehicle on northeast_1st_avenue holds exactly three steps later.;G ( change_light_west_green -> X ( X ( X photo_vehicle_northeast_1st_avenue ) ) );"G(""change(light_west,green)"" -> XXX""photo(vehicle,northeast_1st_avenue)"")";['change_light_west_green', 'photo_vehicle_northeast_1st_avenue'];;;;G(ap_0 -> XXXap_1);VLTL-Bench_New;G(prop -> XXXprop);G(prop -> XXXprop);0
( prop_1 ) or at any time ( prop_2 );( prop_1 | F prop_2 );prop_1 | Fprop_2;['prop_1', 'prop_2'];;;;ap_0 | Fap_1;lifted_data_pureLTL.jsonl;prop | Fprop;prop | Fprop;0
If (prop_4) is equivalent to (prop_2), then keep (prop_1) until (prop_3) .;( ( prop_4 <-> prop_2 ) -> ( prop_1 U prop_3 ) );(prop_2 <-> prop_4) -> (prop_1 U prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_1 <-> ap_3) -> (ap_0 U ap_2);lifted_data_pureLTL.jsonl;(prop <-> prop) -> (prop U prop);(prop <-> prop) -> (prop U prop);0
( prop_1 ) and when possible ( prop_2 );( prop_1 & F prop_2 );prop_1 & Fprop_2;['prop_1', 'prop_2'];;;;ap_0 & Fap_1;lifted_data_pureLTL.jsonl;prop & Fprop;prop & Fprop;0
Go to store 1, grab bottle 3, and move it to hospital 2.;<>(shop_1&&<>(p_bottle_3&&<>(hospital_2&&pd)));F(shop_1 & F(p_bottle_3 & F(hospital_2 & pd)));['pd', 'p_bottle_3', 'shop_1', 'hospital_2'];Go to store 1, grab p_bottle_3, and move it to hospital_2.;{'pd': 'pd', 'bottle 3': 'p_bottle_3', 'shop 1': 'shop_1', 'hospital 2': 'hospital_2'};{'pd': 'ap_0', 'p_bottle_3': 'ap_1', 'shop_1': 'ap_2', 'hospital_2': 'ap_3'};F(ap_2 & F(ap_1 & F(ap_3 & ap_0)));ConformalNL2LTL;F(prop & F(prop & F(prop & prop)));F(prop & F(prop & F(prop & prop)));0
whenever ( prop_1 ) and whenever ( prop_2 );F ( prop_1 & F prop_2 );F(prop_1 & Fprop_2);['prop_1', 'prop_2'];;;;F(ap_0 & Fap_1);lifted_data_pureLTL.jsonl;F(prop & Fprop);F(prop & Fprop);0
( prop_1 ) and repeatedly ( prop_2 );( prop_1 & G ( F prop_2 ) );prop_1 & GFprop_2;['prop_1', 'prop_2'];;;;ap_0 & GFap_1;lifted_data_pureLTL.jsonl;prop & GFprop;prop & GFprop;0
Keep returning to house 2 to collect trash can 4;[]<>(house_2&&p_trash_can_4);GF(house_2 & p_trash_can_4);['house_2', 'p_trash_can_4'];Keep returning to house_2 to collect p_trash_can_4;{'house 2': 'house_2', 'trash can 4': 'p_trash_can_4'};{'house_2': 'ap_0', 'p_trash_can_4': 'ap_1'};GF(ap_0 & ap_1);ConformalNL2LTL;GF(prop & prop);GF(prop & prop);0
at some point in time a motorbike catches fire and, at the same time, the brake is released and the train stops;F( motorbike_catches_fire & brake_is_released & train_stops );F(brake_is_released & motorbike_catches_fire & train_stops);['motorbike_catches_fire', 'brake_is_released', 'train_stops'];at some point in time a motorbike_catches_fire and, at the same time, the brake_is_released and the train_stops;;{'motorbike_catches_fire': 'ap_0', 'brake_is_released': 'ap_1', 'train_stops': 'ap_2'};F(ap_1 & ap_0 & ap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop & prop);F(prop & prop & prop);0
Establish communication with the safe_victim holds at all times.;G communicate_safe_victim;"G""communicate(safe_victim)""";['communicate_safe_victim'];;;;Gap_0;VLTL-Bench_New;Gprop;Gprop;0
When the event that ( prop_3 ) occurs then the following condition is true : ( prop_2 ) or at the same time point ( prop_1 ) .;G ( prop_3 -> ( prop_2 | prop_1 ) );G(prop_3 -> (prop_1 | prop_2));['prop_1', 'prop_2', 'prop_3'];;;;G(ap_2 -> (ap_0 | ap_1));lifted_data_pureLTL.jsonl;G(prop -> (prop | prop));G(prop -> (prop | prop));0
( prop_1 ) or at some time ( prop_2 );( prop_1 | F prop_2 );prop_1 | Fprop_2;['prop_1', 'prop_2'];;;;ap_0 | Fap_1;lifted_data_pureLTL.jsonl;prop | Fprop;prop | Fprop;0
Globally , in case that the transition action that ( prop_1 ) occurs , or the event that ( prop_3 ) gets detected , then the following condition holds : for each time instant in the future before the execution ends finally ( prop_2 ) .;G ( ( prop_1 | prop_3 ) -> G ( F prop_2 ) );G((prop_1 | prop_3) -> GFprop_2);['prop_1', 'prop_2', 'prop_3'];;;;G((ap_0 | ap_2) -> GFap_1);lifted_data_pureLTL.jsonl;G((prop | prop) -> GFprop);G((prop | prop) -> GFprop);0
if whenever gather pear , at any time make_your_way flag;F ( gather_pear ) -> F ( make_your_way_flag );"F""gather(pear)"" -> F""make_your_way(flag)""";['gather_pear', 'make_your_way_flag'];;;;Fap_0 -> Fap_1;VLTL-Bench_Prev;Fprop -> Fprop;Fprop -> Fprop;0
in the future the brake is pressed and the escalator moves after an elevator falls or the motorbike catches fire;G(( elevator_falls | motorbike_catches_fire ) -> F( brake_is_pressed & escalator_moves ));G((elevator_falls | motorbike_catches_fire) -> F(brake_is_pressed & escalator_moves));['brake_is_pressed', 'elevator_falls', 'motorbike_catches_fire', 'escalator_moves'];in the future the brake_is_pressed and the escalator_moves after an elevator_falls or the motorbike_catches_fire;;{'brake_is_pressed': 'ap_0', 'elevator_falls': 'ap_1', 'motorbike_catches_fire': 'ap_2', 'escalator_moves': 'ap_3'};G((ap_1 | ap_2) -> F(ap_0 & ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> F(prop & prop));G((prop | prop) -> F(prop & prop));0
at some time ( prop_1 ) or repeatedly ( prop_2 );F ( prop_1 | G ( F prop_2 ) );F(prop_1 | GFprop_2);['prop_1', 'prop_2'];;;;F(ap_0 | GFap_1);lifted_data_pureLTL.jsonl;F(prop | GFprop);F(prop | GFprop);0
Eventually (at office_3, pickup document_1, and then at street_2 and remain there permanently);"F ( ""office_3"" & F ( ""p_document_1"" & F ( ""street_2"" & G ""street_2"" ) ) )";F(office_3 & F(p_document_1 & F(street_2 & Gstreet_2)));['office_3', 'street_2', 'p_document_1'];;;;F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)));VLTL-Bench_Prev;F(prop & F(prop & F(prop & Gprop)));F(prop & F(prop & F(prop & Gprop)));0
If (prop_3) implies (prop_1), then make sure (prop_2) eventually happens .;( ( prop_3 -> prop_1 ) -> F prop_2 );(prop_3 -> prop_1) -> Fprop_2;['prop_1', 'prop_2', 'prop_3'];;;;(ap_2 -> ap_0) -> Fap_1;lifted_data_pureLTL.jsonl;(prop -> prop) -> Fprop;(prop -> prop) -> Fprop;0
at a certain moment a train has arrived after both the car enters and the train is crossing;G(( car_enters & train_is_crossing ) -> F( train_has_arrived ));G((car_enters & train_is_crossing) -> Ftrain_has_arrived);['train_is_crossing', 'car_enters', 'train_has_arrived'];at a certain moment a train_has_arrived after both the car_enters and the train_is_crossing;;{'train_is_crossing': 'ap_0', 'car_enters': 'ap_1', 'train_has_arrived': 'ap_2'};G((ap_1 & ap_0) -> Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> Fprop);G((prop & prop) -> Fprop);0
Globally , in case that the transition action that ( prop_1 ) happens then the following condition holds : ( prop_2 ) .;G ( prop_1 -> prop_2 );G(prop_1 -> prop_2);['prop_1', 'prop_2'];;;;G(ap_0 -> ap_1);lifted_data_pureLTL.jsonl;G(prop -> prop);G(prop -> prop);0
when a constructor instantiate objects then after an elevator is open, at some point in time the elevator is blocked afterwards;G(( constructor_instantiate_objects ) -> G(( elevator_is_open ) -> F( elevator_is_blocked )));G(constructor_instantiate_objects -> G(elevator_is_open -> Felevator_is_blocked));['constructor_instantiate_objects', 'elevator_is_blocked', 'elevator_is_open'];when a constructor_instantiate_objects then after an elevator_is_open, at some point in time the elevator_is_blocked afterwards;;{'constructor_instantiate_objects': 'ap_0', 'elevator_is_blocked': 'ap_1', 'elevator_is_open': 'ap_2'};G(ap_0 -> G(ap_2 -> Fap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> G(prop -> Fprop));G(prop -> G(prop -> Fprop));0
at the green_room through the red or blue_room;"F ( ( ""red_room"" | ""blue_room"" ) & F ""green_room"" )";F((blue_room | red_room) & Fgreen_room);['blue_room', 'red_room', 'green_room'];;;;F((ap_0 | ap_1) & Fap_2);VLTL-Bench_Prev;F((prop | prop) & Fprop);F((prop | prop) & Fprop);0
(prop_1) or (prop_3). (prop_2) until (prop_4).;( ( prop_1 | prop_3 ) & ( prop_2 U prop_4 ) );(prop_1 | prop_3) & (prop_2 U prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_0 | ap_2) & (ap_1 U ap_3);lifted_data_pureLTL.jsonl;(prop | prop) & (prop U prop);(prop | prop) & (prop U prop);0
(prop_1) or (prop_3) happens, and (prop_2) should not happen .;( ( prop_1 | prop_3 ) & ! prop_2 );!prop_2 & (prop_1 | prop_3);['prop_1', 'prop_2', 'prop_3'];;;;!ap_1 & (ap_0 | ap_2);lifted_data_pureLTL.jsonl;!prop & (prop | prop);!prop & (prop | prop);0
If ( prop_4 ) then ( prop_1 ) , the above scenario is equivalent to ( prop_2 ) , and also ( prop_3 ) .;( ( ( prop_4 -> prop_1 ) <-> prop_2 ) & prop_3 );prop_3 & (prop_2 <-> (prop_4 -> prop_1));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_2 & (ap_1 <-> (ap_3 -> ap_0));lifted_data_pureLTL.jsonl;prop & (prop <-> (prop -> prop));prop & (prop <-> (prop -> prop));0
when ( prop_1 ) , whenever ( prop_2 );( prop_1 -> F prop_2 );prop_1 -> Fprop_2;['prop_1', 'prop_2'];;;;ap_0 -> Fap_1;lifted_data_pureLTL.jsonl;prop -> Fprop;prop -> Fprop;0
at some time stop_by trash can and at any time go_to home;F ( stop_by_trash_can ) & F ( go_to_home );"F""stop_by(trash_can)"" & F""go_to(home)""";['go_to_home', 'stop_by_trash_can'];;;;Fap_1 & Fap_0;VLTL-Bench_Prev;Fprop & Fprop;Fprop & Fprop;0
It would be one case that ( prop_1 ) and ( prop_3 ) are equivalent, and then ( prop_2 ) must be equivalent as well , and vice versa .;( F ( prop_1 <-> prop_3 ) <-> prop_2 );prop_2 <-> F(prop_1 <-> prop_3);['prop_1', 'prop_2', 'prop_3'];;;;ap_1 <-> F(ap_0 <-> ap_2);lifted_data_pureLTL.jsonl;prop <-> F(prop <-> prop);prop <-> F(prop <-> prop);0
forever ( prop_1 ) and whenever ( prop_2 );G ( prop_1 & F prop_2 );G(prop_1 & Fprop_2);['prop_1', 'prop_2'];;;;G(ap_0 & Fap_1);lifted_data_pureLTL.jsonl;G(prop & Fprop);G(prop & Fprop);0
Reach landmark_9, capture an image, and remain there forever;"F ( ""landmark_9"" & ""photo"" & G ""landmark_9"" )";F(landmark_9 & photo & Glandmark_9);['photo', 'landmark_9'];;;;F(ap_1 & ap_0 & Gap_1);VLTL-Bench_Prev;F(prop & prop & Gprop);F(prop & prop & Gprop);0
get to the red area by avoiding the green_room;"( F ( ""red_room"" ) & G ( ! ""green_room"" ) )";Fred_room & G!green_room;['red_room', 'green_room'];;;;Fap_0 & G!ap_1;VLTL-Bench_Prev;Fprop & G!prop;Fprop & G!prop;0
Pick up traffic_cone_5 from street_4 and subsequently place it in intersection_6;"F ( ""street_4"" & F ( ""p_traffic_cone_5"" & F ( ""intersection_6"" & ""pd"" ) ) )";F(street_4 & F(p_traffic_cone_5 & F(intersection_6 & pd)));['pd', 'street_4', 'p_traffic_cone_5', 'intersection_6'];;;;F(ap_1 & F(ap_2 & F(ap_3 & ap_0)));VLTL-Bench_Prev;F(prop & F(prop & F(prop & prop)));F(prop & F(prop & F(prop & prop)));0
Either get_help happens infinitely often, or photo debris happens in the next step.;"G F ""get_help"" | X photo_debris";"GFget_help | X""photo(debris)""";['get_help', 'photo_debris'];;;;GFap_0 | Xap_1;VLTL-Bench_New;GFprop | Xprop;GFprop | Xprop;0
Once get_help has occurred, deliver_aid the injured_victim will never occur again.;"G ( ""get_help"" -> X G ! deliver_aid_injured_victim )";"G(get_help -> XG!""deliver_aid(injured_victim)"")";['get_help', 'deliver_aid_injured_victim'];;;;G(ap_0 -> XG!ap_1);VLTL-Bench_New;G(prop -> XG!prop);G(prop -> XG!prop);0
Pick up tin_can_4 from table_4, deliver it to trash_can_5, and avoid going into hallway_2;"F ( ""table_4"" & F ( ""p_tin_can_4"" & F ( ""trash_can_5"" & ""pd"" ) ) ) & G ! ""hallway_2""";F(table_4 & F(p_tin_can_4 & F(pd & trash_can_5))) & G!hallway_2;['pd', 'table_4', 'p_tin_can_4', 'trash_can_5', 'hallway_2'];;;;F(ap_1 & F(ap_2 & F(ap_0 & ap_3))) & G!ap_4;VLTL-Bench_Prev;F(prop & F(prop & F(prop & prop))) & G!prop;F(prop & F(prop & F(prop & prop))) & G!prop;0
never let_go orange and hold pear;G ( ! ( let_go_orange ) ) & hold_pear;"""hold(pear)"" & G!""let_go(orange)""";['hold_pear', 'let_go_orange'];;;;ap_0 & G!ap_1;VLTL-Bench_Prev;prop & G!prop;prop & G!prop;0
all the time the sensor retrieves data;G( sensor_retrieves_data );Gsensor_retrieves_data;['sensor_retrieves_data'];all the time the sensor_retrieves_data;;{'sensor_retrieves_data': 'ap_0'};Gap_0;NL-to-LTL-Synthetic-Datasetprocessed_data;Gprop;Gprop;0
at some time ( prop_1 ) until ( prop_2 );F ( prop_1 U prop_2 );F(prop_1 U prop_2);['prop_1', 'prop_2'];;;;F(ap_0 U ap_1);lifted_data_pureLTL.jsonl;F(prop U prop);F(prop U prop);0
whenever ( prop_1 ) or repeatedly ( prop_2 );F ( prop_1 | G ( F prop_2 ) );F(prop_1 | GFprop_2);['prop_1', 'prop_2'];;;;F(ap_0 | GFap_1);lifted_data_pureLTL.jsonl;F(prop | GFprop);F(prop | GFprop);0
when whenever ( prop_1 ) , ( prop_2 );( F prop_1 -> prop_2 );Fprop_1 -> prop_2;['prop_1', 'prop_2'];;;;Fap_0 -> ap_1;lifted_data_pureLTL.jsonl;Fprop -> prop;Fprop -> prop;0
Avoid entering park 5 until you have reached intersection 4;!park_5 U intersection_4;!park_5 U intersection_4;['park_5', 'intersection_4'];Avoid entering park_5 until you have reached intersection_4;{'park 5': 'park_5', 'intersection 4': 'intersection_4'};{'park_5': 'ap_0', 'intersection_4': 'ap_1'};!ap_0 U ap_1;ConformalNL2LTL;!prop U prop;!prop U prop;0
venture_towards house until secure apple;venture_towards_house U secure_apple;"""venture_towards(house)"" U ""secure(apple)""";['venture_towards_house', 'secure_apple'];;;;ap_0 U ap_1;VLTL-Bench_Prev;prop U prop;prop U prop;0
never drop apple and secure apple;G ( ! ( drop_apple ) ) & secure_apple;"""secure(apple)"" & G!""drop(apple)""";['drop_apple', 'secure_apple'];;;;ap_1 & G!ap_0;VLTL-Bench_Prev;prop & G!prop;prop & G!prop;0
If deliver_aid the injured_victim ever holds, avoid the probable_fire_source must have held beforehand.;( F deliver_aid_injured_victim ) -> ( ! deliver_aid_injured_victim U ( avoid_probable_fire_source & ! deliver_aid_injured_victim ) );"F""deliver_aid(injured_victim)"" -> (!""deliver_aid(injured_victim)"" U (""avoid(probable_fire_source)"" & !""deliver_aid(injured_victim)""))";['deliver_aid_injured_victim', 'avoid_probable_fire_source'];;;;Fap_0 -> (!ap_0 U (ap_1 & !ap_0));VLTL-Bench_New;Fprop -> (!prop U (prop & !prop));Fprop -> (!prop U (prop & !prop));0
Either record unsafe_person happens infinitely often, or avoid the active_debris happens in the next step.;G F record_unsafe_person | X avoid_active_debris;"GF""record(unsafe_person)"" | X""avoid(active_debris)""";['record_unsafe_person', 'avoid_active_debris'];;;;GFap_0 | Xap_1;VLTL-Bench_New;GFprop | Xprop;GFprop | Xprop;0
When ( prop_1 ) or ( prop_2 ) , then the following condition holds : there should be a certain time instant in the future before the end of the simulation , at which ultimately ( prop_3 ) .;G ( ( prop_1 | prop_2 ) -> F prop_3 );G((prop_1 | prop_2) -> Fprop_3);['prop_1', 'prop_2', 'prop_3'];;;;G((ap_0 | ap_1) -> Fap_2);lifted_data_pureLTL.jsonl;G((prop | prop) -> Fprop);G((prop | prop) -> Fprop);0
Keep ( prop_4 ) equivalent to ( prop_1 ) until either ( prop_2 ) or ( prop_3 ) happens.;( ( prop_4 <-> prop_1 ) U ( prop_2 | prop_3 ) );(prop_1 <-> prop_4) U (prop_2 | prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_0 <-> ap_3) U (ap_1 | ap_2);lifted_data_pureLTL.jsonl;(prop <-> prop) U (prop | prop);(prop <-> prop) U (prop | prop);0
when a semaphore is red then after the bar has to be repaired, in the future the escalator moves afterwards;G(( semaphore_is_red ) -> G(( bar_has_to_be_repaired ) -> F( escalator_moves )));G(semaphore_is_red -> G(bar_has_to_be_repaired -> Fescalator_moves));['semaphore_is_red', 'bar_has_to_be_repaired', 'escalator_moves'];when a semaphore_is_red then after the bar_has_to_be_repaired, in the future the escalator_moves afterwards;;{'semaphore_is_red': 'ap_0', 'bar_has_to_be_repaired': 'ap_1', 'escalator_moves': 'ap_2'};G(ap_0 -> G(ap_1 -> Fap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> G(prop -> Fprop));G(prop -> G(prop -> Fprop));0
Do not at building_1 until you arrive at street_4.;"! ""building_1"" U ""street_4""";!building_1 U street_4;['building_1', 'street_4'];;;;!ap_0 U ap_1;VLTL-Bench_Prev;!prop U prop;!prop U prop;0
at some point either an elevator falls or a train stops after either the bridge closes or the car starts;G(( bridge_closes | car_starts ) -> F( elevator_falls | train_stops ));G((bridge_closes | car_starts) -> F(elevator_falls | train_stops));['car_starts', 'elevator_falls', 'bridge_closes', 'train_stops'];at some point either an elevator_falls or a train_stops after either the bridge_closes or the car_starts;;{'car_starts': 'ap_0', 'elevator_falls': 'ap_1', 'bridge_closes': 'ap_2', 'train_stops': 'ap_3'};G((ap_2 | ap_0) -> F(ap_1 | ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> F(prop | prop));G((prop | prop) -> F(prop | prop));0
Whenever ( prop_1 ) , or the event that ( prop_2 ) is detected , then in response finally there will have to exist a certain time instant in the future , at which ( prop_3 ) .;G ( ( prop_1 | prop_2 ) -> F prop_3 );G((prop_1 | prop_2) -> Fprop_3);['prop_1', 'prop_2', 'prop_3'];;;;G((ap_0 | ap_1) -> Fap_2);lifted_data_pureLTL.jsonl;G((prop | prop) -> Fprop);G((prop | prop) -> Fprop);0
If (prop_2) is equivalent to (prop_3), then make sure (prop_1) is always true .;( ( prop_2 <-> prop_3 ) -> G prop_1 );(prop_2 <-> prop_3) -> Gprop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 <-> ap_2) -> Gap_0;lifted_data_pureLTL.jsonl;(prop <-> prop) -> Gprop;(prop <-> prop) -> Gprop;0
Do not enter office_4 until you have picked up pass_6, and ensure that you eventually at house_5, retrieve pass_6, and subsequently deliver it to office_4;"! ""office_4"" U ""p_pass_6"" & F ( ""house_5"" & F ( ""p_pass_6"" & F ( ""office_4"" & ""pd"" ) ) )";(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd)));['pd', 'office_4', 'house_5', 'p_pass_6'];;;;(!ap_1 U ap_3) & F(ap_2 & F(ap_3 & F(ap_1 & ap_0)));VLTL-Bench_Prev;(!prop U prop) & F(prop & F(prop & F(prop & prop)));(!prop U prop) & F(prop & F(prop & F(prop & prop)));0
repeatedly go_to waste basket or whenever touch tree;G ( F ( go_to_waste_basket ) ) | F ( touch_tree );"GF""go_to(waste_basket)"" | F""touch(tree)""";['go_to_waste_basket', 'touch_tree'];;;;GFap_0 | Fap_1;VLTL-Bench_Prev;GFprop | Fprop;GFprop | Fprop;0
If (prop_1) happens and continues until (prop_3), then if (prop_2), make (prop_4) happen .;( ( prop_1 U prop_3 ) -> ( prop_2 -> prop_4 ) );(prop_1 U prop_3) -> (prop_2 -> prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_0 U ap_2) -> (ap_1 -> ap_3);lifted_data_pureLTL.jsonl;(prop U prop) -> (prop -> prop);(prop U prop) -> (prop -> prop);0
( prop_1 ) and don't ( prop_2 );( prop_1 & ! ( F prop_2 ) );prop_1 & !Fprop_2;['prop_1', 'prop_2'];;;;ap_0 & !Fap_1;lifted_data_pureLTL.jsonl;prop & !Fprop;prop & !Fprop;0
Whenever record the vehicle on east_8th_street holds, from the next step onwards change light_west green will eventually hold.;G ( record_vehicle_east_8th_street -> X F change_light_west_green );"G(""record(vehicle,east_8th_street)"" -> XF""change(light_west,green)"")";['change_light_west_green', 'record_vehicle_east_8th_street'];;;;G(ap_1 -> XFap_0);VLTL-Bench_New;G(prop -> XFprop);G(prop -> XFprop);0
when possible capture pear until venture_to trash can;F ( capture_pear ) U venture_to_trash_can;"F""capture(pear)"" U ""venture_to(trash_can)""";['venture_to_trash_can', 'capture_pear'];;;;Fap_1 U ap_0;VLTL-Bench_Prev;Fprop U prop;Fprop U prop;0
When communicate the injured_victim happens, get_help must hold now or in the next step.;"G ( communicate_injured_victim -> ( ""get_help"" | X ""get_help"" ) )";"G(""communicate(injured_victim)"" -> (get_help | Xget_help))";['communicate_injured_victim', 'get_help'];;;;G(ap_0 -> (ap_1 | Xap_1));VLTL-Bench_New;G(prop -> (prop | Xprop));G(prop -> (prop | Xprop));0
when possible grasp pear or never drop orange;F ( grasp_pear ) | G ( ! ( drop_orange ) );"F""grasp(pear)"" | G!""drop(orange)""";['drop_orange', 'grasp_pear'];;;;Fap_1 | G!ap_0;VLTL-Bench_Prev;Fprop | G!prop;Fprop | G!prop;0
If (prop_2), (prop_1) and (prop_3).;prop_2 -> ( prop_1 & prop_3 );prop_2 -> (prop_1 & prop_3);['prop_1', 'prop_2', 'prop_3'];;;;ap_1 -> (ap_0 & ap_2);lifted_data_pureLTL.jsonl;prop -> (prop & prop);prop -> (prop & prop);0
Ensure that you (prop_1).;F prop_1;Fprop_1;['prop_1'];;;;Fap_0;lifted_data_pureLTL.jsonl;Fprop;Fprop;0
Photograph fire_source should always hold, with at most a two-step grace period for recovery.;! G ( ! ( photo_fire_source & X photo_fire_source ) );"!G!(""photo(fire_source)"" & X""photo(fire_source)"")";['photo_fire_source'];;;;!G!(ap_0 & Xap_0);VLTL-Bench_New;!G!(prop & Xprop);!G!(prop & Xprop);0
If change light_west green holds and record the collision on south_9th_avenue holds next, then record the vehicle on west_7th_street holds in the step after that.;G ( change_light_west_green & X record_collision_south_9th_avenue -> X X record_vehicle_west_7th_street );"G((""change(light_west,green)"" & X""record(collision,south_9th_avenue)"") -> XX""record(vehicle,west_7th_street)"")";['change_light_west_green', 'record_collision_south_9th_avenue', 'record_vehicle_west_7th_street'];;;;G((ap_0 & Xap_1) -> XXap_2);VLTL-Bench_New;G((prop & Xprop) -> XXprop);G((prop & Xprop) -> XXprop);0
forever ( prop_1 ) until ( prop_2 );G ( prop_1 U prop_2 );G(prop_1 U prop_2);['prop_1', 'prop_2'];;;;G(ap_0 U ap_1);lifted_data_pureLTL.jsonl;G(prop U prop);G(prop U prop);0
