Ground Truth,Response
!garage_1 U (landmark_5&&photo),!garage_1 U photo
[]!street_7&&<>(store_9&&<>(p_package_3&&<>(house_1&&pd))),G(!(street_7 & p_package_3))
<>(mall_5&&<>(p_box_4&&<>(house_1&&pd))),F mall_5 & F p_box_4 & F house_1
!intersection_1 U street_6&&<>(street_2&&<>(p_cone_3&&<>(intersection_1&&pd))),(!intersection_1 U street_6) & (street_2 -> F(p_cone_3 & F intersection_1))
[]locality_5&&<>(office_3&&<>(p_package_5&&<>(office_6&&pd))),G((p_package_5 & office_3) -> (locality_5 U office_6))
<>(statue_5&&photo),F statue_5 & F photo
[]<>(intersection_4&&photo),G F photo
[]street_5&&[]<>(parking_lot_4&&photo),G(street_5 & F photo)
!room_2 U (kitchen_1&&<>(p_bottle_4&&<>(table_4&&pd))),!room_2 U (kitchen_1 & p_bottle_4 & X (p_bottle_4 U table_4))
<>(house_1&&<>(p_trash_can_4&&<>(garbage_dump_3&&pd))),F (p_trash_can_4 & !house_1) & F (p_trash_can_4 & garbage_dump_3)
[]!parking_lot_8&&<>street_5,G(street_5 -> !parking_lot_8)
!park_5 U intersection_5&&<>(monument_3&&photo),(!park_5) U (intersection_5 & photo & monument_3)
!intersection_5 U street_4&&<>(house_4&&<>(p_pass_4&&<>(office_1&&pd))),G((house_4 & p_pass_4 & !street_4) -> (!intersection_5 U street_4))
[]<>(table_2&&<>(p_brochure_8&&<>(street_9&&pd)))&&[]<>charger_6,G((p_brochure_8 & table_2) -> X((street_9 & charger_6) U (p_brochure_8 & table_2)))
!p_cone_2 U intersection_4,G(!p_cone_2 U intersection_4)
!park_5 U intersection_5&&<>(monument_3&&photo),(!park_5 U intersection_5) & G(intersection_5 -> X(photo & monument_3))
[]<>(car_1&&photo)&&[]!parking_lot_9,G(photo -> !parking_lot_9)
!park_4 U street_3&&<>(store_7&&<>(p_takeout_2&&<>(bench_3&&pd))),(!park_4 U street_3) & G((store_7 & p_takeout_2) -> F(bench_3))
[]<>(statue_4&&photo)&&[]<>charger_4,G(photo -> (photo U charger_4)) & G(statue_4 -> F charger_4)
<>(bench_4&&photo&&[]bench_4),F(bench_4 & photo & G(bench_4 & photo))
!landmark_5 U park_5&&<>(landmark_5&&photo),(!landmark_5 U park_5) & F photo
<>(house_1&&<>(p_trash_can_4&&<>(garbage_dump_3&&pd))),F (house_1 & p_trash_can_4) & F (garbage_dump_3 & p_trash_can_4)
[]<>(table_2&&<>(p_brochure_8&&<>(street_9&&pd)))&&[]<>charger_6,G(F(p_brochure_8 & table_2) & F(street_9) & F(charger_6))
[]<>charger_2&&<>(table_2&&<>(p_plate_4&&<>(table_4&&pd))),G(F charger_2) & F(p_plate_4 & table_4)
parking_lot_5 U (car_5&&photo),parking_lot_5 U photo
[]<>(mall_5&&<>(p_crate_8&&<>(office_6&&pd))),G(p_crate_8 -> F(office_6))
park_8 U (monument_2&&photo&&<>(bench_5&&[]bench_5)),(park_8 U (photo & X (bench_5 & G bench_5)))
park_4 U (statue_9&&photo),!photo U (park_4 & photo)
<>(park_5&&<>(monument_3&&photo)),F park_5 & G(park_5 -> F photo)
[]<>(warehouse_4&&<>(p_crate_3&&<>(mall_3&&pd))),G(warehouse_4 -> F(mall_3 & p_crate_3))
<>[]mall_5,F mall_5 & G(mall_5)
!store_4 U street_6&&<>(office_2&&<>(p_package_8&&<>(store_4&&pd))),(!store_4) U street_6
!locality_5 U (house_2&&<>(p_pass_5&&<>(office_3&&pd))),!locality_5 U (house_2 & X p_pass_5 & X X office_3)
[]<>(store_4&&<>(p_box_2&&<>(hall_8&&pd))),G(p_box_2 -> F(hall_8))
!park_4 U street_3&&<>(store_7&&<>(p_takeout_2&&<>(bench_3&&pd))),(!park_4 U street_3) & G((street_3 & !bench_3) -> X(p_takeout_2 U bench_3))
[]<>(building_5&&photo)&&[]<>charger_4,G(photo & F charger_4)
<>(post_office_1&&<>(p_letter_3&&<>(house_2&&pd))),F(post_office_1 & X(p_letter_3 & F(house_2 & pd)))
[]!street_3&&<>building_4,G(building_4 -> !street_3)
[]<>car_3&&<>building_2,G(building_2 -> F car_3)
[]<>(area_51&&photo)&&[]<>charger_4,G(photo & F photo) & G(F charger_4)
<>(park_5&&<>(statue_2&&photo)),!photo U park_5 & G(photo -> park_5)
[]!parking_lot_8&&<>street_5,G( !street_5 -> !parking_lot_8 )
[]!park_3&&<>(monument_3&&photo),G(photo -> !park_3)
<>(store_2&&<>(p_package_4&&<>(house_4&&pd))),F(store_2 & p_package_4 & X(pd U house_4))
!park_4 U street_3&&<>(store_7&&<>(p_takeout_2&&<>(bench_3&&pd))),(!park_4) U (street_3 & p_takeout_2 & store_7 & bench_3)
[]<>(area_51&&photo)&&[]<>charger_4,G(photo -> area_51) & G(F charger_4)
[]<>parking_lot_4&&<>(car_5&&<>(p_document_4&&<>(car_6&&pd))),G F parking_lot_4 & F car_5 & F p_document_4 & F car_6
[]<>(warehouse_4&&<>(p_crate_8&&<>(store_8&&pd)))&&[]<>charger_2,G((p_crate_8 & warehouse_4) -> F(store_8)) & G(F(charger_2))
<>(house_4&&<>(p_trash_4&&<>(garbage_dump_1&&pd))),F house_4 & F p_trash_4 & F garbage_dump_1
[]<>charger_9&&[]<>(warehouse_8&&<>(p_crate_2&&<>(store_2&&pd))),G((p_crate_2 & warehouse_8 & !store_2) -> F charger_9)
<>(house_3&&<>(p_pass_2&&<>(office_2&&pd)))&&!street_5 U p_pass_2,(!street_5 U p_pass_2) & F p_pass_2 & F office_2
<>(house_4&&<>(p_stack_4&&<>(street_2&&[]street_2))),F house_4 & X (p_stack_4 & X (F street_2 & G street_2))
[]<>(car_1&&photo)&&[]!parking_lot_9,G(photo & !parking_lot_9)
[]<>(storage_4&&<>(p_crate_1&&<>(office_2&&pd))),G(F(office_2 & p_crate_1))
!park_5 U intersection_5&&<>(monument_3&&photo),!park_5 U (intersection_5 & photo & monument_3)
locality_6 U (store_8&&<>(p_package_3&&<>(house_5&&pd))),locality_6 U (p_package_3 & store_8 & X (!locality_6 U (pd & house_5)))
<>(post_office_1&&<>(p_letter_3&&<>(house_2&&pd))),F(post_office_1 & X(p_letter_3 & X(house_2 & X(pd))))
[]!street_4&&<>(store_7&&<>(p_package_8&&<>(house_2&&pd))),G((p_package_8 & store_7) -> !street_4)
!street_4 U intersection_6&&<>[]street_4,(!street_4) U intersection_6 & G(intersection_6 -> X(street_4 U !intersection_6))
<>(table_8&&<>(p_brochure_2&&<>(table_1&&pd))),F(table_8 & X(p_brochure_2 U table_1))
<>(street_5&&<>(building_2&&[]building_2)),F street_5 & F (street_5 -> F (building_2 & G building_2))
street_4 U (house_1&&photo),street_4 U photo
<>(monument_12&&photo&&[]monument_12),F(photo & G(photo))
