Ground Truth,Response
G((StartUpMode & !initDone & X(initDone)) -> X(SelfTestMode)),G((StartUpMode & initDone) -> X SelfTestMode)
G(StartUpMode -> X(checkCommsSensors & checkCommsValves)),G(StartUpMode -> (checkCommsSensors & checkCommsValves))
G((SelfTestMode & !selfTestFail & X(selfTestFail)) -> (!ventilating U off)),G(selfTestFail -> !F(ventilating))
G(((PCVMode | PSVMode) & expiratoryPauseButton & !expiratoryPauseButton & expiratoryPhaseEnd & X(expiratoryPauseButton & expiratoryPhaseEnd)) -> G(expiratoryPause & inValveClose & outValveClose)),G((PCVMode | PSVMode) & expiratoryPauseButton -> F(expiratoryPhaseEnd & expiratoryPause -> X(inValveClose & outValveClose U !expiratoryPauseButton)))
G(StartUpMode -> F(checkCommsGUI)),G(StartUpMode -> checkCommsGUI)
G((PCVMode & !(breathingCycleStart) & X((breathingCycleStart))) -> X(inspiratoryPhaseStart)),G(PCVMode -> (breathingCycleStart -> inspiratoryPhaseStart))
G(((PSVMode & inspiratoryPauseButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> X((inValveClose & outValveClose))),G((PSVMode & inspiratoryPhaseEnd & inspiratoryPauseButton) -> X(inspiratoryPauseButton))
G((StartUpMode | StandbyMode) -> G((inValveClose & outValveOpen))),G((StartUpMode | StandbyMode) -> (inValveClose & outValveOpen))
G(((( PCVMode | PSVMode )) & !(inspiratoryPauseButton) & X((inspiratoryPauseButton))) -> ((inspiratoryPause | (! inspiratoryPauseButton)))),G((PCVMode | PSVMode) & inspiratoryPauseButton -> F inspiratoryPause)
G(StartUpMode -> (defaultParamsLoaded)),G(StartUpMode -> F defaultParamsLoaded)
G((SelfTestMode & !(selfTestPass | guiResumeRequest) & X((selfTestPass | guiResumeRequest))) -> F(StandbyMode)),G((SelfTestMode & selfTestPass & guiResumeRequest) -> X StandbyMode)
G(((PSVMode & RMButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> (RM)),G((PSVMode & inspiratoryPhaseEnd & !RMButton) -> F RM)
(((! ((((StartUpMode | SelfTestMode) | StandbyMode) | PCVMode) | PSVMode)) U (off))),G((PCVMode | PSVMode | SelfTestMode | StandbyMode | StartUpMode) -> (!off U off))
G(((PCVMode & inspiratoryPauseButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> ((inValveClose & outValveClose))),G((PCVMode & inspiratoryPhaseEnd & inspiratoryPauseButton) -> X(inspiratoryPauseButton))
G((!(RM) & X((RM))) -> F(((! RM) & expiratoryPhaseStart))),G((RM & !expiratoryPhaseStart) -> (RM U expiratoryPhaseStart))
G(failSafeMode -> F((inValveClose & outValveOpen))),G(failSafeMode -> (inValveClose & outValveOpen))
G(((( PCVMode | PSVMode )) & !(expiratoryPauseButton) & X((expiratoryPauseButton))) -> F((expiratoryPause | (! expiratoryPauseButton)))),G((PCVMode | PSVMode) & expiratoryPauseButton -> F expiratoryPause)
G((StandbyMode & !(PSVModeSelected) & X((PSVModeSelected))) -> F(PSVMode)),G((PSVModeSelected & !PSVMode) -> X PSVMode)
G(((( PCVMode | PSVMode ) & RMButton & ! inspiratoryPauseButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> (RM)),G(((PCVMode | PSVMode) & inspiratoryPhaseEnd & !inspiratoryPauseButton & RMButton) -> F RM)
G((PSVMode & !(stopVentilation) & X((stopVentilation))) -> F(StandbyMode)),G((PSVMode & stopVentilation) -> X StandbyMode)
G(((PCVMode & RMButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> (RM)),G((PCVMode & inspiratoryPhaseEnd & !RMButton) -> X RM)
G((StandbyMode & !(PCVModeSelected) & X((PCVModeSelected))) -> X(PCVMode)),G((PCVModeSelected & !PCVMode) -> X PCVMode)
G((RM) -> X((outValveClose & inValveOpen))),G(RM -> (outValveClose & inValveOpen))
G(((PCVMode | PSVMode) & inspiratoryPauseButton & !inspiratoryPauseButton & inspiratoryPhaseEnd & X(inspiratoryPauseButton & inspiratoryPhaseEnd)) -> X(inspiratoryPause & inValveClose & outValveClose)),G((PCVMode | PSVMode) & inspiratoryPauseButton -> F(inspiratoryPhaseEnd & inspiratoryPause -> X(inValveClose & outValveClose U !inspiratoryPause)))
G(SelfTestMode -> ((selfTestPass | selfTestFail))),G(SelfTestMode -> F(selfTestPass | selfTestFail))
((((logVentilationParams & logAlarmParams) & logCalibrationParams) U off)),G((logVentilationParams & logAlarmParams) -> F logCalibrationParams)
G((PCVMode & !(PSVModeSelected) & X((PSVModeSelected))) -> X(confirmPSVParameters)),G((PCVMode & X PSVModeSelected) -> X confirmPSVParameters)
G(SelfTestMode -> (((testFl2Pass | testFl2Fail) | testFl2Skip))),G(SelfTestMode -> F(testFl2Pass))
G(StartUpMode -> ((((initStart & checkCommsSensors) & checkCommsValves) & checkCommsGUI))),G(StartUpMode -> X(initStart & checkCommsGUI & checkCommsSensors & checkCommsValves))
G((!(guiFailure | ! guiConnected) & X((guiFailure | ! guiConnected))) -> X((ventilating & highPriorityAlarm))),G((guiFailure | !guiConnected) -> (highPriorityAlarm & ventilating))
G((!(selfTestPass) & X((selfTestPass))) -> F(((startMonitoring & startReportingHealthParams) & StandbyMode))),G((selfTestPass & StandbyMode) -> X(startMonitoring & startReportingHealthParams))
G((!(resumeVentilation) & X((resumeVentilation))) -> F((SelfTestMode & (((((((testPowerSwitchPass | testPowerSwitchSkip) & (testLeaksPass | testLeaksSkip)) & (testFl2Pass | testFl2Skip)) & (testPSExpPass | testPSExpSkip)) & (testOxygenSensorPass | testOxygenSensorSkip)) & (testAlarmsPass | testAlarmsSkip)) -> selfTestPass)))),resumeVentilation -> G((SelfTestMode & !selfTestPass) -> (testAlarmsSkip | testAlarmsPass) & (testFl2Skip | testFl2Pass) & (testLeaksSkip | testLeaksPass) & (testOxygenSensorSkip | testOxygenSensorPass) & (testPSExpSkip | testPSExpPass) & (testPowerSwitchSkip | testPowerSwitchPass))
(G((measureTV & displayTV))),G(measureTV -> F displayTV)
G(enableLeakCompensation -> X(leakCompensationActive)),G(!leakCompensationActive)
G(StartUpMode | SelfTestMode -> G(! patientConnected)),G((SelfTestMode | StartUpMode) -> !patientConnected)
((enterAlarmThresholds)),G((enterAlarmThresholds) -> X(ventilationStarted))
G((PCVMode & !breathingCycleDone | patientBreathingRequest & X(breathingCycleDone | patientBreathingRequest)) -> F(breathingCycleStart)),G(PCVMode -> ((breathingCycleDone | patientBreathingRequest) -> breathingCycleStart))
