Ground Truth,Candidate
F(x1 & G(X(!x2))),F(x1 & G(!x2))
G(x1 -> X(!x1 U x2)),G(x1 -> (!x1 U x2))
G(x1 -> X(!x1 U x2)),G(x1 -> (!x1 U x2))
G(x1 -> F(X(x2))),G(x1 -> F x2)
G(x1->F(x2)),x1 -> F x2
G(x1 -> G(x2)),G(x1 -> x2)
G(F(x1 & x2)),F(x1 & x2)
F(x1) & F(x2),x1 & X x2
G(F(a)) -> G(F(b)),G(F a -> F b)
G (a -> X(G(!b))),G(a -> G(!b))
G!(x1 & x2),!(x1 & x2)
(r U !r) & (G(!r -> G(!r))),F G !r
F(r) -> G(b),G(r -> b)
G (x1 -> G(F(x2))),G(x1 -> F x2)
G (x1 -> G(F(x2))),G(x1 -> F x2)
G (x1 -> G(F(x2))),G(x1 -> F x2)
G(x1 -> G(F(x2))),x1 -> F x2
G(F(x1)) -> G(F(x2)),G(F x1 -> F x2)
G(F(x1)) -> G(F(x2)),G(F x1 -> F x2)
F(x1) -> G(x1 U !x1),F(x1 -> G(x1 U !x1))
((F(x1) & F(x2) & F(x3)) -> x4) & (!F(x1) | !F(x2) | !F(x3) -> !x4),(F(x1 & x2 & x3) -> x4) & (!F(x1 & x2 & x3) -> !x4)
G(F(x1)) -> G(F(x2)),G(F x1 -> F x2)
G(F(x1)),F x1
G(F(x1)),G(x1)
G (x1 -> (x1 U (!x1 | x2))),G(x1 -> x2)
G (x1 -> F(x2)),x1 -> x2
F(G(!x1)),!F x1
G(F(x1)),G x1
G(x1 -> F(x2)),G(x1 -> x2)
x1 & G (!x2 & !x3),x1 & !x2 & !x3
G(x1 -> F(x2)),G(x1 -> x2)
X(X(x1)),X x1
F(G(!x1)),F !x1
G(x1 -> (x3 U !x2)),x1 -> (x3 U !x2)
G (!x2 -> !x1),!x2 -> !x1
x1 -> (x2 | x3),x1 -> X(x2 | x3)
