Index,Requirement,Ground Truth,Response,Equivalent
6117,"If photo unsafe_person ever holds, photo gas_leak must have held beforehand.",F photo_unsafe_person -> (!photo_unsafe_person U (photo_gas_leak & !photo_unsafe_person)),G(photo_unsafe_person -> !photo_unsafe_person U photo_gas_leak),False
6118,"Whenever get_help holds, avoid the nearest_fire_source holds exactly three steps later.",G(get_help -> XXX avoid_nearest_fire_source),G(get_help -> !avoid_nearest_fire_source & X(!avoid_nearest_fire_source) & XX(!avoid_nearest_fire_source) & XXX(avoid_nearest_fire_source)),False
6119,never let_go orange and put_in apple bucket,put_in_apple_bucket & G!let_go_orange,G(!let_go_orange & !put_in_apple_bucket),False
6120,Retrieve letter 2 from post office 1 and deliver it to building 3,F(post_office_1 & F(p_lettter_2 & F(building_3 & pd))),F (pd & post_office_1 & p_lettter_2) & F (pd & building_3),False
6121,Keep revisiting area 2 and capturing a photo,GF(area_2 & photo),G F (area_2 & photo),True
6122,"in the future a train has been launched and, at the same time, a constructor creates instances and the table is brown",F(constructor_creates_instances & table_is_brown & train_has_been_launched),F (train_has_been_launched & constructor_creates_instances & table_is_brown),True
6123,Call for help holds at all times.,G get_help,G get_help,True
6124,at some time reach flag can infer that at some time withhold apple,F reach_flag -> F withhold_apple,F reach_flag -> F withhold_apple,True
6125,"as either a bridge closes or a train has arrived, at some point both a sensor captures data and the semaphore is yellow",G((bridge_closes | train_has_arrived) -> F(semaphore_is_yellow & sensor_captures_data)),F ((bridge_closes | train_has_arrived) & sensor_captures_data & semaphore_is_yellow),False
6126,Go to house_4 to pickup stack_4 and then proceed to street_2 and stay there,F(house_4 & F(p_stack_4 & F(street_2 & G street_2))),F (house_4 & p_stack_4) & G (house_4 & p_stack_4 -> F (street_2 & G street_2)),False
6127,always when a train derails and the brake is released then at some point in time the sensor captures data,G((brake_is_released & train_derails) -> F sensor_captures_data),G ((train_derails & brake_is_released) -> F sensor_captures_data),True
6128,"the car starts implies that as a sensor retrieves data, at some point in time the motorbike has stopped",G(car_starts -> G(sensor_retrieves_data -> F motorbike_has_stopped)),car_starts -> (sensor_retrieves_data -> F motorbike_has_stopped),False
6129,the robot has to go through the yellow or red_room to get to the blue_room,F((red_room | yellow_room) & F blue_room),G (blue_room -> (yellow_room V red_room) U blue_room),False
6130,at any time contact flag and at any time seize orange,F contact_flag & F seize_orange,G contact_flag & G seize_orange,False
6131,walk to the blue_room while avoiding the yellow_room,F blue_room & G!yellow_room,G (!yellow_room U blue_room),False
6117,"If photo unsafe_person ever holds, photo gas_leak must have held beforehand.",F photo_unsafe_person -> (!photo_unsafe_person U (photo_gas_leak & !photo_unsafe_person)),G(photo_unsafe_person -> !photo_unsafe_person U photo_gas_leak),False
6118,"Whenever get_help holds, avoid the nearest_fire_source holds exactly three steps later.",G(get_help -> XXX avoid_nearest_fire_source),G(get_help -> !avoid_nearest_fire_source & X(!avoid_nearest_fire_source) & XX(!avoid_nearest_fire_source) & XXX(avoid_nearest_fire_source)),False
6119,never let_go orange and put_in apple bucket,put_in_apple_bucket & G!let_go_orange,G(!let_go_orange & !put_in_apple_bucket),False
6120,Retrieve letter 2 from post office 1 and deliver it to building 3,F(post_office_1 & F(p_lettter_2 & F(building_3 & pd))),G (post_office_1 & p_lettter_2 -> F (pd & building_3)),False
6121,Keep revisiting area 2 and capturing a photo,GF(area_2 & photo),G F (area_2 & photo),True
6122,"in the future a train has been launched and, at the same time, a constructor creates instances and the table is brown",F(constructor_creates_instances & table_is_brown & train_has_been_launched),F (train_has_been_launched & constructor_creates_instances & table_is_brown),True
6123,Call for help holds at all times.,G get_help,G get_help,True
6124,at some time reach flag can infer that at some time withhold apple,F reach_flag -> F withhold_apple,F reach_flag -> F withhold_apple,True
6125,"as either a bridge closes or a train has arrived, at some point both a sensor captures data and the semaphore is yellow",G((bridge_closes | train_has_arrived) -> F(semaphore_is_yellow & sensor_captures_data)),F ((bridge_closes | train_has_arrived) & sensor_captures_data & semaphore_is_yellow),False
6126,Go to house_4 to pickup stack_4 and then proceed to street_2 and stay there,F(house_4 & F(p_stack_4 & F(street_2 & G street_2))),F (house_4 & p_stack_4) & G (house_4 & p_stack_4 -> F (street_2 & G street_2)),False
6127,always when a train derails and the brake is released then at some point in time the sensor captures data,G((brake_is_released & train_derails) -> F sensor_captures_data),G ((train_derails & brake_is_released) -> F sensor_captures_data),True
6128,"the car starts implies that as a sensor retrieves data, at some point in time the motorbike has stopped",G(car_starts -> G(sensor_retrieves_data -> F motorbike_has_stopped)),car_starts -> (sensor_retrieves_data -> F motorbike_has_stopped),False
6129,the robot has to go through the yellow or red_room to get to the blue_room,F((red_room | yellow_room) & F blue_room),G (blue_room -> (yellow_room V red_room) U blue_room),False
6130,at any time contact flag and at any time seize orange,F contact_flag & F seize_orange,G contact_flag & G seize_orange,False
6131,walk to the blue_room while avoiding the yellow_room,F blue_room & G!yellow_room,G (!yellow_room U blue_room),False
6132,"Ensure you collect box_5 from plant_8, then take it to store_6",F(plant_8 & F(p_box_5 & F(pd & store_6))),G (plant_8 & p_box_5 -> F (store_6 & p_box_5)),False
6133,"Either idle happens infinitely often, or get_help happens in the next step.",GF idle | X get_help,G(idle) | X(get_help),False
6134,"Once record the car on northwest_4th_street has occurred, get_help will never occur again.",G(record_car_northwest_4th_street -> XG!get_help),G(record_car_northwest_4th_street -> G(!get_help)),False
6135,never drop orange and pick_up fruit,pick_up_fruit & G!drop_orange,G(!drop_orange & !pick_up_fruit),False
6136,"eternally, the table is brown",G table_is_brown,G table_is_brown,True
6137,Avoid building 1 until street 4 is reached,!building_1 U street_4,!building_1 U street_4,True
6138,Do not leave parking_lot_4 until you reach car_5,parking_lot_4 U car_5,G (!parking_lot_4 U car_5),False
6139,hold_on_to pear and never let_go apple,hold_on_to_pear & G!let_go_apple,G(hold_on_to_pear & !let_go_apple),False
6140,"If get_help ever holds, deliver the umbrella to the loading_dock must have held beforehand.",F get_help -> (!get_help U (deliver_umbrella_loading_dock & !get_help)),G(get_help -> !deliver_umbrella_loading_dock W get_help),False
6141,"Either change light_east red happens infinitely often, or get_help happens in the next step.",GF change_light_east_red | X get_help,G F change_light_east_red | X get_help,True
6142,"a table has been moved and, as a consequence, always when the table is brown then finally, the engine starts",G(table_has_been_moved -> G(table_is_brown -> F engine_starts)),table_has_been_moved & G(table_is_brown -> F engine_starts),False
