Ground Truth,Response
!G!(deliver_aid_safe_hostile & X deliver_aid_safe_hostile),G(deliver_aid_safe_hostile | X(deliver_aid_safe_hostile) | X(X(deliver_aid_safe_hostile)))
!G!(avoid_inactive_fire_source & X avoid_inactive_fire_source),G(avoid_inactive_fire_source | X avoid_inactive_fire_source | X X avoid_inactive_fire_source)
!G!(deliver_handbag_loading_dock & X deliver_handbag_loading_dock),G(deliver_handbag_loading_dock | X(deliver_handbag_loading_dock) | X(X(deliver_handbag_loading_dock)))
!G!(search_toothbrush & X search_toothbrush),G(search_toothbrush | X(search_toothbrush) | X X(search_toothbrush))
!G!(record_motorcycle_south_10th_street & X record_motorcycle_south_10th_street),G(record_motorcycle_south_10th_street | X(record_motorcycle_south_10th_street) | X(X(record_motorcycle_south_10th_street)))
!G!(photo_debris & X photo_debris),G(photo_debris | X(photo_debris) | XX(photo_debris))
!G!(record_collision_northwest_4th_street & X record_collision_northwest_4th_street),G(record_collision_northwest_4th_street)
!G!(deliver_aid_injured_victim & X deliver_aid_injured_victim),G(deliver_aid_injured_victim)
!G!(search_cake & X search_cake),G search_cake
!G!(photo_person_northwest_6th_street & X photo_person_northwest_6th_street),G(photo_person_northwest_6th_street | X photo_person_northwest_6th_street | X X photo_person_northwest_6th_street)
!G!(deliver_chair_loading_dock & X deliver_chair_loading_dock),G(deliver_chair_loading_dock | X(deliver_chair_loading_dock) | X(X(deliver_chair_loading_dock)))
!change_light_west_yellow U change_light_south_green,change_light_west_yellow -> change_light_south_green
!get_help U change_light_east_red,get_help -> change_light_east_red
!record_flood U get_help,G(record_flood -> get_help)
!get_help U idle,G(get_help -> idle)
!communicate_safe_hostile U get_help,communicate_safe_hostile -> get_help
!deliver_aid_injured_rescuer U get_help,get_help -> deliver_aid_injured_rescuer
!record_debris U get_help,G(record_debris -> get_help)
!photo_safe_rescuer U avoid_inactive_unstable_beam,G(photo_safe_rescuer -> !avoid_inactive_unstable_beam U photo_safe_rescuer)
(photo_vehicle_south_9th_street U change_light_west_yellow) | G photo_vehicle_south_9th_street,(change_light_west_yellow U photo_vehicle_south_9th_street) | G photo_vehicle_south_9th_street
(pickup_person U get_help) | G pickup_person,(get_help U pickup_person) | G pickup_person
(go_home U photo_safe_victim) | G go_home,(photo_safe_victim U go_home) | G(go_home)
F go_home & F avoid_impending_debris,F(go_home & avoid_impending_debris)
F deliver_book_loading_dock -> (!deliver_book_loading_dock U (!deliver_book_loading_dock & pickup_toothbrush)),deliver_book_loading_dock -> F pickup_toothbrush
F communicate_injured_rescuer -> (!communicate_injured_rescuer U (!communicate_injured_rescuer & deliver_aid_injured_victim)),communicate_injured_rescuer -> F deliver_aid_injured_victim
F avoid_active_unstable_beam -> (!avoid_active_unstable_beam U (!avoid_active_unstable_beam & communicate_injured_rescuer)),F avoid_active_unstable_beam -> communicate_injured_rescuer
F change_light_west_red -> (!change_light_west_red U (!change_light_west_red & photo_cyclist_northwest_10th_street)),F change_light_west_red -> photo_cyclist_northwest_10th_street
F record_cyclist_southeast_10th_avenue -> (!record_cyclist_southeast_10th_avenue U (!record_cyclist_southeast_10th_avenue & record_motorcycle_southwest_4th_avenue)),record_cyclist_southeast_10th_avenue -> F record_motorcycle_southwest_4th_avenue
F deliver_bird_shelf -> (!deliver_bird_shelf U (!deliver_bird_shelf & search_bench)),deliver_bird_shelf -> F search_bench
