Ground Truth,Response
G ((call_Enqueue_d1 & (!return_Dequeue_d1 U (call_Enqueue_d2 & (!return_Dequeue_d1 & !return_Dequeue_d2 U call_Bottom_Up)))) -> F (call_Bottom_Up & F (call_P_d2 & F call_P_d1))),G((call_Enqueue_d1 & F(call_Enqueue_d2)) -> F(call_Enqueue_d1 & F(call_Enqueue_d2 & F(call_Bottom_Up))))
G (call_Enqueue & (!return_Dequeue U call_Empty) -> F (call_Empty & F return_Empty_false)),G((call_Enqueue & !return_Dequeue U call_Empty) -> X(call_Enqueue & !call_Empty U (call_Enqueue & X(!return_Dequeue U call_Empty))))
G ((call_Enqueue_d1 & F return_Empty_true) -> (!return_Empty_true U return_Dequeue_d1)),G((call_Enqueue_d1 & F(return_Empty_true)) -> (call_Enqueue_d1 U (return_Dequeue_d1 U return_Empty_true)))
G ((call & F open) -> ((!atfloor & !open) U (open | ((atfloor & !open) U (open | ((!atfloor & !open) U (open | ((atfloor & !open) U (open | (!atfloor U open)))))))))),G(call -> (call U (atfloor & open)))
G (OpenNetworkConnection -> G (NetworkError -> F ErrorMessage)),G((!OpenNetworkConnection) -> F(ErrorMessage))
G ((PopServerConnected & F PlacedinMailboxes) -> (!PlacedinMailboxes U MessagesTransfered)),G(PopServerConnected -> (MessagesTransfered U PlacedinMailboxes))
F QueuedMailSent -> (!QueuedMailSent U SMTPServerConnected),G(SMTPServerConnected -> F(QueuedMailSent))
G (!MailboxSelected) | F (MailboxSelected & F MailboxWindowOpen),G(MailboxSelected -> F(MailboxWindowOpen))
G (!MessageReady) | F (MessageReady & F MessageinOutbox),G(MessageReady -> F(MessageinOutbox))
G (!MessageDragged) | F (MessageDragged & F MessageMoved),G(MessageDragged -> F(MessageMoved))
G (Error -> G (ErrorPopup -> F ResponsetoPopup)),G(ErrorPopup -> (ErrorPopup U ResponsetoPopup))
G (MessageTransferred -> G (PlacedinMailboxes -> F MarkasUnread)),G(PlacedinMailboxes -> F(MarkasUnread))
G (!POPServerMessageDelete) | F (POPServerMessageDelete & F PlacedinMailboxes),G(!POPServerMessageDelete U PlacedinMailboxes)
(F call_Execute) -> ((!call_doWork) U call_Execute),G(!call_Execute -> !call_doWork)
G ((return_Execute & (F call_Execute)) -> ((!call_doWork) U call_Execute)),G(return_Execute -> G(!call_doWork))
G (call_doResults_i -> ((!call_doResults_j) U (return_doResults_i | G (!call_doResults_j)))),G(call_doResults_i -> (!call_doResults_j U return_doResults_i))
G ((call_doResults_i & F return_doResults_i) -> ((!call_doResults_j) U return_doResults_i)),G(call_doResults_i -> (!call_doResults_j U return_doResults_i))
G (return_resultlock_wait_i -> F call_resultlock_signal_i),G(call_resultlock_signal_i -> F(return_resultlock_wait_i))
G (call_doResult_i -> F return_doResult_i) -> G (return_resultlock_wait_i -> F call_resultlock_signal_i),G((call_resultlock_signal_i & !return_resultlock_wait_i) -> F(return_resultlock_wait_i))
G (call_Execute -> ((!return_Execute) U (return_doWork_done_true_i |_| return_doResult_done_true_i |_| workCountEQzero | G (!return_Execute)))),G(call_Execute -> F(return_Execute & (workCountEQzero | return_doResult_done_true_i | return_doWork_done_true_i)))
((! return_Execute ) U ( return_pool_Complete | G  (!return_Execute))),G(return_Execute -> !return_pool_Complete U return_Execute)
(!return_pool_Finished) U (return_doWork_done_true_i |_| return_doResult_done_true_i |_| G  (!return_pool_Finished)),G(return_pool_Finished -> (return_doResult_done_true_i | return_doWork_done_true_i))
G !(call_Create_i | call_Destroy_i | call_Input_i | call_Execute_i | call_GetResults_i),G(call_Execute_i -> (!call_Create_i & !call_Destroy_i & !call_Execute_i & !call_GetResults_i & !call_Input_i))
