Ground Truth,Response
( F record_safe_civilian ) -> ( ! record_safe_civilian U ( photo_safe_civilian & ! record_safe_civilian ) ),G(record_safe_civilian -> (!record_safe_civilian U photo_safe_civilian))
( prop_1 | F prop_2 ),prop_1 | prop_2
pick_up_flag & G ( ! ( drop_apple ) ),G pick_up_flag & G !drop_apple
( prop_1 & F prop_2 ),prop_1 & G prop_2
<>(shop_1&&<>(p_bottle_3&&<>(hospital_2&&pd))),F(p_bottle_3 & shop_1) & F(p_bottle_3 & hospital_2)
F ( prop_1 & F prop_2 ),G(prop_1 -> prop_2)
( prop_1 & G ( F prop_2 ) ),G(prop_1 & F prop_2)
[]<>(street_3&&photo),G photo
G ( ( prop_1 | prop_3 ) -> G ( F prop_2 ) ),G((prop_1 | prop_3) -> F prop_2)
F ( snatch_pear ) -> F ( get_hold_apple ),G(snatch_pear -> F(get_hold_apple))
F ( prop_1 | G ( F prop_2 ) ),G(prop_1 | G F prop_2)
F ( table_2 & F ( p_brochure_9 & F ( park_4 & G park_4 ) ) ),F(p_brochure_9 & table_2) & G(park_4)
( ( prop_1 -> prop_3 ) -> F prop_2 ),prop_1 -> prop_3
F ( ( red_room | blue_room ) & F yellow_room ),G((red_room | blue_room) -> yellow_room)
( F ( prop_2 <-> prop_1 ) -> prop_3 ),F((prop_2 <-> prop_1) & prop_3)
( prop_1 -> F prop_2 ),G(prop_1 -> X prop_2)
F ( withhold_apple ) & F ( bring_pear ),G withhold_apple & F bring_pear
G ( prop_1 & F prop_2 ),G(prop_1) & G(prop_2)
F ( restaurant_9 & F ( takeout_2 & F ( house_1 & pd ) ) ),F (restaurant_9 & X (pd & F house_1))
G ( idle -> X G ! search_tennis_racket ),G(idle -> G(!search_tennis_racket))
( ( ! prop_3 & prop_2 ) | G prop_1 ),F(!prop_3 & prop_2) | G(prop_1)
go_to_bucket & G ( ! ( drop_apple ) ),G(go_to_bucket & !drop_apple)
F ( prop_1 U prop_2 ),(prop_1 U prop_2)
