Ground Truth,Response
!limits U (limits & X(state_is_FAULT)),G(limits -> X state_is_FAULT)
G(!request -> F(state_is_TRANSITION)),G(!request -> X state_is_TRANSITION)
G(!request & !limits -> F(state_is_TRANSITION)),G((state_is_TRANSITION & !request & !limits) -> X state_is_TRANSITION)
G(request & mode -> X(state_is_NOMINAL)),G((request & mode) -> F state_is_NOMINAL)
!limits U (limits & G(!standby & supported & !apfail -> (pullup))),G(((limits & !standby & supported & !apfail) -> pullup))
G(standby -> F(state_is_STANDBY)),G((standby & !state_is_STANDBY) -> X state_is_STANDBY)
G(good & supported -> X(state_is_NOMINAL)),G((state_is_NOMINAL & supported & good) -> X state_is_NOMINAL)
G(!good -> X(state_is_MANEUVER)),G((!good & state_is_MANEUVER) -> X state_is_MANEUVER)
G(standby -> X(state_is_STANDBY)),G((state_is_STANDBY & !standby) -> X standby)
G(standby & good -> X(state_is_STANDBY)),G((state_is_STANDBY & standby & good) -> X state_is_STANDBY)
G(supported & good -> X(state_is_TRANSITION)),G((state_is_TRANSITION & supported & good) -> X state_is_TRANSITION)
G(!standby -> F(state_is_TRANSITION)),G(standby -> X state_is_TRANSITION)
!apfail U (apfail & X(state_is_MANEUVER)),G(apfail -> X state_is_MANEUVER)
!initDone U (initDone & G(StartUpMode -> F(SelfTestMode))),G((StartUpMode & initDone) -> X SelfTestMode)
G(StartUpMode -> X(checkCommsSensors & checkCommsValves)),G(StartUpMode -> (checkCommsSensors & checkCommsValves))
!selfTestFail U (selfTestFail & G(SelfTestMode -> (!ventilating U off))),G(selfTestFail -> !ventilating)
!expiratoryPauseButton & expiratoryPhaseEnd U (expiratoryPauseButton & expiratoryPhaseEnd & G((PCVMode | PSVMode) & expiratoryPauseButton -> G(expiratoryPause & inValveClose & outValveClose))),G((PCVMode | PSVMode) & expiratoryPauseButton -> (expiratoryPause U (expiratoryPhaseEnd & X((inValveClose & outValveClose) U !expiratoryPause))))
!(breathingCycleStart) U ((breathingCycleStart) & G(PCVMode -> (inspiratoryPhaseStart))),G(PCVMode -> (breathingCycleStart -> inspiratoryPhaseStart))
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((PSVMode & inspiratoryPauseButton) -> ((inValveClose & outValveClose)))),G((PSVMode & inspiratoryPhaseEnd & inspiratoryPauseButton) -> X inspiratoryPauseButton)
G((StartUpMode | StandbyMode) -> G((inValveClose & outValveOpen))),G((StartUpMode | StandbyMode) -> (inValveClose & outValveOpen))
!(inspiratoryPauseButton) U ((inspiratoryPauseButton) & G((( PCVMode | PSVMode )) -> ((inspiratoryPause | (! inspiratoryPauseButton))))),G((PCVMode | PSVMode) & inspiratoryPauseButton -> F inspiratoryPause)
G(StartUpMode -> X(defaultParamsLoaded)),G(StartUpMode -> F defaultParamsLoaded)
!(selfTestPass | guiResumeRequest) U ((selfTestPass | guiResumeRequest) & G(SelfTestMode -> F(StandbyMode))),G((SelfTestMode & selfTestPass & guiResumeRequest) -> X StandbyMode)
!(inspiratoryPhaseEnd) U ((inspiratoryPhaseEnd) & G((PSVMode & RMButton) -> (RM))),G((PSVMode & inspiratoryPhaseEnd & !RMButton) -> X RM)
