Ground Truth,Response
!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),(!locality_5) U (p_pass_5 & house_2 & office_3)
!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),(!room_2) U (p_bottle_4 & kitchen_1 & table_4)
!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),(!room_2) U (p_bottle_4 & table_4)
!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),(!locality_5) U (p_pass_5 & house_2 & office_3)
!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),!locality_5 U (p_pass_5 & house_2 & office_3)
!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),(!room_2) U (p_bottle_4 & X table_4)
!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),(!locality_5) U (p_pass_5 & F office_3)
!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),!(room_2) U (p_bottle_4 & table_4)
!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),(!locality_5) U (p_pass_5 & house_2 & F office_3)
!garage_1 U (landmark_5 & photo),!garage_1 U photo
!park_6 U p_pass_4,!park_6 -> p_pass_4
(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4))),(!store_4 U street_6) & (p_package_8 & office_2)
(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd))),(!pd U street_6) & (street_6 -> F(store_3 & F(p_box_8 & F(house_2))))
(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd))),(!office_4) U (p_pass_6 & house_5)
(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd))),(!office_4 U p_pass_6) & G(p_pass_6 -> X(house_5 & X(office_4)))
(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F(intersection_1 & pd))),(!intersection_1 U street_6) & F(street_2 & p_cone_3 & F(intersection_1))
(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F(intersection_1 & pd))),(!intersection_1 U street_6) & (street_6 -> F(p_cone_3 & street_2 & F intersection_1))
(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F(intersection_1 & pd))),(!intersection_1) U (street_6 & p_cone_3 & street_2 & X(intersection_1))
(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd))),(!intersection_5 U street_4) & F house_4 & F p_pass_4 & F office_1
