Ground Truth,Response
G((StartUpMode & !initDone & X(initDone)) -> F(SelfTestMode)),G((StartUpMode & initDone) -> X SelfTestMode)
G(StartUpMode -> F(checkCommsSensors & checkCommsValves)),G(StartUpMode -> (checkCommsSensors & checkCommsValves))
G((SelfTestMode & !selfTestFail & X(selfTestFail)) -> (!ventilating U off)),G(selfTestFail -> !F(ventilating))
G(((PCVMode | PSVMode) & expiratoryPauseButton & !expiratoryPauseButton & expiratoryPhaseEnd & X(expiratoryPauseButton & expiratoryPhaseEnd)) -> X(expiratoryPause & inValveClose & outValveClose)),G((PCVMode | PSVMode) & expiratoryPauseButton -> F(expiratoryPhaseEnd & expiratoryPause -> (inValveClose & outValveClose) U !expiratoryPauseButton))
G(StartUpMode -> X(checkCommsGUI)),G(StartUpMode -> checkCommsGUI)
G((PCVMode & !(breathingCycleStart) & X((breathingCycleStart))) -> X(inspiratoryPhaseStart)),G(PCVMode -> (breathingCycleStart -> inspiratoryPhaseStart))
G(((PSVMode & inspiratoryPauseButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> X((inValveClose & outValveClose))),G((PSVMode & inspiratoryPhaseEnd & inspiratoryPauseButton) -> X inspiratoryPauseButton)
G((StartUpMode | StandbyMode) -> G((inValveClose & outValveOpen))),G((StartUpMode | StandbyMode) -> (inValveClose & outValveOpen))
G(((( PCVMode | PSVMode )) & !(inspiratoryPauseButton) & X((inspiratoryPauseButton))) -> ((inspiratoryPause | (! inspiratoryPauseButton)))),G((PCVMode | PSVMode) & inspiratoryPauseButton -> F inspiratoryPause)
G((SelfTestMode & !(selfTestPass | guiResumeRequest) & X((selfTestPass | guiResumeRequest))) -> X(StandbyMode)),G((SelfTestMode & selfTestPass & guiResumeRequest) -> X StandbyMode)
G(((PSVMode & RMButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> (RM)),G((PSVMode & inspiratoryPhaseEnd & !RMButton & RM) -> X RM)
(((! ((((StartUpMode | SelfTestMode) | StandbyMode) | PCVMode) | PSVMode)) U (off))),G((PCVMode | PSVMode | SelfTestMode | StandbyMode | StartUpMode) -> !off)
G(((PCVMode & inspiratoryPauseButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> X((inValveClose & outValveClose))),G((PCVMode & inspiratoryPhaseEnd & inspiratoryPauseButton) -> X(inspiratoryPauseButton))
G((!(RM) & X((RM))) -> X(((! RM) & expiratoryPhaseStart))),G((RM & !expiratoryPhaseStart) -> (RM U expiratoryPhaseStart))
G(((( PCVMode | PSVMode )) & !(expiratoryPauseButton) & X((expiratoryPauseButton))) -> F((expiratoryPause | (! expiratoryPauseButton)))),G((PCVMode | PSVMode) & expiratoryPauseButton -> F expiratoryPause)
G((StandbyMode & !(PSVModeSelected) & X((PSVModeSelected))) -> X(PSVMode)),G((PSVModeSelected & !PSVMode) -> X PSVMode)
G(((( PCVMode | PSVMode ) & RMButton & ! inspiratoryPauseButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> (RM)),G(((PCVMode | PSVMode) & inspiratoryPhaseEnd & !inspiratoryPauseButton & RMButton) -> F RM)
G((PSVMode & !(stopVentilation) & X((stopVentilation))) -> X(StandbyMode)),G((PSVMode & stopVentilation) -> X StandbyMode)
G(((PCVMode & RMButton) & !(inspiratoryPhaseEnd) & X((inspiratoryPhaseEnd))) -> X(RM)),G((PCVMode & inspiratoryPhaseEnd & !RMButton) -> X RM)
G((StandbyMode & !(PCVModeSelected) & X((PCVModeSelected))) -> F(PCVMode)),G((PCVModeSelected & !PCVMode) -> X PCVMode)
G(((PCVMode | PSVMode) & inspiratoryPauseButton & !inspiratoryPauseButton & inspiratoryPhaseEnd & X(inspiratoryPauseButton & inspiratoryPhaseEnd)) -> X(inspiratoryPause & inValveClose & outValveClose)),G((PCVMode | PSVMode) & inspiratoryPauseButton -> F(inspiratoryPhaseEnd & inspiratoryPause -> X(inValveClose & outValveClose U !inspiratoryPause)))
G((PCVMode & !(PSVModeSelected) & X((PSVModeSelected))) -> (confirmPSVParameters)),G((PCVMode & X PSVModeSelected) -> X confirmPSVParameters)
G(StartUpMode -> F((((initStart & checkCommsSensors) & checkCommsValves) & checkCommsGUI))),G(StartUpMode -> X(initStart & X(checkCommsSensors & checkCommsValves & checkCommsGUI)))
G((!(guiFailure | ! guiConnected) & X((guiFailure | ! guiConnected))) -> ((ventilating & highPriorityAlarm))),G((guiFailure | !guiConnected) -> (highPriorityAlarm & ventilating))
G((!(selfTestPass) & X((selfTestPass))) -> (((startMonitoring & startReportingHealthParams) & StandbyMode))),G((selfTestPass & StandbyMode) -> X(startMonitoring & startReportingHealthParams))
G((!(resumeVentilation) & X((resumeVentilation))) -> F((SelfTestMode & (((((((testPowerSwitchPass | testPowerSwitchSkip) & (testLeaksPass | testLeaksSkip)) & (testFl2Pass | testFl2Skip)) & (testPSExpPass | testPSExpSkip)) & (testOxygenSensorPass | testOxygenSensorSkip)) & (testAlarmsPass | testAlarmsSkip)) -> selfTestPass)))),resumeVentilation -> G((testAlarmsPass | testAlarmsSkip) & (testFl2Pass | testFl2Skip) & (testLeaksPass | testLeaksSkip) & (testOxygenSensorPass | testOxygenSensorSkip) & (testPSExpPass | testPSExpSkip) & (testPowerSwitchPass | testPowerSwitchSkip))
(G((measureTV & displayTV))),G(measureTV -> F displayTV)
G(enableLeakCompensation -> (leakCompensationActive)),G(!leakCompensationActive)
G(StartUpMode | SelfTestMode -> G(! patientConnected)),G((StartUpMode | SelfTestMode) -> !patientConnected)
(F(enterAlarmThresholds)),G((startVentilation) -> F(enterAlarmThresholds))
G((PCVMode & !breathingCycleDone | patientBreathingRequest & X(breathingCycleDone | patientBreathingRequest)) -> F(breathingCycleStart)),G(PCVMode -> ((breathingCycleDone -> X breathingCycleStart) & (patientBreathingRequest -> X breathingCycleStart)))
G(SelfTestMode -> X(((testPSExpPass | testPSExpFail) | testPSExpSkip))),G(SelfTestMode -> F(testPSExpPass | testPSExpFail | testPSExpSkip))
G((!(apnea) & X((apnea))) -> X(apneaAlarm)),G(apnea -> F(apneaAlarm))
G((!(selfTestPass) & X((selfTestPass))) -> X(StandbyMode)),G(selfTestPass -> F StandbyMode)
G((!(ventilatorSettingsChanged) & X((ventilatorSettingsChanged))) -> X(logVentilatorSettings)),G(ventilatorSettingsChanged -> F logVentilatorSettings)
(F((selfTestPass | selfTestFail))),G(selfTestPass -> !selfTestFail)
G((!(startUpDone) & X((startUpDone))) -> F((newPatient | resumeVentilation))),G(startUpDone -> (!selfTestMode U (newPatient | resumeVentilation)))
G(failSafeMode -> X(patientSafe)),G(failSafeMode -> patientSafe)
G(PCVMode -> G((((confirmPSVParameters & PSVMode) | ((! confirmPSVParameters) & PCVMode)) & ventilating))),G((PSVMode -> confirmPSVParameters) & (!confirmPSVParameters -> PCVMode))
G((!(alarmSettingsChanged) & X((alarmSettingsChanged))) -> F(logAlarmSettings)),G(alarmSettingsChanged -> F logAlarmSettings)
G(StandbyMode -> G((!ventilating))),G(StandbyMode -> !ventilating)
G(StandbyMode -> G((ventilationParamsAdjustable))),G(StandbyMode -> ventilationParamsAdjustable)
G(StartUpMode -> X(initDone | initFail)),G(StartUpMode -> F(initDone | initFail))
G((StartUpMode & !initFail & X(initFail)) -> F(initFail & OutOfServiceWarning & failSafeMode)),G(initFail -> (OutOfServiceWarning & !StartUpMode & !failSafeMode))
G((PCVMode & !(PSVModeSelected) & X((PSVModeSelected))) -> X((! (inspiratoryPhaseEnd & PSVMode)))),G((PCVMode & inspiratoryPhaseEnd) -> X PSVModeSelected)
G((!(patientChanged) & X((patientChanged))) -> (logPatientChange)),G(patientChanged -> F logPatientChange)
G(SelfTestMode -> X(((testAlarmsPass | testAlarmsFail) | testAlarmsSkip))),G(SelfTestMode -> F(testAlarmsPass | testAlarmsFail | testAlarmsSkip))
G((gasSupplyFailure) -> X(patientSafe)),G(gasSupplyFailure -> patientSafe)
(G(enableLeakCompensation <-> leakCompensationActive)),G(F(enableLeakCompensation) & F(!enableLeakCompensation))
G((!(powerSupplyChanged) & X((powerSupplyChanged))) -> X(logPowerSupply)),G(powerSupplyChanged -> F(logPowerSupply))
(G(logParams & saveLog)),G(poweredOff -> (logParams & saveLog))
(F(loadLog)),G(startup -> F(loadLog))
G((!(patientBreathTrigger) & X((patientBreathTrigger))) -> F(breathingTimerReset)),G(patientBreathTrigger -> breathingTimerReset)
G(SelfTestMode -> X(((testPowerSwitchPass | testPowerSwitchFail) | testPowerSwitchSkip))),G(SelfTestMode -> F(testPowerSwitchPass | testPowerSwitchFail | testPowerSwitchSkip))
G((PCVMode & !(RMButton) & X((RMButton))) -> F(RM)),G(PCVMode -> F(RMButton -> X RM))
G((enableLeakCompensation & !MinPEEPAlarm & X(MinPEEPAlarm)) -> X(leakCompensationActive)),G(enableLeakCompensation -> leakCompensationActive)
G(((breathingCircuitConnected & ! ( patientConnected ) & airSupplyConnected & powerConnected ) & !(powerButton) & X((powerButton))) -> (StartUpMode)),G((powerButton & airSupplyConnected & breathingCircuitConnected & powerConnected & !patientConnected) -> X StartUpMode)
G((!(preUseCheckDone) & X((preUseCheckDone))) -> F(logPreUseCheck)),G(preUseCheckDone -> F logPreUseCheck)
G((SelfTestMode & !(selfTestFail) & X((selfTestFail))) -> ((OutOfServiceWarning & failSafeMode))),G(selfTestFail -> (OutOfServiceWarning & !SelfTestMode & !failSafeMode))
G(SelfTestMode -> X(((testLeaksPass | testLeaksFail) | testLeaksSkip))),G(SelfTestMode -> F(testLeaksPass | testLeaksSkip) & !testLeaksFail)
