Avoid entering room 2 until you take bottle 4 from kitchen 1 and place it on table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F_pd & table_4));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4']
Avoid entering locality 5 until you pick up pass 5 from house 2 and place it in office 3;!locality_5 U (house_2 & F(p_pass_5 & F_office_3 & pd));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5']
Stay away from room 2 until you collect bottle 4 from kitchen 1 and deliver it to table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F_pd & table_4));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4']
Refrain from going to room 2 until you pick up bottle 4 from kitchen 1 and place it on table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F_pd & table_4));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4']
Do not enter locality 5 until you pick up pass 5 from house 2 and put it in office 3;!locality_5 U (house_2 & F(p_pass_5 & F_office_3 & pd));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5']
Stay out of locality 5 until you retrieve pass 5 from house 2 and put it in office 3;!locality_5 U (house_2 & F(p_pass_5 & F_office_3 & pd));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5']
Do not go to room 2 until you take bottle 4 from kitchen 1, and then put it on table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F_pd & table_4));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4']
Do not go to locality 5 before collecting pass 5 from house 2 and delivering it to office 3;!locality_5 U (house_2 & F(p_pass_5 & F_office_3 & pd));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5']
Do not go to room 2 before retrieving bottle 4 from kitchen 1 and putting it on table 4;!room_2 U (kitchen_1 & F(p_bottle_4 & F_pd & table_4));['pd', 'table_4', 'room_2', 'kitchen_1', 'p_bottle_4']
Refrain from entering locality 5 until you collect pass 5 from house 2 and deposit it in office 3;!locality_5 U (house_2 & F(p_pass_5 & F_office_3 & pd));['pd', 'office_3', 'house_2', 'locality_5', 'p_pass_5']
Do not enter garage 1 until you take a picture of landmark 5;!garage_1 U_landmark_5 & photo;['photo', 'garage_1', 'landmark_5']
Do not enter park 9 until you go to gate 7 and take a picture;!park_9 U_gate_7 & photo;['photo', 'park_9', 'gate_7']
Refrain from entering park 9 until you reach gate 7 and take a picture there;!park_9 U_gate_7 & photo;['photo', 'park_9', 'gate_7']
Avoid entering park 9 until you visit gate 7 and take a picture;!park_9 U_gate_7 & photo;['photo', 'park_9', 'gate_7']
Do not go to park 9 before arriving at gate 7 and capturing a photo;!park_9 U_gate_7 & photo;['photo', 'park_9', 'gate_7']
Stay away from park 9 until you go to gate 7 and ensure you take a photograph;!park_9 U_gate_7 & photo;['photo', 'park_9', 'gate_7']
Do not go to street 5 before reaching store 1 and taking package 4 from there.;!street_5 U_p_package_4 & store_1;['p_package_4', 'street_5', 'store_1']
Avoid parking lot 4 until building 8 is reached;!parking_lot_4 U building_8;['building_8', 'parking_lot_4']
Avoid building 1 until street 4 is reached;!building_1 U street_4;['building_1', 'street_4']
Ensure you stay away from building 8 until parking lot 8 is visited;!building_8 U parking_lot_8;['building_8', 'parking_lot_8']
Ensure you do not go to park 6 before retrieving pass 4;!park_6 U p_pass_4;['park_6', 'p_pass_4']
Ensure you do to intersection 4 before picking up cone 2;!p_cone_2 U intersection_4;['intersection_4', 'p_cone_2']
Do not enter park 6 until you pick up pass 4;!park_6 U p_pass_4;['park_6', 'p_pass_4']
Avoid entering parking lot 4 until you have reached building 8;!parking_lot_4 U building_8;['building_8', 'parking_lot_4']
Do not enter buildig 8 until you have reached parking lot 8;!building_8 U parking_lot_8;['building_8', 'parking_lot_8']
Do not enter park 6 unless you have already picked up pass 4;!park_6 U p_pass_4;['park_6', 'p_pass_4']
Do not go to parking lot 4 before arriving at building 8;!parking_lot_4 U building_8;['building_8', 'parking_lot_4']
Do not go to park 5 before reaching intersection 4;!park_5 U intersection_4;['park_5', 'intersection_4']
Avoid entering park 5 until you have reached intersection 4;!park_5 U intersection_4;['park_5', 'intersection_4']
Refrain from entering store 4 until you arrive at street 6, while delivering package 8 from office 2 to store 4;(!store_4 U street_6) & F(office_2 & F(p_package_8 & F_pd & store_4));['pd', 'street_6', 'p_package_8', 'store_4', 'office_2']
Refrain from visiting building 3 until you arrive at street 6, and then ensure you move box 8 from store 3 to house 2;(!building_3 U street_6) & F(store_3 & F(p_box_8 & F_house_2 & pd));['pd', 'street_6', 'house_2', 'building_3', 'store_3', 'p_box_8']
Do not enter office 4 until you pick pass 6 as you move pass 6 from house 5 to office 4;(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F_office_4 & pd));['pd', 'office_4', 'house_5', 'p_pass_6']
Avoid office 4 until pick up pass 6, then you need to pick it up at house 5 and deliver it to office 4;(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F_office_4 & pd));['pd', 'office_4', 'house_5', 'p_pass_6']
Do not go to intersection 1 before arriving at street 6, and ensure you take cone 3 from street 2 and place it in intersection 1;(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F_intersection_1 & pd));['pd', 'street_6', 'street_2', 'intersection_1', 'p_cone_3']
Stay away from intersection 1 until you get to street 6, and afterward, deliver cone 3 from street 2 to intersection 1;(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F_intersection_1 & pd));['pd', 'street_6', 'street_2', 'intersection_1', 'p_cone_3']
Do not enter intersection 1 until you reach street 6 as you take cone 3 from street 2 and put it in intersection 1;(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F_intersection_1 & pd));['pd', 'street_6', 'street_2', 'intersection_1', 'p_cone_3']
